,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,679488037884.0,1441245797506.0,2937878766183.0,3152397264501.0,3378239428823.0,3505642154114.0,3627724150961.0,3946662733382.0,4265257318196.0,4492591095510.0
1,TÀI SẢN NGẮN HẠN,481772633791.0,1223578810095.0,2349717807748.0,2213087384914.0,2442030431164.0,2435603818887.0,2473414966630.0,653530725718.0,802198494179.0,1231562458402.0
2,Tiền và tương đương tiền,177402247656.0,506580539574.0,1171668961521.0,702509175685.0,145899051246.0,84028754072.0,117605117577.0,143098383082.0,80630981005.0,237757092560.0
3,Tiền,177402247656.0,385721652440.0,76982486089.0,20501175685.0,73899051246.0,84028754072.0,117605117577.0,143098383082.0,80630981005.0,198757092560.0
4,Các khoản tương đương tiền,0.0,120858887134.0,1094686475432.0,682008000000.0,72000000000.0,0.0,0.0,0.0,0.0,39000000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,448550000000.0,0.0,951688000000.0,1024941939011.0,1717085945589.0,1805294435841.0,261505000000.0,367976000000.0,473346594521.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,448550000000.0,0.0,951688000000.0,1024941939011.0,1717085945589.0,1805294435841.0,261505000000.0,367976000000.0,473346594521.0
9,Các khoản phải thu,174304167251.0,53901836218.0,342126386294.0,173573975161.0,292294788684.0,75185317647.0,178807041880.0,68408888795.0,53665579172.0,33994060148.0
10,Phải thu khách hàng,1881500000.0,7754563636.0,24904420092.0,15251076332.0,29424558862.0,50348222312.0,54494498914.0,62036439265.0,43065177378.0,13446833384.0
11,Trả trước người bán,23900434297.0,33913342793.0,307161484589.0,141206460000.0,249627115561.0,2268545191.0,26611408500.0,14300000.0,1423086293.0,80763871.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,148522232954.0,12233929789.0,10060481613.0,17116438829.0,13243114261.0,22568550144.0,97701134466.0,6358149530.0,9177315501.0,21514962893.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1048500000.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",128012064615.0,214531655159.0,817444017882.0,369916389790.0,900411944856.0,499723380095.0,307334964642.0,133388561217.0,241383767154.0,416808118989.0
19,Hàng tồn kho,128012064615.0,215338946768.0,818760481699.0,369916389790.0,904950295424.0,506058851671.0,317446978304.0,146229132873.0,243136299257.0,421704837549.0
20,Dự phòng giảm giá HTK,0.0,-807291609.0,-1316463817.0,0.0,-4538350568.0,-6335471576.0,-10112013662.0,-12840571656.0,-1752532103.0,-4896718560.0
21,Tài sản lưu động khác,2054154269.0,14779144.0,18478442051.0,15399844278.0,78482707367.0,59580421484.0,64373406690.0,47129892624.0,58542166848.0,69656592184.0
22,Trả trước ngắn hạn,220000000.0,0.0,240000000.0,0.0,632743209.0,6258399581.0,221382864.0,32520794.0,15646660.0,169514849.0
23,Thuế VAT phải thu,888491407.0,0.0,18238442051.0,3465017382.0,74294166846.0,53047786670.0,63918167668.0,46863515672.0,58258273860.0,65871036089.0
24,Phải thu thuế khác,945662862.0,14779144.0,0.0,11934826896.0,3555797312.0,274235233.0,233856158.0,233856158.0,268246328.0,3616041246.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,197715404093.0,217666987411.0,588160958435.0,939309879587.0,936208997659.0,1070038335227.0,1154309184331.0,3293132007664.0,3463058824017.0,3261028637108.0
28,Phải thu dài hạn,0.0,0.0,0.0,139623210000.0,366862600000.0,499706000000.0,499706000000.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,139623210000.0,366862600000.0,499706000000.0,499706000000.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,3473526784.0,5309560766.0,11216340040.0,9493508541.0,25431913509.0,25304265798.0,21422351300.0,26217358141.0,25482583899.0,23153837779.0
37,GTCL TSCĐ hữu hình,3473526784.0,5309560766.0,11216340040.0,9493508541.0,21911913509.0,21784265798.0,17902351300.0,22697358141.0,21962583899.0,19633837779.0
38,Nguyên giá TSCĐ hữu hình,4757229525.0,5945191345.0,13267480800.0,13473079215.0,28481693845.0,30911002733.0,29916243679.0,35766905053.0,31773989140.0,31692909172.0
39,Khấu hao lũy kế TSCĐ hữu hình,-1283702741.0,-635630579.0,-2051140760.0,-3979570674.0,-6569780336.0,-9126736935.0,-12013892379.0,-13069546912.0,-9811405241.0,-12059071393.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,3520000000.0,3520000000.0,3520000000.0,3520000000.0,3520000000.0,3520000000.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,3520000000.0,3520000000.0,3520000000.0,3520000000.0,3520000000.0,3520000000.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,188956898867.0,218519542508.0,207598027239.0,196739165150.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,193090904450.0,232099699345.0,229273003492.0,228897249378.0
