,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,285577429172.0,224007153906.0,307022116124.0,462991457620.0,455349085241.0,661262981451.0,550918488346.0,508433659401.0,467761723730.0,376125469752.0
1,TÀI SẢN NGẮN HẠN,219018107281.0,164120814122.0,245032293108.0,355320557275.0,406044086979.0,613500961425.0,507753374885.0,466616518858.0,431146109440.0,337268555090.0
2,Tiền và tương đương tiền,122563587853.0,63966297242.0,24193799502.0,27090884529.0,18635597371.0,35314431830.0,8067323647.0,47083494191.0,19282838309.0,35015919767.0
3,Tiền,42563587853.0,26966297242.0,23193799502.0,27090884529.0,18635597371.0,35314431830.0,8067323647.0,31583494191.0,19282838309.0,27015919767.0
4,Các khoản tương đương tiền,80000000000.0,37000000000.0,1000000000.0,0.0,0.0,0.0,0.0,15500000000.0,0.0,8000000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,109350000000.0,229920126572.0,254883466667.0,351040899346.0,342888013699.0,325800000000.0,277100000000.0,227790751643.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,109350000000.0,229920126572.0,254883466667.0,351040899346.0,342888013699.0,325800000000.0,277100000000.0,227790751643.0
9,Các khoản phải thu,43192037293.0,28593405192.0,46074167865.0,34727250551.0,50926432519.0,35247422788.0,42263573810.0,35573425718.0,38638091899.0,13152024373.0
10,Phải thu khách hàng,30083507930.0,22798532206.0,24465760596.0,19350193408.0,21810880027.0,21210889656.0,30592067498.0,26511617247.0,23188518363.0,7931400209.0
11,Trả trước người bán,8778339935.0,5074272244.0,19688359166.0,4029843929.0,12135881654.0,2696627893.0,1392802156.0,583537567.0,3600056383.0,605018756.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
