,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,30969420297.0,229933928767.0,47082465655.0,560586056567.0,523534600221.0,677780347256.0,375793628018.0,215047770582.0,243749718911.0,62184757645.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,2129480223.0,-298175452564.0,-179781970351.0,-340949067400.0,-522743873899.0,-392906857290.0,476232361537.0,-1054737408578.0,190295881795.0,282644558617.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-80742965005.0,-83837827012.0,-86959803897.0,-60760401214.0,-27906907851.0,-404082416650.0,-155157070237.0,-787268821598.0,-7664058571.0,-7237135319.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229483636.0,229483636.0
24,Tiền cho vay hoặc mua công cụ nợ,-20000000000.0,-277944028749.0,-341146423611.0,-565434072321.0,-1138792563965.0,-1024759127667.0,-362386383001.0,-1755360803030.0,-1016314996447.0,-587785711653.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,81140000000.0,67384991282.0,220480000000.0,243887395833.0,0.0,997277308410.0,784621553260.0,1309300454880.0,1027025000632.0,802632196557.0
26,Đầu tư vào các doanh nghiệp khác,-8600000000.0,-28400000000.0,-15200000000.0,0.0,0.0,-80000000000.0,0.0,0.0,0.0,-80000000000.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,12873250000.0,0.0,561793800099.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,30332445228.0,24621411915.0,30171007157.0,41358010302.0,82161797818.0,118657378617.0,209154261515.0,178591761170.0,187020452545.0,155035209032.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-2367410642.0,3272712677.0,116692799110.0,-202985479167.0,-16163576625.0,-194958125848.0,-403700535447.0,510208594300.0,-636757951061.0,-344663541478.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,56886559752.0,74845172596.0,434440008224.0,81886153020.0,175476277976.0,482161889075.0,0.0,594000000000.0,198996986939.0,293219667557.0
33,Tiển trả các khoản đi vay,-34817288394.0,-55499453919.0,-275738810314.0,-231916133187.0,-143003991101.0,-581501772423.0,-7219339947.0,-1592000000.0,-595592000000.0,-421889146035.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-24436682000.0,-16073006000.0,-42008398800.0,-52955499000.0,-48635863500.0,-95618242500.0,-396481195500.0,-82199405700.0,-240162938000.0,-215994063000.0
37,Lưu chuyển tiền thuần trong kỳ,30731489878.0,-64968811120.0,-16006705586.0,16651510000.0,-15372850303.0,89915364118.0,448325454108.0,-329481043696.0,-202712350355.0,165774784.0
38,Tiền và tương đương tiền đầu kỳ,52065544528.0,82797095664.0,17848373677.0,1842345945.0,18527572794.0,3153463666.0,93079044289.0,541401553308.0,211919302017.0,9206919827.0
39,Ảnh hưởng của chênh lệch tỷ giá,61258.0,20089133.0,677854.0,33716849.0,-1258825.0,10216505.0,-2945089.0,-1207595.0,-31835.0,102179.0
40,Tiền và tương đương tiền cuối kỳ,82797095664.0,17848373677.0,1842345945.0,18527572794.0,3153463666.0,93079044289.0,541401553308.0,211919302017.0,9206919827.0,9372796790.0
