,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-1282912314.0,-18953224627.0,10249122154.0,-54117537827.0,1268450259.0,129270817319.0,47283322792.0,-118842935906.0,-250938769448.0,1739013397.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,0.0,0.0,0.0,-1722873796.0,-820092778.0,-1619594178.0,1233643696.0,0.0
2,Lãi trước thuế,0.0,0.0,0.0,0.0,0.0,3784028809.0,-1010422417.0,7587299256.0,4710836590.0,0.0
3,Khấu hao TSCĐ,3037972643.0,0.0,2894893356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,-5748051676.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,0.0,0.0,-149440.0,-36045.0,-9206893434.0,-4629643069.0,0.0
9,Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,241298511.0,190365684.0,0.0,1152450175.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,0.0,0.0,0.0,130215668691.0,45289010096.0,-112892634130.0,-248452848423.0,0.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,0.0,0.0,135916935.0,17628180.0,0.0,0.0,0.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,0.0,0.0,0.0,635445935.0,2780011314.0,-3904056302.0,-2567114546.0,0.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,0.0,0.0,0.0,6659554.0,16765980.0,12574466.0,0.0,0.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1152450175.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-439225762.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,0.0,-119999230000.0,12577820913.0,-115195238271.0,281008.0,-143199850560.0,-34954803955.0,119805132739.0,212155997189.0,0.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,12576740000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-126000000000.0,-100000000000.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,-120000000000.0,0.0,-115200000000.0,0.0,-258400000000.0,-59754840000.0,0.0,226000000000.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,115200000000.0,24800000000.0,245799000000.0,80079400000.0,0.0
28,Cổ tức và tiền lãi nhận được,0.0,770000.0,1080913.0,4761729.0,281008.0,149440.0,36045.0,6132739.0,6076597189.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,1397250000.0,139700000000.0,-802200000.0,147997200000.0,0.0,11030000000.0,-12272250000.0,-50000000.0,38500000000.0,-2201123682.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,120000000000.0,0.0,150000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,4500000000.0,32500000000.0,0.0,0.0,0.0,19000000000.0,4270000000.0,55300000000.0,38500000000.0,74800000000.0
33,Tiển trả các khoản đi vay,-3102750000.0,-12800000000.0,-802200000.0,-2002800000.0,0.0,-7970000000.0,-16542250000.0,-55350000000.0,0.0,-77000000000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1123682.0
37,Lưu chuyển tiền thuần trong kỳ,114337686.0,747545373.0,22024743067.0,-21315576098.0,1268731267.0,-2899033241.0,56268837.0,912196833.0,-282772259.0,-462110285.0
38,Tiền và tương đương tiền đầu kỳ,84752376.0,199724044.0,947269417.0,22972149375.0,1656666865.0,2925394086.0,26360845.0,82629682.0,994826515.0,712054256.0
39,Ảnh hưởng của chênh lệch tỷ giá,633982.0,0.0,136891.0,93588.0,-4046.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,199724044.0,947269417.0,22972149375.0,1656666865.0,2925394086.0,26360845.0,82629682.0,994826515.0,712054256.0,249943971.0
