,Unnamed: 0,2014,2015,2016,2017,2018,2019,2020,2021
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,1233752862.0,14059727440.0,-2697048959.0,11174331026.0,13639051514.0,9680321457.0,552894323.0,15157670938.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,0.0,11680612185.0,14127219953.0,11760269593.0,13506226133.0,7739286308.0
2,Lãi trước thuế,0.0,0.0,0.0,8237218944.0,10635329156.0,10808176791.0,8691772240.0,8044183142.0
3,Khấu hao TSCĐ,0.0,0.0,0.0,2856660449.0,1757209561.0,1665202459.0,1883459870.0,2076357529.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,2030043666.0,-399746272.0,3470390522.0,-2064553231.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,586732792.0,-295362430.0,-313363385.0,-539396499.0,-316701132.0
9,Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,0.0,-1783072944.0,-6487427652.0,619445789.0,-5614565227.0,9822760786.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,2122455029.0,-101935016.0,2494918349.0,-5900679798.0,4429741433.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,0.0,579912042.0,7356864927.0,-3295657373.0,2861508422.0,-3615891388.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,0.0,1863268006.0,69174762.0,-54840236.0,-344925839.0,340177085.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,-2401734021.0,-218151920.0,-460000000.0,-1017639784.0,-1700000000.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,127843872.0,34488530.0,24470000.0,28093736.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,-887109271.0,-1234537412.0,-1418303195.0,-2961499584.0,-1886497022.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-388414599.0,8933223.0,-1415009594.0,-5004702041.0,-1970197593.0,-1037187458.0,-3086292162.0,-422365522.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-417171071.0,-22058827.0,-1777796410.0,-4883559232.0,-2224672793.0,-1902534336.0,-2612720551.0,-816853355.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25793793.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,-18740395506.0,-551983493.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,18229299243.0,511096263.0,551983493.0,-1012968110.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,28756472.0,30992050.0,362786816.0,389953454.0,295362430.0,313363385.0,539396499.0,368694040.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,0.0,0.0,-2926800000.0,-1783934545.0,-6800000000.0,-4510632500.0,-5574050000.0,-4594557500.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,0.0,1814545455.0,-500000000.0,2000000000.0,2000000000.0,0.0
33,Tiển trả các khoản đi vay,0.0,0.0,0.0,0.0,0.0,-2250000000.0,-2250000000.0,-250000000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,-2926800000.0,-3598480000.0,-6300000000.0,-4260632500.0,-5324050000.0,-4344557500.0
37,Lưu chuyển tiền thuần trong kỳ,845338263.0,14068660663.0,-7038858553.0,4385694440.0,4868853921.0,4132501499.0,-8107447839.0,10140747916.0
38,Tiền và tương đương tiền đầu kỳ,1745067614.0,2590405877.0,16659066540.0,9620207987.0,14005902427.0,18874756348.0,23007257847.0,14899810008.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,2590405877.0,16659066540.0,9620207987.0,14005902427.0,18874756348.0,23007257847.0,14899810008.0,25040557924.0
