,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,120640678588.0,179952954753.0,147642372079.0,132411212285.0,127590124995.0,103390318546.0,108615514729.0,87606286509.0,86601601750.0,107396199704.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3445273.0,0.0
2,Doanh số thuần,120640678588.0,179952954753.0,147642372079.0,132411212285.0,127590124995.0,103390318546.0,108615514729.0,87606286509.0,86598156477.0,107396199704.0
3,Giá vốn hàng bán,-111289306728.0,-169142083336.0,-136090974142.0,-119579048726.0,-116268615507.0,-95330248261.0,-99722959017.0,-79681416517.0,-78526783446.0,-100200082999.0
4,Lãi gộp,9351371860.0,10810871417.0,11551397937.0,12832163559.0,11321509488.0,8060070285.0,8892555712.0,7924869992.0,8071373031.0,7196116705.0
5,Thu nhập tài chính,299791884.0,295972576.0,438006383.0,131781217.0,920477421.0,3232912.0,15366507.0,4187528.0,2022860.0,778928027.0
6,Chi phí tài chính,-2048656577.0,-1549171997.0,-1210029822.0,-1837907234.0,-1941365884.0,-1901537383.0,-1812199255.0,-1652668320.0,-1560935260.0,-1628247384.0
7,Trong đó: Chi phí lãi vay,-2048656577.0,-1549171997.0,-1207611182.0,-1837907234.0,-1941365884.0,-1901537383.0,-1812199255.0,-1652668320.0,-1560935260.0,-1628247384.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-2334459681.0,-1848797850.0,-1771476511.0,-1429280153.0,-1153623708.0,-1150266835.0,-958463293.0,-1304587967.0,-1502819518.0,-1282405197.0
10,Chi phí quản lý doanh  nghiệp,-3971171000.0,-5285816741.0,-6319454524.0,-6063223793.0,-6486154037.0,-4249815064.0,-4443359270.0,-4488303087.0,-4409635877.0,-6470247650.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1296876486.0,2423057405.0,2688443463.0,3633533596.0,2660843280.0,761683915.0,1693900401.0,483498146.0,600005236.0,-1405855499.0
12,Thu nhập khác,420051651.0,75006005.0,279462653.0,423913151.0,688022269.0,4114.0,264239374.0,781.0,1057017660.0,64158127857.0
13,Chi phí khác,-361785691.0,-240595496.0,-206824340.0,-140188468.0,-95920356.0,-141126235.0,-134244697.0,-26330115.0,-60133193.0,-75903122.0
14,"Thu nhập khác, ròng",58265960.0,-165589491.0,72638313.0,283724683.0,592101913.0,-141122121.0,129994677.0,-26329334.0,996884467.0,64082224735.0
16,Lãi/(lỗ) ròng trước thuế,1355142446.0,2257467914.0,2761081776.0,3917258279.0,3252945193.0,620561794.0,1823895078.0,457168812.0,1596889703.0,62676369236.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-337701462.0,-474547576.0,-559377729.0,-795802304.0,-542449888.0,-152337559.0,-388987928.0,-80852649.0,-264102848.0,-12831625571.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-337701462.0,-474547576.0,-559377729.0,-795802304.0,-542449888.0,-152337559.0,-388987928.0,-80852649.0,-264102848.0,-12831625571.0
20,Lãi/(lỗ) thuần sau thuế,1017440984.0,1782920338.0,2201704047.0,3121455975.0,2710495305.0,468224235.0,1434907150.0,376316163.0,1332786855.0,49844743665.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1017440984.0,1782920338.0,2201704047.0,3121455975.0,2710495305.0,468224235.0,1434907150.0,376316163.0,1332786855.0,49844743665.0
23,Lãi cơ bản trên cổ phiếu,863.0,1512.0,1673.0,2419.0,2259.0,390.0,1196.0,314.0,1111.0,41537.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,1196.0,0.0,1111.0,41537.0
