,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,52875522372.0,113552129282.0,39996780179.0,4003452192.0,27887934058.0,7357749103.0,16667870213.0,27034099310.0,38583725671.0,27185381978.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,-826389007.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,52875522372.0,113552129282.0,39996780179.0,4003452192.0,27887934058.0,6531360096.0,16667870213.0,27034099310.0,38583725671.0,27185381978.0
3,Giá vốn hàng bán,-27929260775.0,-71661316414.0,-25615197381.0,-7774813075.0,-24471686392.0,-22104894798.0,-17899437529.0,-25827145220.0,-40572580322.0,-32414586309.0
4,Lãi gộp,24946261597.0,41890812868.0,14381582798.0,-3771360883.0,3416247666.0,-15573534702.0,-1231567316.0,1206954090.0,-1988854651.0,-5229204331.0
5,Thu nhập tài chính,1253308539.0,50997739.0,510501124.0,56307074.0,1891992.0,3789784.0,693647.0,8002575.0,407356.0,66868144.0
6,Chi phí tài chính,-4077115094.0,-4621865198.0,-5779623172.0,-8947878151.0,-18106875264.0,-12760912827.0,-10194712124.0,-10293823385.0,-10177242662.0,-10372662336.0
7,Trong đó: Chi phí lãi vay,-4077115094.0,-4452420754.0,-5694900949.0,-8881932017.0,-15892558550.0,-12757254682.0,-10138888889.0,-10166666668.0,-9997226301.0,-4946192329.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,-2179085798.0,-1393562062.0,-1035169424.0,-1037821344.0,-454535850.0,-416577236.0,-636788911.0,-1615854643.0,-2004957892.0
10,Chi phí quản lý doanh  nghiệp,-4770389440.0,-4680152834.0,-5261282145.0,-9536922505.0,-78447913639.0,-54700170716.0,-1541738151.0,-1144062517.0,34047079805.0,16560217335.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,17352065602.0,30460706777.0,2457616543.0,-23235023889.0,-94174470589.0,-83485364311.0,-13383901180.0,-10859718148.0,20265535205.0,-979739080.0
12,Thu nhập khác,4425361785.0,18597210818.0,1180809471.0,289074995.0,4654128130.0,76670544.0,0.0,76666667.0,29454830.0,351736.0
13,Chi phí khác,-5240506468.0,-16436946864.0,-3417784621.0,-24336079064.0,-29080123059.0,-40517665263.0,-11570038643.0,-1354714329.0,-406887989.0,-5986847793.0
14,"Thu nhập khác, ròng",-815144683.0,2160263954.0,-2236975150.0,-24047004069.0,-24425994929.0,-40440994719.0,-11570038643.0,-1278047662.0,-377433159.0,-5986496057.0
16,Lãi/(lỗ) ròng trước thuế,16536920919.0,32620970731.0,220641393.0,-47282027958.0,-118600465518.0,-123926359030.0,-24953939823.0,-12137765810.0,19888102046.0,-6966235137.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-3774886351.0,-7181993292.0,-181525893.0,0.0,0.0,0.0,0.0,0.0,0.0,-81275667.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-3774886351.0,-7181993292.0,-181525893.0,0.0,0.0,0.0,0.0,0.0,0.0,-81275667.0
20,Lãi/(lỗ) thuần sau thuế,12762034568.0,25438977439.0,39115500.0,-47282027958.0,-118600465518.0,-123926359030.0,-24953939823.0,-12137765810.0,19888102046.0,-7047510804.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,12762034568.0,25438977439.0,39115500.0,-47282027958.0,-118600465518.0,-123926359030.0,-24953939823.0,-12137765810.0,19888102046.0,-7047510804.0
23,Lãi cơ bản trên cổ phiếu,1719.0,2557.0,2.0,2960.0,-7413.0,-7.745,-1560.0,-759.0,1243.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,-7413.0,0.0,0.0,0.0,0.0,0.0
