,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,165301818293.0,173152526909.0,144341412871.0,138446778279.0,186409831194.0,111385749660.0,206494076831.0,114820858408.0,151834731144.0,100846985786.0
1,TÀI SẢN NGẮN HẠN,141253312581.0,143997743737.0,118530610975.0,113027617813.0,161490760034.0,89194353784.0,184650647257.0,95136426092.0,134572914857.0,85474163772.0
2,Tiền và tương đương tiền,35459331223.0,42233467959.0,26410895496.0,6496929174.0,55272886782.0,14982581476.0,8303245517.0,1406246422.0,8292033120.0,7763356928.0
3,Tiền,9459331223.0,32233467959.0,26410895496.0,6496929174.0,55272886782.0,14982581476.0,8303245517.0,1406246422.0,8292033120.0,3763356928.0
4,Các khoản tương đương tiền,26000000000.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,2500000000.0,1953854261.0,144052896.0,100704800.0,92997800.0,144052896.0,144052896.0,144052896.0
6,Đầu tư ngắn hạn,0.0,0.0,2500000000.0,1953854261.0,144052896.0,144052896.0,144052896.0,144052896.0,144052896.0,144052896.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,-43348096.0,-51055096.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,84060861108.0,58957619666.0,67805779125.0,41386564501.0,52615695629.0,17732293545.0,61393337711.0,33532279119.0,60175512250.0,12424433421.0
10,Phải thu khách hàng,83595826418.0,55888313236.0,57226393934.0,38157849091.0,50407707954.0,14790728493.0,58486339433.0,30535115831.0,58144162425.0,9910030433.0
11,Trả trước người bán,115626669.0,586356014.0,5206149042.0,304780730.0,20500000.0,418696000.0,532031785.0,245998314.0,185780500.0,473955700.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,677658641.0,2811201036.0,5885678154.0,3700572426.0,2187487675.0,2522869052.0,2374966493.0,2757004198.0,1856998322.0,2040447288.0
16,Dự phòng nợ khó đòi,-328250620.0,-328250620.0,-512442005.0,-776637746.0,0.0,0.0,0.0,-5839224.0,-11428997.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",19544845837.0,42698255378.0,21383546949.0,62755872420.0,52732574569.0,53191438909.0,111184944669.0,57350104389.0,63350383877.0,62346262405.0
19,Hàng tồn kho,19859267818.0,43334404197.0,22331179381.0,63572917741.0,53232025853.0,53662038484.0,111655544244.0,57746956106.0,63598699925.0,62599245574.0
20,Dự phòng giảm giá HTK,-314421981.0,-636148819.0,-947632432.0,-817045321.0,-499451284.0,-470599575.0,-470599575.0,-396851717.0,-248316048.0,-252983169.0
21,Tài sản lưu động khác,2188274413.0,108400734.0,430389405.0,434397457.0,725550158.0,3187335054.0,3676121560.0,2703743266.0,2610932714.0,2796058122.0
22,Trả trước ngắn hạn,187326777.0,108400734.0,430389405.0,434397457.0,209404337.0,116875326.0,175629061.0,202425964.0,395924268.0,263762698.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0,2554313907.0,2984346678.0,1985171481.0,1698862625.0,2020691964.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,516145821.0,516145821.0,516145821.0,516145821.0,516145821.0,511603460.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,2000947636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,24048505712.0,29154783172.0,25810801896.0,25419160466.0,24919071160.0,22191395876.0,21843429574.0,19684432316.0,17261816287.0,15372822014.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,20976318337.0,22910121817.0,24904463507.0,24726063714.0,22063185508.0,19145020092.0,18605706184.0,18329744824.0,15739233520.0,13210061872.0
37,GTCL TSCĐ hữu hình,16259655078.0,20708927353.0,22685098792.0,22516348999.0,19863120792.0,16912670308.0,16291430358.0,16035781498.0,13465582694.0,10956723546.0
