,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,611669364911.0,593353745390.0,780623815345.0,845392186767.0,1221155561815.0,1730929127063.0,1712471440846.0,1800406954196.0,1781028068118.0,2105322887503.0
1,TÀI SẢN NGẮN HẠN,395675532521.0,394441177261.0,586159183855.0,646646800208.0,734843534249.0,1246519616167.0,1376618361925.0,1442218072079.0,1261155476594.0,1422244637211.0
2,Tiền và tương đương tiền,16469893187.0,18363025964.0,13248702947.0,11111167789.0,19919971254.0,22603807470.0,14499004915.0,41877931541.0,41255262412.0,52851714658.0
3,Tiền,16469893187.0,18363025964.0,13248702947.0,11111167789.0,19919971254.0,22603807470.0,14499004915.0,12877931541.0,14909317207.0,52851714658.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000000000.0,26345945205.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,200000000000.0,206000000000.0,224400000000.0,640490000000.0,838255000000.0,877875797749.0,655923100000.0,248495032420.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70270000000.0,94795000000.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,200000000000.0,206000000000.0,224400000000.0,640490000000.0,838255000000.0,877875797749.0,585653100000.0,153700032420.0
9,Các khoản phải thu,190349671589.0,192562648079.0,172370117912.0,236118842266.0,222996276795.0,267191746894.0,289231745839.0,288736575421.0,233633989883.0,776382287481.0
10,Phải thu khách hàng,202772844908.0,235421009628.0,188849214877.0,234836383121.0,224179243516.0,261980337690.0,247105318399.0,215158476730.0,203660084392.0,251993652048.0
11,Trả trước người bán,3018623116.0,2381122601.0,8679047632.0,36293966665.0,24371840027.0,6341512671.0,17212506796.0,76630653360.0,57622259137.0,104790547920.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,6666844710.0,7111512749.0,14337489119.0,14893201283.0,23337521485.0,52146815521.0,77335330972.0,49341896857.0,28652701994.0,477303701054.0
16,Dự phòng nợ khó đòi,-22108641145.0,-52350996899.0,-39495633716.0,-49904708803.0,-48892328233.0,-53276918988.0,-52421410328.0,-52394451526.0,-56301055640.0,-57705613541.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",178069745432.0,175333226629.0,197756278329.0,189939893124.0,253713879657.0,297946447531.0,227082192942.0,226988243589.0,308196486695.0,315080042466.0
19,Hàng tồn kho,182873083432.0,187135777354.0,203572540469.0,193810079616.0,271411729820.0,303326724351.0,231620160167.0,236088220247.0,310485147629.0,320243529424.0
20,Dự phòng giảm giá HTK,-4803338000.0,-11802550725.0,-5816262140.0,-3870186492.0,-17697850163.0,-5380276820.0,-4537967225.0,-9099976658.0,-2288660934.0,-5163486958.0
21,Tài sản lưu động khác,10786222313.0,8182276589.0,2784084667.0,3476897029.0,13813406543.0,18287614272.0,7550418229.0,6739523779.0,22146637604.0,29435560186.0
22,Trả trước ngắn hạn,3508146985.0,4119471948.0,1942711812.0,2138322748.0,4549475878.0,3548175146.0,3612960715.0,3740953630.0,1659728461.0,1708716212.0
23,Thuế VAT phải thu,369836005.0,407088375.0,456966842.0,865953820.0,8879007507.0,13159114307.0,3492315785.0,2522253440.0,18169015906.0,27406747819.0
24,Phải thu thuế khác,372584739.0,353541932.0,384406013.0,472620461.0,384923158.0,1580324819.0,445141729.0,476316709.0,2317893237.0,320096155.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,6535654584.0,3302174334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,215993832390.0,198912568129.0,194464631490.0,198745386559.0,486312027566.0,484409510896.0,335853078921.0,358188882117.0,519872591524.0,683078250292.0
28,Phải thu dài hạn,0.0,0.0,120000000.0,0.0,18951699326.0,2000000.0,374500000.0,374500000.0,374500000.0,854500000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,18949699326.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,120000000.0,0.0,2000000.0,2000000.0,374500000.0,374500000.0,374500000.0,854500000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,212418489369.0,192706745168.0,185397788755.0,178960231652.0,275193872910.0,435706620673.0,318910239569.0,295879720076.0,486468339350.0,464221264140.0
37,GTCL TSCĐ hữu hình,193634396319.0,175028180541.0,164923538369.0,157566326506.0,248958204760.0,407284720134.0,297436620869.0,274513538850.0,465317485173.0,422618292933.0
38,Nguyên giá TSCĐ hữu hình,434072789856.0,436903407857.0,444269453137.0,456426760496.0,708462305112.0,903142984062.0,667572476868.0,669673766862.0,894535700933.0,875022166872.0
39,Khấu hao lũy kế TSCĐ hữu hình,-240438393537.0,-261875227316.0,-279345914768.0,-298860433990.0,-459504100352.0,-495858263928.0,-370135855999.0,-395160228012.0,-429218215760.0,-452403873939.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20619306398.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20968786167.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-349479769.0
43,GTCL tài sản cố định vô hình,17584952867.0,17524166627.0,20474250386.0,21393905146.0,26235668150.0,28421900539.0,21473618700.0,21366181226.0,21150854177.0,20983664809.0
44,Nguyên giá TSCĐ vô hình,17710139227.0,17710139227.0,20721009227.0,21709689227.0,29662846167.0,32190180793.0,22265168003.0,22373057579.0,22373057579.0,22373057579.0
45,Khấu hao lũy kế TSCĐ vô hình,-125186360.0,-185972600.0,-246758841.0,-315784081.0,-3427178017.0,-3768280254.0,-791549303.0,-1006876353.0,-1222203402.0,-1389392770.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,84458000.0,59270000.0,116317420505.0,4306952474.0,5170204839.0,50985590264.0,25712069500.0,206221867728.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,10000000000.0,30000000000.0,0.0,1000000000.0,1000000000.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,10000000000.0,30000000000.0,0.0,1000000000.0,1000000000.0,0.0,0.0
58,Tài sản dài hạn khác,3575343021.0,6205822961.0,8862384735.0,9725884907.0,45849034825.0,44393937749.0,10398134513.0,9949071777.0,7317682674.0,11780618424.0
59,Trả trước dài hạn,399014504.0,1777939008.0,5404673314.0,7575756850.0,4451572979.0,10948656206.0,8016986689.0,6195623490.0,4896521485.0,5848614934.0
60,Thuế thu nhập hoãn lại phải thu,0.0,4427883953.0,3457711421.0,2150128057.0,2519051634.0,2289563320.0,2381147824.0,3753448287.0,2421161189.0,5932003490.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,3176328517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,331695252037.0,287730471306.0,213125415366.0,188745047248.0,429386977707.0,925802484185.0,828048961866.0,829411456121.0,759357932999.0,713665523351.0
65,Nợ ngắn hạn,328507662937.0,282837285928.0,206411992165.0,185407509142.0,268553670691.0,341615314261.0,326647198784.0,343580612887.0,652796913367.0,554067518856.0
66,Phải trả người bán,47310943015.0,42602958178.0,31226695262.0,24375970495.0,69777374608.0,49845797142.0,40535410903.0,26720824046.0,31116775621.0,36751259995.0
67,Người mua trả tiền trước,2338506006.0,664447590.0,640349291.0,3462226912.0,749843061.0,733601477.0,1369026302.0,1586671186.0,1243835830.0,2768486946.0
68,Thuế và các khoản phải trả Nhà nước,9132229520.0,4757051036.0,8605495665.0,21078823399.0,21224893312.0,1754220164.0,15030141718.0,18544399606.0,6538830826.0,14061349039.0
69,Phải trả người lao động,9566634844.0,6758339971.0,11161992325.0,13199220992.0,16661321682.0,17144080427.0,17406899613.0,15864593859.0,16392237987.0,19278768561.0
70,Chi phí phải trả,8193868951.0,7171308438.0,6723067356.0,4173001773.0,9986047344.0,15041519506.0,10135124007.0,14375342051.0,9469193491.0,27177368411.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730921209.0,0.0,0.0
