,CHỈ TIÊU,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,TỔNG TÀI SẢN,337462939083.0,324657570018.0,390275377115.0,319991472630.0,305353387262.0,311557283988.0,242017171904.0,238553466745.0,255310440165.0,214594645600.0
1,TÀI SẢN NGẮN HẠN,238350273437.0,227871958425.0,274587106970.0,209897908205.0,209970921748.0,217396968944.0,158221454346.0,163924313641.0,188859591910.0,160561007737.0
2,Tiền và tương đương tiền,4187567859.0,11711650221.0,6906199320.0,1115823542.0,6031919336.0,28907974937.0,6319238717.0,18285464144.0,4286704951.0,1782001427.0
3,Tiền,4187567859.0,11711650221.0,6906199320.0,1115823542.0,6031919336.0,18907974937.0,3707238717.0,15673464144.0,3674704951.0,1155001427.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,10000000000.0,2612000000.0,2612000000.0,612000000.0,627000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,43058565537.0,25422446314.0,24083982934.0,26559036237.0,26761530346.0,20884506077.0,23364606843.0,21572859103.0,19887365454.0,17597145898.0
10,Phải thu khách hàng,45070300852.0,35441977412.0,33717554532.0,43505570007.0,37232688110.0,36277266028.0,41564153259.0,39352090630.0,38025961922.0,35640694152.0
11,Trả trước người bán,6743047737.0,7096328873.0,4552143879.0,1783145080.0,6355261174.0,2523238493.0,1878184303.0,1602829261.0,1307330040.0,1233822254.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,1833577437.0,1283243846.0,4342368639.0,1088961317.0,2957266237.0,3109089213.0,3397825002.0,4093494933.0,4029629213.0,4198185213.0
16,Dự phòng nợ khó đòi,-10588360489.0,-18399103817.0,-19171307880.0,-19818640167.0,-19818640167.0,-21025087657.0,-23475555721.0,-23475555721.0,-23475555721.0,-23475555721.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,643223764.0,0.0,34954992.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",184378314090.0,181263655892.0,226747446277.0,169341029218.0,168409094293.0,148501748729.0,121057359582.0,113690313978.0,154524299322.0,137491798512.0
19,Hàng tồn kho,193511673666.0,196290202172.0,242927899963.0,182499466656.0,171472396974.0,152471510440.0,124953381110.0,117586335506.0,158420320850.0,141387820040.0
20,Dự phòng giảm giá HTK,-9133359576.0,-15026546280.0,-16180453686.0,-13158437438.0,-3063302681.0,-3969761711.0,-3896021528.0,-3896021528.0,-3896021528.0,-3896021528.0
21,Tài sản lưu động khác,6725825951.0,9474205998.0,16849478439.0,12882019208.0,8768377773.0,19102739201.0,7480249204.0,10375676416.0,10161222183.0,3690061900.0
22,Trả trước ngắn hạn,4290836181.0,7190989412.0,8795798644.0,4915314164.0,8345033432.0,18766820030.0,7480230461.0,10366685473.0,8805400805.0,3393220505.0
23,Thuế VAT phải thu,1394356846.0,565488084.0,7707807443.0,7636680155.0,0.0,0.0,0.0,0.0,1270699343.0,296841395.0
24,Phải thu thuế khác,170354561.0,673218968.0,345872352.0,330024889.0,423344341.0,335919171.0,18743.0,8990943.0,85122035.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,870278363.0,1044509534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
