,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,15267397268.0,4426204768.0,5845958407.0,8680442331.0,48545394061.0,1117371599.0,-929409520.0,4223262344.0,-24893461001.0,-16295985511.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12102726901.0,15081186580.0
2,Lãi trước thuế,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5818262087.0,13340510964.0
3,Khấu hao TSCĐ,2935809006.0,2924423107.0,2773012289.0,4259147843.0,5303912804.0,5907704817.0,4758926728.0,4419034150.0,4814406002.0,4812496344.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3102350828.0,-372978383.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4084849827.0,-4209269331.0
9,Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452557811.0,1510426986.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25160797624.0,-69059886753.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7346068540.0,-821670082.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4935700465.0,22479060920.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512257361.0,-497915541.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19569408858.0,19566635447.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2466634417.0,-1507734875.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1772105036.0,-834111207.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-821268333.0,-701550000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,23283369.0,-911465635.0,-9909800086.0,-18402677247.0,-1944319810.0,-5338019844.0,-1339936856.0,11752604338.0,32555665616.0,4209269331.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,-945101000.0,-14968531406.0,-13726605609.0,-2742241497.0,-6257946542.0,-340713936.0,0.0,-1158040000.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,4654605455.0,154545455.0,250000000.0,80000000.0,0.0,280000000.0,640000000.0,101851852.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,-63737410956.0,-76600000000.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,61228857534.0,85108553422.0,25000000000.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,-6000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500000000.0,0.0
28,Cổ tức và tiền lãi nhận được,23283369.0,33635365.0,404125865.0,1169382907.0,547921687.0,839926698.0,1509330502.0,2964050916.0,3573705616.0,4107417479.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-4247993523.0,-11436102440.0,7006444546.0,7202489515.0,-12067037287.0,-17603703275.0,-8354216317.0,-14532743383.0,-8595922108.0,10774477534.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,4514170000.0,0.0,0.0,0.0,10000000000.0,0.0,1323000000.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,-7426893655.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,59763655297.0,33641785527.0,69052074349.0,67850721428.0,70378168771.0,69583716628.0,50444882676.0,23330355200.0,11933303512.0,22950000000.0
33,Tiển trả các khoản đi vay,-61539648820.0,-45077887967.0,-53850958313.0,-62083287698.0,-80016801438.0,-74089501623.0,-53131078743.0,-41065490503.0,-12862000000.0,-9150000000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-2472000000.0,0.0,-8194671490.0,-3079114215.0,-2428404620.0,-5671024625.0,-5668020250.0,-6797608080.0,-7667225620.0,-4348522466.0
37,Lưu chuyển tiền thuần trong kỳ,11042687114.0,-7921363307.0,2942602867.0,-2519745401.0,34534036964.0,-21824351520.0,-10623562693.0,1443123299.0,-933717493.0,-1312238646.0
