,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,96460474277.0,63237062810.0,66630145489.0,72052436900.0,38763128275.0,48631868947.0,38058060312.0,88301479353.0,49646210650.0,49336476389.0
1,Các khoản giảm trừ,-474461874.0,-23442857.0,-83415366.0,-348181818.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,95986012403.0,63213619953.0,66546730123.0,71704255082.0,38763128275.0,48631868947.0,38058060312.0,88301479353.0,49646210650.0,49336476389.0
3,Giá vốn hàng bán,-88714556316.0,-56086029495.0,-59469455342.0,-55745839492.0,-31598757035.0,-46195275895.0,-29787171300.0,-79262266119.0,-51835641088.0,-48186853276.0
4,Lãi gộp,7271456087.0,7127590458.0,7077274781.0,15958415590.0,7164371240.0,2436593052.0,8270889012.0,9039213234.0,-2189430438.0,1149623113.0
5,Thu nhập tài chính,3946508682.0,2634374025.0,1494562981.0,906396301.0,12220282.0,20740134.0,4047186.0,2945400.0,4475958.0,1729657.0
6,Chi phí tài chính,-6077858253.0,-4006613580.0,-4756745037.0,-11679285391.0,-8447722551.0,-17909967891.0,-4821403552.0,-10259551258.0,-7698744441.0,-8678148057.0
7,Trong đó: Chi phí lãi vay,-3139170184.0,-3340324348.0,-4619848687.0,-11637688310.0,-8447722551.0,-17909967891.0,-4821403552.0,-10259551258.0,-7698744441.0,-8678148057.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-5128125775.0,-5706775602.0,-3421654607.0,-3830356335.0,-3109598570.0,-2719866087.0,-3352222715.0,-2361297176.0,-1161959913.0,-1544729526.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,11980741.0,48575301.0,393438118.0,1355170165.0,-4380729599.0,-18172500792.0,101309931.0,-3578689800.0,-11045658834.0,-9071524813.0
12,Thu nhập khác,785677433.0,311145541.0,565283444.0,92402791.0,438469829.0,10380691108.0,37344350.0,4411968226.0,86076339.0,0.0
13,Chi phí khác,-307925074.0,-933149995.0,-725821010.0,-4199241005.0,-2118614661.0,-3412461562.0,-1479024.0,-24982516.0,-56668686.0,-92013612.0
14,"Thu nhập khác, ròng",477752359.0,-622004454.0,-160537566.0,-4106838214.0,-1680144832.0,6968229546.0,35865326.0,4386985710.0,29407653.0,-92013612.0
16,Lãi/(lỗ) ròng trước thuế,489733100.0,-573429153.0,232900552.0,-2751668049.0,-6060874431.0,-11204271246.0,137175257.0,808295910.0,-11016251181.0,-9163538425.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-104004498.0,-119654194.0,-114036691.0,-718379277.0,-181895686.0,0.0,0.0,-488024860.0,-121922019.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,29845298.0,216311319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-74159200.0,96657125.0,-114036691.0,-718379277.0,-181895686.0,0.0,0.0,-488024860.0,-121922019.0,0.0
20,Lãi/(lỗ) thuần sau thuế,415573900.0,-476772028.0,118863861.0,-3470047326.0,-6242770117.0,-11204271246.0,137175257.0,320271050.0,-11138173200.0,-9163538425.0
21,Lợi ích của cổ đông thiểu số,7453456.0,3425259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,408120444.0,-480197287.0,118863861.0,-3470047326.0,-6242770117.0,-11204271246.0,137175257.0,320271050.0,-11138173200.0,-9163538425.0
23,Lãi cơ bản trên cổ phiếu,25.0,0.0,7.0,-217.0,-389.99,-699.95,9.0,20.0,-696.0,-572.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
