,CHỈ TIÊU,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,252727405054.0,201030245723.0,253513986874.0,215257842197.0,212793093545.0,187381800602.0,221965176832.0,203855701860.0
1,TÀI SẢN NGẮN HẠN,209904555114.0,143116266499.0,197003656531.0,159539714858.0,161694091797.0,140230978593.0,176620824369.0,165442550656.0
2,Tiền và tương đương tiền,49689374291.0,23136950180.0,79488428758.0,76141540976.0,38495035140.0,42791671827.0,40193536782.0,55661372250.0
3,Tiền,2518220116.0,12936338081.0,8801292578.0,39141540976.0,28495035140.0,36791671827.0,40193536782.0,55661372250.0
4,Các khoản tương đương tiền,47171154175.0,10200612099.0,70687136180.0,37000000000.0,10000000000.0,6000000000.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,97521503086.0,28508960088.0,78470113096.0,43150422874.0,38349866193.0,47969233433.0,50676786427.0,70759360756.0
10,Phải thu khách hàng,88182206676.0,25098187852.0,76477336844.0,40819754067.0,37621811347.0,46443198065.0,51196513415.0,67998967526.0
11,Trả trước người bán,7071388300.0,1231003864.0,862845290.0,153957001.0,1615433173.0,3328661000.0,166250000.0,2918335400.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,2267908110.0,2179768372.0,1129930962.0,2176711806.0,1038676239.0,576794316.0,1205107952.0,1344900369.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,-1926054566.0,-2379419948.0,-1891084940.0,-1502842539.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",62168284537.0,90537785500.0,38762618510.0,39935277875.0,84515669491.0,49417713380.0,85666597364.0,38730676627.0
19,Hàng tồn kho,63047383706.0,90814391745.0,39271371187.0,40211884120.0,85119407736.0,49417713380.0,87156211364.0,39832601442.0
20,Dự phòng giảm giá HTK,-879099169.0,-276606245.0,-508752677.0,-276606245.0,-603738245.0,0.0,-1489614000.0,-1101924815.0
21,Tài sản lưu động khác,525393200.0,932570731.0,282496167.0,312473133.0,333520973.0,52359953.0,83903796.0,291141023.0
22,Trả trước ngắn hạn,467603598.0,304642762.0,221385167.0,312473133.0,333520973.0,52359953.0,83903796.0,291141023.0
23,Thuế VAT phải thu,57789602.0,103205002.0,61111000.0,0.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,524722967.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,42822849940.0,57913979224.0,56510330343.0,55718127339.0,51099001748.0,47150822009.0,45344352463.0,38413151204.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,40667110204.0,56147611624.0,53750637333.0,55109556720.0,50648358539.0,45470916161.0,43782269559.0,37401105630.0
37,GTCL TSCĐ hữu hình,40448290746.0,55953792166.0,53581817871.0,54873737254.0,50446739073.0,45303496695.0,43649050094.0,37302086165.0
