,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-33235434000.0,-73063461806.0,-241083873301.0,82426647987.0,105707118390.0,24853774703.0,39425250000.0,26264881123.0,70387681817.0,5867684696.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,15185922639.0,36921258139.0,50043951191.0,2834921619.0,-20742218391.0,-23650545047.0,-69631347410.0,-31004048809.0,-23651865120.0,-2857604745.0
2,Lãi trước thuế,135814035.0,23130418861.0,36149923843.0,-37206488242.0,-84771423850.0,-152935405099.0,-166067072398.0,-180274631647.0,-24381237003.0,-3375704489.0
3,Khấu hao TSCĐ,2279000847.0,1489882034.0,3620736079.0,5267738948.0,2944864791.0,2392115411.0,1691029336.0,1310731358.0,803711151.0,533175432.0
5,Chi phí dự phòng,500000000.0,4214558052.0,0.0,20871696236.0,56993128688.0,123996857417.0,71435657802.0,139529529384.0,-288460000.0,-15000000.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,4430576500.0,940842428.0,16213625.0,4993230375.0,-280218620.0,47477242.0,21484336670.0,-631963822.0,-160152.0,-75688.0
9,Chi phí lãi vay,7840531257.0,7145556764.0,7810918316.0,8908744302.0,4371430600.0,2848409982.0,1824701180.0,9062285918.0,214280884.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,17937041788.0,-205544446619.0,-329055056459.0,96902017703.0,146060686386.0,40399902460.0,68758689251.0,72598083130.0,-25021397007.0,24422915024.0
13,(Tăng)/giảm hàng tồn kho,-30999998319.0,88511020878.0,-35060200718.0,110590416051.0,-30292981021.0,16958775034.0,34305468570.0,-9098206610.0,75005297807.0,-22934238272.0
14,Tăng/(giảm) các khoản phải trả,6030762660.0,35796227983.0,82425888927.0,-116757332943.0,15440300533.0,-8608218787.0,10513200934.0,3749839011.0,45128299105.0,7236612689.0
15,( Tăng)/giảm chi phí trả trước,-347198332.0,-1597310474.0,-204449838.0,-288709956.0,54276945.0,3105112834.0,0.0,0.0,0.0,0.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-35943030728.0,-22059517850.0,-7810918316.0,-8908744302.0,-4371430600.0,-2848409982.0,-1824701180.0,-25000000.0,-214280884.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,-4900917739.0,-5090693863.0,-591656888.0,-822884199.0,-407196462.0,-389075809.0,-2482974165.0,-9953285599.0,-858372084.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-198015969.0,0.0,-831431200.0,-1123035986.0,-34319000.0,-113766000.0,-213086000.0,-2500000.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,10678143842.0,-3362967994.0,-17772078458.0,6340155416.0,3422663621.0,3112471938.0,4920663330.0,1138140375.0,160152.0,75688.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-177645806.0,-3927792755.0,-16824370800.0,-2535000000.0,-350000000.0,-220000000.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,12504318460.0,477272727.0,0.0,11059090908.0,493636363.0,3330000000.0,4020000001.0,1137819000.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-1693403482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,-1029695000.0,-2250000000.0,-1000000000.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,4269500000.0,0.0,900000000.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,44874670.0,87552034.0,81987342.0,66064508.0,9527258.0,2471938.0,663329.0,321375.0,160152.0,75688.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,30529101134.0,69797289692.0,282928478647.0,-114289465433.0,-109853721607.0,-28769022093.0,-44370753293.0,-27839767886.0,-70386979823.0,-5865800419.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,101733500000.0,182321600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,140796641750.0,100024980339.0,308797600524.0,304001457894.0,224770728000.0,115373491026.0,30537778082.0,4138363841.0,110000000.0,15824000000.0
33,Tiển trả các khoản đi vay,-110267540616.0,-131961190647.0,-208190721877.0,-418290923327.0,-334624449607.0,-144142513119.0,-74908531375.0,-31978131727.0,-70496979823.0,-21689800419.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,7971810976.0,-6629140108.0,24072526888.0,-25522662030.0,-723939596.0,-802775452.0,-24839963.0,-436746388.0,862146.0,1959965.0
38,Tiền và tương đương tiền đầu kỳ,2441820137.0,10413631113.0,3784491005.0,27857017893.0,2334355863.0,1610416267.0,705815960.0,680975997.0,244229609.0,245091755.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,10413631113.0,3784491005.0,27857017893.0,2334355863.0,1610416267.0,807640815.0,680975997.0,244229609.0,245091755.0,247051720.0
