,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,268507172546.0,273185232891.0,351561866879.0,790716321844.0,707244232543.0,467096027638.0,332088224529.0,305748641540.0,268570321929.0,234419714559.0
1,TÀI SẢN NGẮN HẠN,199282573347.0,203864067237.0,273320072779.0,712802094060.0,628976079144.0,393824190103.0,235081365245.0,190067255862.0,150424026579.0,130836948099.0
2,Tiền và tương đương tiền,7514548785.0,6264888125.0,5982382527.0,12060988304.0,16778424433.0,2707937145.0,17828863014.0,16889785033.0,27732795492.0,13991359675.0
3,Tiền,6764548785.0,6264888125.0,5982382527.0,12060988304.0,5478424433.0,2707937145.0,3728863014.0,6889785033.0,3732795492.0,7491359675.0
4,Các khoản tương đương tiền,750000000.0,0.0,0.0,0.0,11300000000.0,0.0,14100000000.0,10000000000.0,24000000000.0,6500000000.0
5,Giá trị thuần đầu tư ngắn hạn,68807043918.0,56237396250.0,37487396250.0,45987396250.0,69987396250.0,27287396250.0,25787396250.0,2787396250.0,38287396250.0,45987396250.0
6,Đầu tư ngắn hạn,71807043918.0,56245396250.0,287396250.0,287396250.0,287396250.0,287396250.0,287396250.0,287396250.0,287396250.0,287396250.0
7,Dự phòng đầu tư ngắn hạn,-3000000000.0,-8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,37200000000.0,45700000000.0,69700000000.0,27000000000.0,25500000000.0,2500000000.0,38000000000.0,45700000000.0
9,Các khoản phải thu,42747918745.0,57527728685.0,120930197025.0,441420385834.0,428096774086.0,246633998982.0,49577350125.0,56574912942.0,25123606467.0,30605169132.0
10,Phải thu khách hàng,31551997287.0,42267029214.0,117396351673.0,438806588666.0,421471666382.0,238781610361.0,33093959973.0,53243450580.0,23507142354.0,27547843697.0
11,Trả trước người bán,9078628381.0,16144366016.0,2932841527.0,2211473230.0,5022376474.0,7269439973.0,14087692587.0,3651556165.0,1850727580.0,852180605.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,3169910611.0,525525494.0,2195810506.0,2034432498.0,2698351920.0,2197178524.0,4128282392.0,1846194761.0,2196576114.0,3963938937.0
16,Dự phòng nợ khó đòi,-1052617534.0,-1409192039.0,-1726332532.0,-1817953506.0,-1281465636.0,-1807600179.0,-1923855742.0,-2316003015.0,-2580554032.0,-1908508558.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,131525851.0,185844946.0,185844946.0,193370303.0,191270915.0,149714451.0,149714451.0,149714451.0
18,"Hàng tồn kho, ròng",74565640630.0,80260308715.0,107345845855.0,204985833833.0,108103519808.0,112391890150.0,135887338099.0,109283151735.0,53955364695.0,34416010566.0
19,Hàng tồn kho,75005521642.0,80729899899.0,107931967719.0,205493747872.0,108694816847.0,113340040189.0,136573609138.0,110061397376.0,54739944268.0,35581774485.0
20,Dự phòng giảm giá HTK,-439881012.0,-469591184.0,-586121864.0,-507914039.0,-591297039.0,-948150039.0,-686271039.0,-778245641.0,-784579573.0,-1165763919.0
21,Tài sản lưu động khác,5647421269.0,3573745462.0,1574251122.0,8347489839.0,6009964567.0,4802967576.0,6000417757.0,4532009902.0,5324863675.0,5837012476.0
22,Trả trước ngắn hạn,545409414.0,1068468585.0,62176351.0,1337292876.0,3321295381.0,3768169175.0,3191025447.0,4046174034.0,4253313489.0,2798927213.0
23,Thuế VAT phải thu,2936123629.0,1279271014.0,1204934172.0,6703285914.0,2381758137.0,989097272.0,2763691181.0,0.0,457087107.0,0.0
24,Phải thu thuế khác,377556838.0,429704088.0,307140599.0,306911049.0,306911049.0,45701129.0,45701129.0,485835868.0,614463079.0,3038085263.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
