,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,40805408133.0,35368059448.0,15613691655.0,37786182392.0,9520832041.0,90000512369.0,42344621974.0,23803104768.0,-31607759334.0,38963971278.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,37612762620.0,49512973231.0,51768851299.0,59323268286.0,96072743657.0,108777596651.0,84511960211.0,66126227195.0,57076223959.0,60274286001.0
2,Lãi trước thuế,18458938518.0,31267621582.0,36076466781.0,50800906316.0,84249424260.0,93900741175.0,70425439180.0,53097561273.0,-1595270215.0,-9007091555.0
3,Khấu hao TSCĐ,14875290623.0,15057737107.0,13302515651.0,11508389042.0,12823244362.0,14136663647.0,13533386372.0,14162326147.0,41416211102.0,48058272393.0
5,Chi phí dự phòng,-2568040751.0,180167064.0,360203049.0,735041895.0,824447030.0,846365679.0,622725489.0,2131397528.0,3524706713.0,709433959.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,427266994.0,73451518.0,26975885.0,731877805.0,0.0,150670076.0,21322872.0,20807780.0,-86870946.0,-82838813.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-191249871.0,-457313091.0,-95534206.0,-5793427770.0,-2378306836.0,-328029638.0,-90913702.0,-7192815116.0,-6749480723.0,-5412390395.0
9,Chi phí lãi vay,6610557107.0,3391309051.0,2098224139.0,1340480998.0,553934841.0,71185712.0,0.0,3906949583.0,20566928028.0,26008900412.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-11534567.0,-4017568197.0,4106808057.0,-2165059690.0,-78966144270.0,-7701495802.0,-21077164733.0,8908504309.0,-69608560918.0,2386833921.0
13,(Tăng)/giảm hàng tồn kho,-84572104.0,16616301.0,129792386.0,8919432.0,30154010.0,-44568711.0,-17794423.0,57031572.0,-22087554.0,-498638018.0
14,Tăng/(giảm) các khoản phải trả,9454733973.0,1121704859.0,-9614722063.0,597898463.0,1532363393.0,2737202381.0,4230557138.0,-823043691.0,-3242133872.0,-1820099340.0
15,( Tăng)/giảm chi phí trả trước,7993991217.0,-2686557383.0,-18619993420.0,-9124317715.0,11526898847.0,9232024373.0,7721667177.0,4592904057.0,9643489439.0,4451250990.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
