,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,222531717677.0,227239496873.0,232177548199.0,289390789455.0,317753892884.0,394913942197.0,463892939989.0,535021584158.0,668843309763.0,749012188548.0
1,TÀI SẢN NGẮN HẠN,146120155211.0,19300019246.0,41425079842.0,55218451136.0,74987931361.0,79311907376.0,97839742062.0,112740996731.0,240645998870.0,232207867469.0
2,Tiền và tương đương tiền,3848118568.0,3804553701.0,4569675058.0,3141122851.0,15348347508.0,16320021925.0,18608696897.0,47946339176.0,42990537987.0,9287822126.0
3,Tiền,3848118568.0,3804553701.0,4569675058.0,3141122851.0,7848347508.0,3634563807.0,3363981010.0,12743470439.0,16768969232.0,5340343881.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,7500000000.0,12685458118.0,15244715887.0,35202868737.0,26221568755.0,3947478245.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000000.0,48535207126.0,17038508671.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000000.0,48535207126.0,17038508671.0
9,Các khoản phải thu,12665616917.0,12232097255.0,33827990778.0,49146702521.0,57244365958.0,57098732512.0,67293579001.0,51682042082.0,59054657436.0,42634121863.0
10,Phải thu khách hàng,2069236710.0,2465981262.0,2564637231.0,9459515205.0,8774994143.0,11406243635.0,15750746808.0,17649334188.0,30596814285.0,36769609791.0
11,Trả trước người bán,6940518692.0,2195697145.0,23665474568.0,27631602579.0,38211817590.0,37010210303.0,40647634519.0,33472935904.0,27384692608.0,5160856345.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,3655861515.0,7570418848.0,7581048391.0,12055584737.0,10257554225.0,8682278574.0,10895197674.0,559771990.0,1073150543.0,863655727.0
