,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,16441913475.0,19360234584.0,-160790848882.0,-634613307295.0,718335733963.0,192357728545.0,-448013920261.0,220294489847.0,121471464016.0,-17188922106.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,101044624451.0,180992894651.0,159487652499.0,182829552508.0,-5196498981.0,-20674268388.0,47795001422.0,41884283035.0,8749804170.0,144282332850.0
2,Lãi trước thuế,36776638087.0,111282593236.0,91404703559.0,39799060589.0,21966230348.0,15256133851.0,17884240072.0,11484645711.0,3856150562.0,4416349802.0
3,Khấu hao TSCĐ,22070873759.0,24853800979.0,25078612428.0,24001149431.0,23626418140.0,23791892759.0,21690822057.0,21473171626.0,20135955932.0,19503683758.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,28336628293.0,52026839558.0,38193908028.0,107345755383.0,-34808533466.0,-82289879059.0,959104616.0,4778500681.0,-22777237173.0,114533499126.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,340710745.0,-857718686.0,35525844.0,-12244332450.0,-31852537313.0,-4229975644.0,-473630053.0,-4541373571.0,31207904.0,342683413.0
8,Lãi/(lỗ) từ hoạt động đầu tư,1997936632.0,-18254878852.0,-7719106947.0,4369249574.0,-540816762.0,16957735120.0,-1308061614.0,-350429529.0,-748084255.0,-1243777490.0
9,Chi phí lãi vay,11521836935.0,11942258416.0,12494009587.0,19558669981.0,16412740072.0,9839824585.0,9042526344.0,9039768117.0,8251811200.0,6729894241.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-196920213583.0,-579426292327.0,-534485201626.0,379632110928.0,-570035163289.0,1576349595587.0,-143766107425.0,160077557909.0,13502219400.0,41377496656.0
13,(Tăng)/giảm hàng tồn kho,-86568556856.0,83587993901.0,-373691142419.0,-823198436392.0,1004022225312.0,-102935575888.0,48998178330.0,-15218613774.0,236016384258.0,36772786509.0
14,Tăng/(giảm) các khoản phải trả,221462222831.0,293834473866.0,620028528144.0,-354936664180.0,450816120848.0,-1367499356093.0,-351639626519.0,8668212563.0,-123686604014.0,-230992516864.0
15,( Tăng)/giảm chi phí trả trước,42600647.0,426493776.0,99610931.0,81555909.0,-10846818.0,44892259.0,-543685951.0,568156117.0,-638676921.0,593017828.0
16,(Tăng)/giảm chứng khoán kinh doanh,-10666402428.0,75795745305.0,2750000000.0,0.0,-119979700000.0,119979700000.0,-39612790190.0,39612790190.0,0.0,0.0
17,Chi phí lãi vay đã trả,-11745134376.0,-11355161000.0,-12451362840.0,-18910722679.0,-14996982024.0,-8720577808.0,-8443125797.0,-10783207174.0,-10085789593.0,-8226588402.0
18,Thuế thu nhập doanh nghiệp đã trả,-207227211.0,-24495913588.0,-22528933571.0,-110703389.0,-26283421085.0,-4186681124.0,-801764131.0,-4514689019.0,-2385873284.0,-995450683.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-60560978311.0,-47037513505.0,-6521272772.0,301249142451.0,-94986618420.0,-39878599466.0,80777012947.0,-7394310628.0,6705565161.0,-2416081150.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-32756854615.0,-55113992910.0,-23778213239.0,-7358818182.0,-22089924895.0,-25511328551.0,-3525454546.0,-21223682677.0,-2994791231.0,-7234891547.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,4654053879.0,5984995049.0,-627.0,454545455.0,0.0,2740909091.0,16700495000.0,2706625556.0,4342301345.0
24,Tiền cho vay hoặc mua công cụ nợ,291819222036.0,-6456438356.0,-166000000000.0,-83000000000.0,-180000000.0,-2200000000.0,0.0,-147000000.0,0.0,-105600000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,-317519222036.0,2700000000.0,161130000000.0,394000000000.0,2000000000.0,0.0,0.0,0.0,6000000000.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,-75000000000.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,500000000.0,75000000000.0,2500000000.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,-2104123696.0,7178863882.0,16141945418.0,-2392038740.0,-171238980.0,-12667270915.0,6561558402.0,-5224122951.0,993730836.0,582109052.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-91280830119.0,81331937289.0,380397972462.0,515457105955.0,-760907005062.0,-266780032562.0,261279371487.0,-264233634059.0,-134947931325.0,-34871993605.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,123233662051.0,-15000000.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,274458279333.0,547594212903.0,1048233624575.0,1921111609715.0,1040552018775.0,1305075113036.0,432514264862.0,404775877506.0,335838638731.0,322453760793.0
33,Tiển trả các khoản đi vay,-362846957077.0,-458396962639.0,-786702399289.0,-1222504098858.0,-1781076694378.0,-1558222669863.0,-158341134425.0,-664211367865.0,-462655323381.0,-345948470859.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,-2892152375.0,-7865312975.0,-4366914875.0,-7609031502.0,-18662559459.0,-13530896985.0,-12875331800.0,-4816570850.0,-8131246675.0,-11377283539.0
35,Cổ tức đã trả,0.0,0.0,0.0,-175526373400.0,-1719770000.0,-101578750.0,-18427150.0,18427150.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-135399894955.0,53654658368.0,213085850808.0,182092941111.0,-137557889519.0,-114300903483.0,-105957535827.0,-51333454840.0,-6770902148.0,-54476996861.0
38,Tiền và tương đương tiền đầu kỳ,229538587780.0,93661488048.0,148216717468.0,361260016536.0,542086044931.0,405272269449.0,291400318262.0,185487906294.0,134063739017.0,127375386341.0
39,Ảnh hưởng của chênh lệch tỷ giá,-477204777.0,901300028.0,-42551740.0,-1266912716.0,744114037.0,428952296.0,45123859.0,-90712437.0,82549472.0,98853184.0
40,Tiền và tương đương tiền cuối kỳ,93661488048.0,148217446444.0,361260016536.0,542086044931.0,405272269449.0,291400318262.0,185487906294.0,134063739017.0,127375386341.0,72997242664.0
