,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-13164313381.0,4316957337.0,22107541179.0,-34579609355.0,-8441932002.0,-20848688676.0,796352255.0,-235478590.0,7140895533.0,12873375821.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,0.0,0.0,11789186011.0,13631943487.0,11557557843.0,3067864775.0,4104158100.0,2889340823.0
2,Lãi trước thuế,0.0,0.0,0.0,0.0,1630918439.0,1667511058.0,378613328.0,-9683391532.0,-6626093117.0,-8404347969.0
3,Khấu hao TSCĐ,3496101179.0,3257817031.0,3018632183.0,2613735102.0,2453139383.0,2125641118.0,2340049041.0,2392133764.0,2192142755.0,1835242373.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,-209938950.0,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,0.0,-774059304.0,-135325209.0,-1125023024.0,-712623894.0,-108338654.0,-100253149.0
9,Chi phí lãi vay,0.0,0.0,0.0,0.0,8689126443.0,9987937633.0,10089709471.0,11071746437.0,8646447116.0,9558699568.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,-13821113.0,-125790973.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,0.0,0.0,-13131993805.0,-10083542901.0,31922462438.0,-716128675.0,-3097523315.0,14956845838.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,0.0,33290654858.0,-7566092877.0,-1355258543.0,-7448268741.0,-11071109381.0,2217005977.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,0.0,0.0,-32510857750.0,-79267973.0,-21537082570.0,13251649028.0,15470806006.0,-6896581508.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,0.0,0.0,1666209217.0,-6566520344.0,-8974178839.0,2893766552.0,7289139171.0,447434645.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,0.0,-8693131695.0,-9722641215.0,-10149863424.0,-11259061529.0,-5446214030.0,-232864637.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,-652038892.0,-337766853.0,-557984650.0,0.0,0.0,-1240220929.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800000000.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,-199959946.0,-124800000.0,-109300000.0,-25300000.0,-108361018.0,-2067584388.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-4031440539.0,-1343285380.0,-1024672016.0,-8359366509.0,-1648194623.0,-18167528791.0,6589023024.0,12222623894.0,-144101759.0,100253149.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-4073350909.0,-1015481819.0,-1129247566.0,-8843160769.0,0.0,-90854000.0,0.0,111272727.0,-252440413.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-5937000000.0,-2715000000.0,-400000000.0,0.0,-1710000000.0,-20102000000.0,-7806000000.0,-1930000000.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,5810000000.0,2327000000.0,400000000.0,0.0,0.0,1890000000.0,13270000000.0,13440000000.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,168910370.0,60196439.0,104575550.0,483794260.0,61805377.0,135325209.0,1125023024.0,601351167.0,108338654.0,100253149.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,12481532510.0,1359979956.0,12590511264.0,21244473185.0,-2659971816.0,32537156470.0,-7760784987.0,-14678809689.0,-7803362879.0,-9708255260.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,107802129655.0,128597041870.0,140663997669.0,220525038004.0,134875702589.0,159894061596.0,161245870273.0,89293088953.0,28757480354.0,0.0
33,Tiển trả các khoản đi vay,-92055442145.0,-125604484414.0,-126597253661.0,-196107197869.0,-135521836708.0,-126892799139.0,-167811905263.0,-103578498646.0,-36167443237.0,-9314855264.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,-520683439.0,-282721840.0,-309268612.0,-464105987.0,-1194749997.0,-393399996.0,-393399996.0,-393399996.0
35,Cổ tức đã trả,-3265155000.0,-1632577500.0,-955549305.0,-2890645110.0,-1704569085.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-4714221410.0,4333651913.0,33673380427.0,-21694502679.0,-12750098441.0,-6479060997.0,-375409708.0,-2691664385.0,-806569105.0,3265373710.0
