,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,2983032544312.0,3231425148900.0,3552911587239.0,3664556552273.0,4333252680466.0,5055749642844.0,5210939924350.0,5668896732961.0,7544296538786.0,7236178121394.0
1,TÀI SẢN NGẮN HẠN,1275099763627.0,1397711682349.0,1794542299861.0,1526955116342.0,2363456696125.0,2636843546125.0,2814201256583.0,2386824329268.0,3460860298823.0,2852168602184.0
2,Tiền và tương đương tiền,352309710644.0,116818917496.0,91323013379.0,93029583315.0,59013422509.0,91080889570.0,201977056819.0,276490399607.0,818291965088.0,316341744567.0
3,Tiền,32709710644.0,26039767101.0,54234415578.0,93029583315.0,46658172509.0,70380889570.0,99257344710.0,104947321857.0,731791965088.0,315491744567.0
4,Các khoản tương đương tiền,319600000000.0,90779150395.0,37088597801.0,0.0,12355250000.0,20700000000.0,102719712109.0,171543077750.0,86500000000.0,850000000.0
5,Giá trị thuần đầu tư ngắn hạn,2175031683.0,0.0,9481880000.0,210525817397.0,544091482512.0,334000313434.0,306457161528.0,84572614837.0,292838229193.0,169599116037.0
6,Đầu tư ngắn hạn,3058888889.0,0.0,11064360000.0,217650160250.0,581735572135.0,391118428057.0,343537744467.0,65542862197.0,278544699960.0,208481489025.0
7,Dự phòng đầu tư ngắn hạn,-883857206.0,0.0,-2232480000.0,-7124342853.0,-40304089623.0,-86128114623.0,-156287073560.0,-170247360.0,-2806470767.0,-52882372988.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,650000000.0,0.0,2660000000.0,29010000000.0,119206490621.0,19200000000.0,17100000000.0,14000000000.0
9,Các khoản phải thu,341315383712.0,543134011196.0,745558872943.0,555278580844.0,1086956952827.0,1275247142160.0,1450970125509.0,1505623130487.0,1866712388543.0,1804182178022.0
10,Phải thu khách hàng,236782403089.0,434922082278.0,693244235707.0,413905443039.0,665077802066.0,745103922998.0,775147539732.0,559665977930.0,623294159652.0,453956533662.0
11,Trả trước người bán,92529609277.0,102110241208.0,37815539809.0,20940897141.0,19008550328.0,44200323185.0,94443785179.0,18882694328.0,53152691917.0,418627095344.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,6500000000.0,12240000000.0,11940000000.0,20000000000.0,59673701989.0,93767114978.0,65974014443.0
15,Phải thu khác,12003371346.0,6101687710.0,14499097427.0,113272650517.0,390630600433.0,474002895977.0,562131992837.0,868372244575.0,1097519155384.0,866643267961.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,-753192239.0,-971488335.0,-1073044888.0,-1073044888.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,659590147.0,0.0,0.0,0.0,0.0,52311500.0,54311500.0
18,"Hàng tồn kho, ròng",565435246238.0,712413686262.0,891682295316.0,623530510407.0,626120277817.0,873084001863.0,805894640964.0,478224358195.0,430407631422.0,540382871220.0
19,Hàng tồn kho,570367317021.0,719812850158.0,898086842330.0,624739081580.0,626474745126.0,873438469172.0,806891299722.0,478334124270.0,430407631422.0,540382871220.0
20,Dự phòng giảm giá HTK,-4932070783.0,-7399163896.0,-6404547014.0,-1208571173.0,-354467309.0,-354467309.0,-996658758.0,-109766075.0,0.0,0.0
21,Tài sản lưu động khác,13864391350.0,25345067395.0,56496238223.0,44590624379.0,47274560460.0,63431199098.0,48902271763.0,41913826142.0,52610084577.0,21662692338.0
22,Trả trước ngắn hạn,851708703.0,976395005.0,2411847921.0,3925852137.0,8105833818.0,7589989437.0,6665464602.0,5544404618.0,5742351514.0,7917287418.0
23,Thuế VAT phải thu,9408611738.0,20176697364.0,51060611238.0,39122065784.0,37610569317.0,55434350067.0,40691634900.0,36271928684.0,46762941881.0,13670533774.0
24,Phải thu thuế khác,1461488282.0,2433728468.0,3023779064.0,1542706458.0,1558157325.0,406859594.0,1545172261.0,97492840.0,104791182.0,74871146.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,2142582627.0,1758246558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
