,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,860117428087.0,578842624003.0,711909501842.0,467316544060.0,284830428266.0,320901138150.0,153545608558.0,14538846688.0,10028502818.0,48980132355.0
1,Các khoản giảm trừ,-5754311712.0,-18007631624.0,-1473273527.0,-946392034.0,-1976817902.0,-7824122402.0,-252282985.0,-1738366848.0,-14512100.0,0.0
2,Doanh số thuần,854363116375.0,560834992379.0,710436228315.0,466370152026.0,282853610364.0,313077015748.0,153293325573.0,12800479840.0,10013990718.0,48980132355.0
3,Giá vốn hàng bán,-782138871872.0,-493416670150.0,-649287684355.0,-414752990442.0,-255588965173.0,-297413356406.0,-165467443034.0,-26350961707.0,-9530993292.0,-47175192723.0
4,Lãi gộp,72224244503.0,67418322229.0,61148543960.0,51617161584.0,27264645191.0,15663659342.0,-12174117461.0,-13550481867.0,482997426.0,1804939632.0
5,Thu nhập tài chính,1218433910.0,701562989.0,1098907608.0,1061648875.0,2316536798.0,1766759027.0,3420901513.0,253748866.0,749134394.0,29414220.0
6,Chi phí tài chính,-25016655089.0,-23553546668.0,-23444801805.0,-20838521204.0,-20156905078.0,-1606955277.0,-9259287386.0,-6306226208.0,-8223757390.0,-3844018972.0
7,Trong đó: Chi phí lãi vay,-26912054259.0,-22911216369.0,-18017021331.0,-18892934600.0,-18770114719.0,-13387394831.0,-9237531704.0,-5914340729.0,-4947865681.0,-3840110816.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-18196885879.0,-10175423222.0,-14583211721.0,-7922866836.0,-4135647287.0,-1110523115.0,-289818373.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-19893518751.0,-17198834114.0,-18243298200.0,-19531998144.0,-15685383047.0,-13935574410.0,-12995556391.0,-5976322404.0,-36637037223.0,-5776575338.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,10335618694.0,17192081214.0,5976139842.0,4385424275.0,-10396753423.0,777365567.0,-31297878098.0,-25579281613.0,-43628662793.0,-7786240458.0
12,Thu nhập khác,1413591337.0,27819479318.0,8518071298.0,5376635898.0,32769802685.0,1653378448.0,48060626.0,3128287795.0,1270111962.0,1244005433.0
13,Chi phí khác,-1773066406.0,-35084273519.0,-10521183023.0,-2451821137.0,-32191218757.0,-1183725453.0,-129299633.0,-650587151.0,-24605778727.0,-372.0
14,"Thu nhập khác, ròng",-359475069.0,-7264794201.0,-2003111725.0,2924814761.0,578583928.0,469652995.0,-81239007.0,2477700644.0,-23335666765.0,1244005061.0
16,Lãi/(lỗ) ròng trước thuế,9976143625.0,9927287013.0,3973028117.0,7310239036.0,-9818169495.0,1247018562.0,-31379117105.0,-23101580969.0,-66964329558.0,-6542235397.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-2838238267.0,-3093281527.0,-1556868528.0,-2052921274.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-2838238267.0,-3093281527.0,-1556868528.0,-2052921274.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,7137905358.0,6834005486.0,2416159589.0,5257317762.0,-9818169495.0,1247018562.0,-31379117105.0,-23101580969.0,-66964329558.0,-6542235397.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,7137905358.0,6834005486.0,2416159589.0,5257317762.0,-9818169495.0,1247018562.0,-31379117105.0,-23101580969.0,-66964329558.0,-6542235397.0
23,Lãi cơ bản trên cổ phiếu,642.0,615.0,217.0,473.0,-883.0,112.0,-2823.0,-2079.0,-6025.0,-589.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,-2823.0,-2079.0,-6025.0,-589.0
