,CHỈ TIÊU,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Doanh số,330182436538.0,375915283540.0,435675511022.0,514006590777.0,788470000136.0,921730932935.0,1039687218408.0,1171189007924.0,1054217001035.0,1161668197317.0
1,Các khoản giảm trừ,0.0,-1082305616.0,-2027052800.0,-690075509.0,0.0,-1115217391.0,-363607766.0,-218064439.0,-634928259.0,-775633124.0
2,Doanh số thuần,330182436538.0,374832977924.0,433648458222.0,513316515268.0,788470000136.0,920615715544.0,1039323610642.0,1170970943485.0,1053582072776.0,1160892564193.0
3,Giá vốn hàng bán,-294277052811.0,-341283224052.0,-396994025221.0,-464975042348.0,-711783683027.0,-839177348114.0,-948818308380.0,-1062142359966.0,-950384052379.0,-1069125512710.0
4,Lãi gộp,35905383727.0,33549753872.0,36654433001.0,48341472920.0,76686317109.0,81438367430.0,90505302262.0,108828583519.0,103198020397.0,91767051483.0
5,Thu nhập tài chính,1458143917.0,1282240464.0,3822118216.0,2808890251.0,2897335834.0,13401816765.0,12330715622.0,6081476703.0,4986233305.0,6242348672.0
6,Chi phí tài chính,-3360204439.0,-5689235509.0,-9163527531.0,-15655514970.0,-25690849226.0,-38533104264.0,-40474552953.0,-39104041224.0,-41348050683.0,-41719173388.0
7,Trong đó: Chi phí lãi vay,-3087719913.0,-4835919066.0,-7389885997.0,-12070101959.0,-12719393105.0,-35645704516.0,-46659525461.0,-38868372806.0,-38960998614.0,-38415978072.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-11280788277.0,-12127624490.0,-11438862220.0,-8610867573.0,-14861608223.0,-18398338292.0,-14165948063.0,-19920646335.0,-22628988731.0,-22090831286.0
10,Chi phí quản lý doanh  nghiệp,-11828040022.0,-11011491096.0,-10800881979.0,-13236009885.0,-12249089653.0,-16469865083.0,-17912326618.0,-21357514993.0,-20692211636.0,-16387146510.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,10894494906.0,6003643241.0,9073279487.0,13647970743.0,26782105841.0,21438876556.0,30283190250.0,34527857670.0,23515002652.0,17812248971.0
12,Thu nhập khác,3880679488.0,5277273195.0,7414979951.0,7045694152.0,880344752.0,5881039024.0,389718421.0,-14021444668.0,1389911064.0,41961639.0
13,Chi phí khác,-165846628.0,-46274184.0,-582453838.0,-484635509.0,-828997993.0,-1698309984.0,-380356477.0,14283577284.0,-316154648.0,-1063792281.0
14,"Thu nhập khác, ròng",3714832860.0,5230999011.0,6832526113.0,6561058643.0,51346759.0,4182729040.0,9361944.0,262132616.0,1073756416.0,-1021830642.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,14609327766.0,11234642252.0,15905805600.0,20209029386.0,26833452600.0,25621605596.0,30292552194.0,34789990286.0,24588759068.0,16790418329.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-2859975368.0,-3014357210.0,-3548210618.0,-3980643162.0,-5102922008.0,-4738453916.0,-5708603113.0,-6958464360.0,-5222456574.0,-3417073721.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-2859975368.0,-3014357210.0,-3548210618.0,-3980643162.0,-5102922008.0,-4738453916.0,-5708603113.0,-6958464360.0,-5222456574.0,-3417073721.0
20,Lãi/(lỗ) thuần sau thuế,11749352398.0,8220285042.0,12357594982.0,16228386224.0,21730530592.0,20883151680.0,24583949081.0,27831525926.0,19366302494.0,13373344608.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,-306580873.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,11749352398.0,8220285042.0,12357594982.0,16228386224.0,21730530592.0,20883151680.0,24890529954.0,27831525926.0,19366302494.0,13373344608.0
23,Lãi cơ bản trên cổ phiếu,3052.0,2136.0,2597.0,2051.0,2251.0,628.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
