,Unnamed: 0,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-2905585117.0,13155951305.0,2213012375.0,-4129011295.0,12945736589.0,7746614486.0,-3453011247.0,1715502320.0,2922478782.0,-668961344.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,11329029031.0,-651712984.0,-1744002153.0,-863903592.0,-21003717270.0,-3230308729.0,-4126343278.0,-3986972018.0,-9402081169.0,-3512124949.0
2,Lãi trước thuế,-10212294808.0,-19779464462.0,-3638667311.0,-9717376946.0,-26942121535.0,-9670264027.0,-12793779228.0,-12019832875.0,-14721567184.0,-11878077153.0
3,Khấu hao TSCĐ,5185260672.0,3706293600.0,1541168848.0,654004845.0,649567054.0,476284909.0,39006068.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,-8712786985.0,-235016966.0,0.0,-2196085953.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-7963132985.0,-3034873238.0,-547995443.0,-1145360080.0,-9010578.0,-7990863.0,-4013287.0,-2063189.0,-3287004509.0,-200042.0
9,Chi phí lãi vay,24319196152.0,18456331116.0,9614278738.0,9579845555.0,5297847789.0,8167747205.0,8632443169.0,8034924046.0,8606490524.0,8366152246.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-28744467267.0,-50996289954.0,74667553849.0,-26945906563.0,122568102229.0,15779058346.0,2633383422.0,3106387115.0,20998489107.0,6074114917.0
13,(Tăng)/giảm hàng tồn kho,20552181558.0,56117278733.0,24815592612.0,13466883684.0,27614372908.0,24045568740.0,5231959858.0,3313952835.0,112670632.0,0.0
14,Tăng/(giảm) các khoản phải trả,-4508409863.0,9382643882.0,-95783317790.0,10202165176.0,-114604705776.0,-27976048083.0,-7311147124.0,-710119859.0,-8786599788.0,-3230951312.0
15,( Tăng)/giảm chi phí trả trước,1300598445.0,63915452.0,16450000.0,11750000.0,-247480087.0,128344212.0,119135875.0,0.0,0.0,0.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-2903428357.0,0.0,-459264143.0,0.0,-1367435415.0,-1000000000.0,0.0,-7745753.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,138130000.0,0.0,700000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-69218664.0,-759883824.0,0.0,0.0,-13400000.0,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,8222659379.0,14552193507.0,10025006127.0,5109310080.0,9010578.0,7990863.0,4013287.0,2063189.0,3615640873.0,200042.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,8210000909.0,13941165927.0,580000000.0,344592225.0,0.0,0.0,0.0,0.0,3615000000.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,8696000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,4558542500.0,0.0,0.0,0.0,0.0,0.0,0.0
