,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,5607236340006.0,5419826993915.0,5734360652116.0,5969111163659.0,6284642616184.0,6451991724196.0,6652903120215.0,7047540268059.0,6946047343663.0,6779527700632.0
1,TÀI SẢN NGẮN HẠN,4856366307248.0,4868895172584.0,3671511206964.0,3846533813212.0,3850808230581.0,3991840605065.0,4141587944210.0,4536193663437.0,4262069352312.0,4029801941036.0
2,Tiền và tương đương tiền,94261285013.0,143378027914.0,105379643389.0,222182614801.0,78548295148.0,40491517618.0,56014981174.0,222195226747.0,339584521592.0,76672773811.0
3,Tiền,91261285013.0,143378027914.0,102379643389.0,47180330382.0,65211068512.0,33224671503.0,48212829043.0,216801794310.0,194943355284.0,28710986859.0
4,Các khoản tương đương tiền,3000000000.0,0.0,3000000000.0,175002284419.0,13337226636.0,7266846115.0,7802152131.0,5393432437.0,144641166308.0,47961786952.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,98779220000.0,17884579999.0,24199994149.0,20107748420.0,18815194146.0,17031734075.0,36990442845.0,34780886409.0
6,Đầu tư ngắn hạn,67070600000.0,67070600000.0,119892600000.0,25317000000.0,17817000000.0,17817000000.0,17817000000.0,17817000000.0,17817000000.0,17817000000.0
7,Dự phòng đầu tư ngắn hạn,-67070600000.0,-67070600000.0,-21113380000.0,-16487420000.0,-13333630000.0,-13978193000.0,-14668080000.0,-14272730000.0,-59640000.0,-12967400000.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,9054999999.0,19716624149.0,16268941420.0,15666274146.0,13487464075.0,19233082845.0,29931286409.0
9,Các khoản phải thu,302717012609.0,277413478414.0,737156407361.0,923449381317.0,360807705761.0,345382624639.0,431625485777.0,447851932920.0,222118731877.0,177080512680.0
10,Phải thu khách hàng,321168861782.0,327501121372.0,754901090613.0,762713971983.0,322760010553.0,304704453171.0,331211726879.0,424629626201.0,223773881660.0,148782796506.0
11,Trả trước người bán,76450896743.0,77231845600.0,46884766997.0,205646924940.0,74862113983.0,73756885826.0,62774249344.0,49001849505.0,29955229684.0,28244326071.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,10715831382.0,10185060933.0,74267542082.0,87518573861.0,89893536415.0,88888775912.0,148502924395.0,86108372529.0,84669535394.0,109060736209.0
16,Dự phòng nợ khó đòi,-105618577298.0,-137504549491.0,-138896992331.0,-132430089467.0,-126707955190.0,-121967490270.0,-110863414841.0,-111887915315.0,-116279914861.0,-109007346106.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",4377080475939.0,4364149673330.0,2709231511794.0,2659753333833.0,3305585263349.0,3504110503514.0,3568420059950.0,3795940642348.0,3612546905289.0,3705175061135.0
19,Hàng tồn kho,4523976225829.0,4586083546198.0,2756499327717.0,2708251607184.0,3310276135025.0,3508801375190.0,3573110931626.0,3800631514024.0,3617237776965.0,3709865932811.0
20,Dự phòng giảm giá HTK,-146895749890.0,-221933872868.0,-47267815923.0,-48498273351.0,-4690871676.0,-4690871676.0,-4690871676.0,-4690871676.0,-4690871676.0,-4690871676.0
21,Tài sản lưu động khác,82307533687.0,83953992926.0,20964424420.0,23263903262.0,81666972174.0,81748210874.0,66712223163.0,53174127347.0,50828750709.0,36092707001.0
22,Trả trước ngắn hạn,17624151811.0,17113029117.0,18736822030.0,21399261085.0,23463239776.0,23765904986.0,21499076415.0,22943155582.0,20555080185.0,18081204994.0
23,Thuế VAT phải thu,8744107737.0,8328885104.0,2007459685.0,1652854655.0,58004841658.0,57782189058.0,45059699355.0,30066303956.0,30022268180.0,17742387431.0
24,Phải thu thuế khác,0.0,402490397.0,220142705.0,211787522.0,198890740.0,200116830.0,153447393.0,164667809.0,251402344.0,269114576.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,55939274139.0,58109588308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,750870032758.0,550931821331.0,2062849445152.0,2122577350447.0,2433834385603.0,2460151119131.0,2511315176005.0,2511346604622.0,2683977991351.0,2749725759596.0
28,Phải thu dài hạn,0.0,0.0,34971663535.0,101978768735.0,101978768735.0,96078768735.0,117053467975.0,117053467975.0,117053467975.0,117053467975.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,34971263535.0,34908168735.0,34908168735.0,29008168735.0,49982867975.0,49982867975.0,49982867975.0,49982867975.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,400000.0,67070600000.0,67070600000.0,67070600000.0,67070600000.0,67070600000.0,67070600000.0,67070600000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
