,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,117540669278.0,254085380380.0,169709730679.0,147791279378.0,162385005421.0,253437179548.0,279512241650.0,328955180830.0,332481582989.0,411388425803.0
1,Các khoản giảm trừ,-69992723.0,-4345218450.0,-559623790.0,-1756309222.0,-438633930.0,-196980760.0,-201197981.0,-180085940.0,-2603976857.0,-2916384533.0
2,Doanh số thuần,117470676555.0,249740161930.0,169150106889.0,146034970156.0,161946371491.0,253240198788.0,279311043669.0,328775094890.0,329877606132.0,408472041270.0
3,Giá vốn hàng bán,-96274695609.0,-225728039155.0,-149517675091.0,-126683922288.0,-142760686421.0,-232307706681.0,-258426318849.0,-307641333142.0,-307651096275.0,-376769518947.0
4,Lãi gộp,21195980946.0,24012122775.0,19632431798.0,19351047868.0,19185685070.0,20932492107.0,20884724820.0,21133761748.0,22226509857.0,31702522323.0
5,Thu nhập tài chính,72910538.0,286165482.0,133276565.0,401926625.0,234396348.0,847282938.0,1003708698.0,1422220590.0,951348605.0,1181254941.0
6,Chi phí tài chính,-1147605250.0,-1497220376.0,-2179885687.0,-463652939.0,-543710508.0,-1493352014.0,-473022093.0,-1547615148.0,-470881873.0,-2543855744.0
7,Trong đó: Chi phí lãi vay,-998202341.0,-639577561.0,-429406177.0,-239182908.0,-403386785.0,-539396384.0,-319892721.0,-473755834.0,-415490454.0,-651569512.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-8786475856.0,-10474490945.0,-6387607464.0,-7981731621.0,-7223241529.0,-7421596556.0,-7566765868.0,-6512783604.0,-6879523105.0,-10924421250.0
10,Chi phí quản lý doanh  nghiệp,-7076060920.0,-7991577184.0,-7194834530.0,-7167450281.0,-6477972240.0,-6881737678.0,-6911117616.0,-7053660831.0,-7337814918.0,-9648965415.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,4258749458.0,4334999752.0,4003380682.0,4140139652.0,5175157141.0,5983088797.0,6937527941.0,7441922755.0,8489638566.0,9766534855.0
12,Thu nhập khác,314254876.0,358765830.0,477046903.0,368333477.0,293760698.0,316617335.0,290385712.0,685124316.0,10983384.0,12055079.0
13,Chi phí khác,-5148142.0,-283761534.0,-43589950.0,-68607864.0,-41328758.0,-28414099.0,-7995182.0,-91993022.0,-541002.0,-15528963.0
14,"Thu nhập khác, ròng",309106734.0,75004296.0,433456953.0,299725613.0,252431940.0,288203236.0,282390530.0,593131294.0,10442382.0,-3473884.0
16,Lãi/(lỗ) ròng trước thuế,4567856192.0,4410004048.0,4436837635.0,4439865265.0,5427589081.0,6271292033.0,7219918471.0,8035054049.0,8500080948.0,9763060971.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1054897628.0,-998459054.0,-958351798.0,-923378724.0,-1144639140.0,-1226431225.0,-1424942730.0,-1656070508.0,-1736072189.0,-1992837170.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1054897628.0,-998459054.0,-958351798.0,-923378724.0,-1144639140.0,-1226431225.0,-1424942730.0,-1656070508.0,-1736072189.0,-1992837170.0
20,Lãi/(lỗ) thuần sau thuế,3512958564.0,3411544994.0,3478485837.0,3516486541.0,4282949941.0,5044860808.0,5794975741.0,6378983541.0,6764008759.0,7770223801.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,3512958564.0,3411544994.0,3478485837.0,3516486541.0,4282949941.0,5044860808.0,5794975741.0,6378983541.0,6764008759.0,7770223801.0
23,Lãi cơ bản trên cổ phiếu,1769.0,1718.0,1752.0,1771.0,2157.0,1682.0,1932.0,2126.0,2255.0,2590.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
