,CHỈ TIÊU,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,TỔNG TÀI SẢN,435117249093.0,349287591220.0,318407894925.0,520999153195.0,665002496642.0,1104424243122.0,864581072057.0,677598545840.0,1075227018705.0,1519401377164.0
1,TÀI SẢN NGẮN HẠN,381900166077.0,281056670655.0,231298149742.0,424150617045.0,543886253010.0,995740967395.0,771570272184.0,599986390200.0,1010042005904.0,1449406649065.0
2,Tiền và tương đương tiền,20863406602.0,7559546965.0,14874330341.0,15364249147.0,49243362765.0,96766563281.0,34565193741.0,9767552499.0,24656045524.0,92533190.0
3,Tiền,1863406602.0,6526514815.0,14874330341.0,15364249147.0,49243362765.0,96766563281.0,33965193741.0,9767552499.0,24656045524.0,92533190.0
4,Các khoản tương đương tiền,19000000000.0,1033032150.0,0.0,0.0,0.0,0.0,600000000.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,3964642132.0,178209.0,350178209.0,1320178209.0,5163570563.0,7775797797.0,1000178209.0,178209.0,178209.0,178209.0
6,Đầu tư ngắn hạn,3966184198.0,1749975.0,351749975.0,1749975.0,1749975.0,1749975.0,1749975.0,1749975.0,1749975.0,1749975.0
7,Dự phòng đầu tư ngắn hạn,-1542066.0,-1571766.0,-1571766.0,-1571766.0,-1571766.0,-1571766.0,-1571766.0,-1571766.0,-1571766.0,-1571766.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,1320000000.0,5163392354.0,7775619588.0,1000000000.0,0.0,0.0,0.0
9,Các khoản phải thu,102783094737.0,104193053045.0,130058697979.0,313510406182.0,354401965275.0,421998626466.0,400781915472.0,204392948249.0,601174567309.0,1066024588399.0
10,Phải thu khách hàng,53360210710.0,53656635055.0,97162481248.0,126735294911.0,140105652454.0,260894502329.0,280113149855.0,181460578109.0,566091422809.0,817522791854.0
11,Trả trước người bán,24412685886.0,19633116396.0,6305888435.0,5474428575.0,27646364080.0,58832831680.0,57424808392.0,27677048152.0,37327167974.0,251350676699.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,7927158292.0,8157158292.0,7927158292.0,3840000000.0,3840000000.0,3840000000.0,3840000000.0
15,Phải thu khác,25010198141.0,30903301594.0,26590328296.0,173373524404.0,178492790449.0,94344134165.0,64709602008.0,4296750969.0,7467194590.0,10374896403.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,-5305644783.0,-12881428981.0,-13551218064.0,-17063776557.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",231267188265.0,150416864526.0,73513928167.0,93194256461.0,130900443328.0,446966026419.0,332598375945.0,382483074826.0,377479950670.0,374708845837.0
19,Hàng tồn kho,231267188265.0,150416864526.0,73513928167.0,93194256461.0,130900443328.0,446966026419.0,332598375945.0,382483074826.0,377479950670.0,374708845837.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
