,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,1370470064895.0,1373072826765.0,1278419717210.0,1282279502562.0,1159675671639.0,1027450515302.0,1000634487021.0,969279616004.0,930273837922.0,894328417133.0
1,TÀI SẢN NGẮN HẠN,981489340347.0,978807136203.0,796592018309.0,954340905563.0,794791827069.0,654580699442.0,639079523920.0,635723527829.0,631946953609.0,603834030944.0
2,Tiền và tương đương tiền,29555966947.0,44286096843.0,15593079305.0,4817428981.0,5298100530.0,1192904744.0,1815137842.0,1407746473.0,15227853809.0,2628797982.0
3,Tiền,17992097975.0,24466096843.0,13593079305.0,4817428981.0,5298100530.0,1192904744.0,1815137842.0,407746473.0,1227853809.0,1628797982.0
4,Các khoản tương đương tiền,11563868972.0,19820000000.0,2000000000.0,0.0,0.0,0.0,0.0,1000000000.0,14000000000.0,1000000000.0
5,Giá trị thuần đầu tư ngắn hạn,29775423315.0,11328595230.0,1807834000.0,96757727149.0,96375418349.0,96237914749.0,93743625457.0,95817665857.0,97367680257.0,97464001719.0
6,Đầu tư ngắn hạn,30621599315.0,11984381630.0,1163492000.0,1163492000.0,1163492000.0,1163492000.0,1163492000.0,1163492000.0,1163492000.0,6753156538.0
7,Dự phòng đầu tư ngắn hạn,-846176000.0,-655786400.0,-835598800.0,-877907600.0,-920216400.0,-1057720000.0,-1047142800.0,-973102400.0,-423088000.0,-916431076.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,1479940800.0,96472142749.0,96132142749.0,96132142749.0,93627276257.0,95627276257.0,96627276257.0,91627276257.0
9,Các khoản phải thu,424680748162.0,461338604725.0,452127189752.0,404547174364.0,385687355000.0,360178307134.0,361780752745.0,356977510753.0,339854985197.0,331239780373.0
10,Phải thu khách hàng,190454178104.0,228481245006.0,190707044568.0,169429412249.0,187914711019.0,164005349380.0,165999985100.0,161017940120.0,155290696701.0,149856063664.0
11,Trả trước người bán,192973686774.0,185405495955.0,174949955561.0,143190710457.0,131214698980.0,129790074167.0,129745784760.0,130873107019.0,131702814849.0,130431676459.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,11707346480.0,10907346480.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,42336783748.0,49279526228.0,79926278510.0,89900543540.0,75438783363.0,75263721949.0,74915821247.0,73967301976.0,61742312009.0,59832878612.0
16,Dự phòng nợ khó đòi,-1083900464.0,-1827662464.0,-5163435367.0,-8880838362.0,-8880838362.0,-8880838362.0,-8880838362.0,-8880838362.0,-8880838362.0,-8880838362.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",470632957114.0,442710958822.0,325402145729.0,444867924136.0,307308327519.0,195693803858.0,181684668071.0,181461883739.0,179145402623.0,172379438598.0
19,Hàng tồn kho,470682799020.0,442760800728.0,325451987635.0,444867924136.0,307308327519.0,195693803858.0,181684668071.0,181461883739.0,179145402623.0,172379438598.0
20,Dự phòng giảm giá HTK,-49841906.0,-49841906.0,-49841906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
