,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,55181583151.0,11992483297.0,92755098902.0,118256866584.0,110719854040.0,80119007120.0,122462463253.0,70037747154.0,154417747218.0,46893101007.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,66395910592.0,60577075721.0,107785160980.0,113267661070.0,89955736933.0,80411078598.0,105368052735.0,168448204990.0,148171933755.0,118871377988.0
2,Lãi trước thuế,63696897683.0,55583692252.0,103049436738.0,103837462503.0,73991957745.0,60362758704.0,86279395958.0,153686831665.0,130965382283.0,101716326537.0
3,Khấu hao TSCĐ,9506546996.0,10095041255.0,10557183761.0,10489027400.0,16172128115.0,23083414177.0,21547036168.0,20964660247.0,21533949320.0,22132236754.0
5,Chi phí dự phòng,439780049.0,315861246.0,47385780.0,0.0,0.0,0.0,0.0,-6842929.0,0.0,562154745.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,57252385.0,-23988568.0,33113517.0,1678501967.0,-60935457.0,-423314353.0,17585732.0,0.0,96380017.0,-1740165313.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-7304566521.0,-5393530464.0,-5901958816.0,-2940806248.0,-2025326860.0,-5441559590.0,-4141045442.0,-6798527861.0,-4883738829.0,-5457517371.0
9,Chi phí lãi vay,0.0,0.0,0.0,203475448.0,1877913390.0,2829779660.0,1665080319.0,602083868.0,459960964.0,1658342636.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-3592130208.0,246035930.0,2479809221.0,-2644834558.0,7824252357.0,6129421158.0,-13986636464.0,-12724487814.0,-4935556514.0,-8281584024.0
13,(Tăng)/giảm hàng tồn kho,-12076303836.0,11856298517.0,5898847473.0,-28527121324.0,-27881622148.0,-20359000573.0,24178369141.0,-94269893711.0,-2872376549.0,-3331885231.0
14,Tăng/(giảm) các khoản phải trả,36258660446.0,-30507810957.0,4313239508.0,67556855723.0,58691881421.0,24394464685.0,15450888891.0,30512905159.0,33183573141.0,-33112805919.0
15,( Tăng)/giảm chi phí trả trước,-20272242186.0,-17043786712.0,-9932778206.0,2344809300.0,2826668222.0,1465769572.0,1530413009.0,1258525770.0,1970915659.0,-681598199.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,-203475448.0,-1877913390.0,-2788143913.0,-1660577183.0,-602050329.0,-459210224.0,-1526486028.0
18,Thuế thu nhập doanh nghiệp đã trả,-9210447514.0,-8389585839.0,-14641299033.0,-21803543906.0,-15900140555.0,-5459796542.0,-5223619447.0,-16995314675.0,-17318074042.0,-20346840983.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,2800000.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-2321864143.0,-4745743363.0,-3147881041.0,-11733484273.0,-2919008800.0,-3677585865.0,-3194427429.0,-5590142236.0,-3323458008.0,-4697076597.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-15723275703.0,-62687229609.0,-88849076160.0,-109279191864.0,-27247099935.0,-14875943698.0,-50446746921.0,-24549126480.0,-17892562589.0,92977203451.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-23044092224.0,-10480760073.0,-54918274687.0,-210369140515.0,-30260834659.0,-10831287073.0,-630523545.0,-9565978451.0,-13064529970.0,-1313816600.0
23,Tiền thu được từ thanh lý tài sản cố định,24181819.0,62727275.0,76000000.0,169509091.0,0.0,945909091.0,0.0,0.0,222727273.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,-57600000000.0,-190000000000.0,-20000000000.0,-400000000.0,-9500000000.0,-54000000000.0,-59600000000.0,-116475000000.0,-6500000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,150000000000.0,117600000000.0,67000000.0,68095400.0,264904600.0,37800000000.0,106800000000.0,94975000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,7296634702.0,5330803189.0,5993198527.0,3320439560.0,3346734724.0,4441338884.0,3918872024.0,6816851971.0,4624240108.0,5816020051.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-31997388800.0,-19998368000.0,-31997388800.0,30643235851.0,-53851950462.0,-71979691923.0,-125798183991.0,-42458434590.0,-134678084430.0,11078150720.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,0.0,112236466801.0,203991792246.0,272640228384.0,174681428143.0,128120561610.0,94026533820.0,186355263790.0
33,Tiển trả các khoản đi vay,0.0,0.0,0.0,0.0,-206327482508.0,-299823723307.0,-248963985584.0,-116823559800.0,-94316027250.0,-63286620570.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-31997388800.0,-19998368000.0,-31997388800.0,-81593230950.0,-51516260200.0,-44796197000.0,-51515626550.0,-53755436400.0,-134388591000.0,-111990492500.0
37,Lưu chuyển tiền thuần trong kỳ,7460918648.0,-70693114312.0,-28091366058.0,39620910571.0,29620803643.0,-6736628501.0,-53782467659.0,3030186084.0,1847100199.0,150948455178.0
38,Tiền và tương đương tiền đầu kỳ,119154222601.0,126567333830.0,55896476282.0,27804830224.0,67430898879.0,97052279042.0,90315322234.0,36532947546.0,39563916661.0,41410827367.0
39,Ảnh hưởng của chênh lệch tỷ giá,-47807419.0,22256764.0,-280000.0,5158084.0,576520.0,-328307.0,92971.0,783031.0,-189493.0,-36593326.0
40,Tiền và tương đương tiền cuối kỳ,126567333830.0,55896476282.0,27804830224.0,67430898879.0,97052279042.0,90315322234.0,36532947546.0,39563916661.0,41410827367.0,192322689219.0
