,Unnamed: 0,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,24260221317.0,-3105792501.0,50271027632.0,651065685.0,6929277809.0,-2232960846.0,458056367.0,-943140106.0,16612084018.0,6435057307.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,-24551912438.0,-29555919218.0,26346374051.0,-1212756228.0,-15590838646.0,2051726506.0,1705730792.0,679901302.0,44587547684.0,-16316292968.0
2,Lãi trước thuế,-92499321343.0,425434681.0,-655457696.0,-1374690506.0,-15553094380.0,-2049878035.0,-137676515.0,-3157479256.0,-8110402495.0,-1509507789.0
3,Khấu hao TSCĐ,2447823542.0,-2447823543.0,0.0,0.0,0.0,4101611731.0,927294118.0,0.0,4738341654.0,-3785493706.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,43862697873.0,-43862697873.0,0.0,0.0,0.0,0.0,0.0,3837380558.0,11070717740.0,-11021288801.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,-2078654871.0,2078654871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,3855501952.0,14250465896.0,13500901628.0,161934278.0,-37744266.0,-7190.0,458056367.0,0.0,18388890785.0,-2672.0
9,Chi phí lãi vay,19855414911.0,46750.0,13500930119.0,0.0,0.0,0.0,458056822.0,0.0,18500000000.0,0.0
11,Các khoản điều chỉnh khác,4625498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,16135607713.0,-48138620969.0,-10466000857.0,9575163337.0,8952644919.0,7565183975.0,1239427179.0,-2719186058.0,2885399083.0,-182262028.0
13,(Tăng)/giảm hàng tồn kho,43339681757.0,79801555598.0,57181867874.0,-27753333970.0,26113851078.0,188323859.0,-2111971687.0,-1780526389.0,-9689706042.0,5546145233.0
14,Tăng/(giảm) các khoản phải trả,-19153581251.0,14496636601.0,-9047865395.0,20045425518.0,-12546379542.0,-8688195186.0,1429800469.0,3456354298.0,-5803163965.0,18980466693.0
15,( Tăng)/giảm chi phí trả trước,11588977102.0,-2066103618.0,-30246641.0,-3432972.0,0.0,-3350000000.0,0.0,-1926556823.0,-835772152.0,2900155592.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-2797869306.0,-17057592355.0,-13500930119.0,0.0,0.0,0.0,-458056822.0,0.0,-18500000000.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,-300682260.0,-585748540.0,-212171281.0,0.0,0.0,0.0,0.0,0.0,0.0,-455347714.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3967779410.0,-3967779410.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,-1346873564.0,1346873564.0,0.0,-70028091.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-13449268154.0,28983732878.0,-46871547669.0,-161934278.0,-3117820046.0,7190.0,-458056367.0,2037255625.0,-8304015210.0,2672.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-15434225860.0,15434225860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,2151770937.0,31488661635.0,-33370646041.0,0.0,0.0,0.0,0.0,0.0,12122131200.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2037255625.0,-2037255625.0,0.0
28,Cổ tức và tiền lãi nhận được,-166813231.0,-17939154617.0,-13500901628.0,-161934278.0,-3117820046.0,7190.0,-458056367.0,0.0,-18388890785.0,2672.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-11729615389.0,-25219148388.0,-4010599066.0,-572639766.0,-3788192937.0,2240277368.0,305166387.0,-1403208387.0,-8298031576.0,-6274819842.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,26379803448.0,0.0,0.0,2191958000.0,400268063.0,1173462057.0,1577732387.0,1795666613.0,7272650000.0,-5578819842.0
33,Tiển trả các khoản đi vay,-38109418837.0,-25219148388.0,-4010599066.0,-2764597766.0,-4188461000.0,1066815311.0,-1272566000.0,-3198875000.0,-15570681576.0,-696000000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-918662226.0,658791989.0,-611119103.0,-83508359.0,23264826.0,7323712.0,305166387.0,-309092868.0,10037232.0,160240137.0
38,Tiền và tương đương tiền đầu kỳ,1126627486.0,203362967.0,866757249.0,255638146.0,148215787.0,171480613.0,178786825.0,483953212.0,174860344.0,184897576.0
39,Ảnh hưởng của chênh lệch tỷ giá,-4602293.0,4602293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,203362967.0,866757249.0,255638146.0,172129787.0,171480613.0,178804325.0,483953212.0,174860344.0,184897576.0,345137713.0
