,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,15821004997.0,-9006121332.0,-13381209597.0,594128418.0,-124282635814.0,12405428414.0,109464747279.0,50465491148.0,76296233440.0,56352982997.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,184078068532.0,173547633348.0,129577040607.0,117994960129.0,75483742296.0,66379473894.0,65001909429.0,53231314618.0,43885650819.0
2,Lãi trước thuế,0.0,91548221872.0,80662210049.0,60891566468.0,40037348503.0,11940361489.0,7229493034.0,2352634768.0,5475559583.0,5744956972.0
3,Khấu hao TSCĐ,0.0,43048491969.0,35873987528.0,33640586761.0,36532523228.0,24221071418.0,21720498875.0,21182653978.0,16618491866.0,11903665092.0
5,Chi phí dự phòng,0.0,13565553289.0,19241153309.0,-230726927.0,12067402662.0,-50000000.0,296575274.0,-125000000.0,-1324761328.0,-621596590.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2591514.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,-12534752066.0,-2134150183.0,-3734688233.0,-12739122622.0,-832548238.0,-1924181815.0,-2620358971.0,-654545455.0,-771922141.0
9,Chi phí lãi vay,0.0,48450553468.0,39904432645.0,39010302538.0,42096808358.0,40204857627.0,39057088526.0,44211979654.0,33113978438.0,27630547486.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,-16590062821.0,-208561874239.0,-43645775018.0,-133250673665.0,68453023512.0,25022141631.0,44123194007.0,161434276547.0,14730688184.0
13,(Tăng)/giảm hàng tồn kho,0.0,-105523033209.0,53714708111.0,-103485943728.0,22118772018.0,-114146973464.0,24380437085.0,19244128607.0,-87053184651.0,-30171089509.0
14,Tăng/(giảm) các khoản phải trả,0.0,-16823623642.0,35933981796.0,56990579759.0,-76154612725.0,37904124146.0,33528008229.0,-41756897716.0,-18593445897.0,90713898204.0
15,( Tăng)/giảm chi phí trả trước,0.0,25846922066.0,519725441.0,13411495908.0,1472937767.0,-6493140517.0,2712450964.0,10815038616.0,-278319341.0,-35201660693.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,-49175854129.0,-39904432645.0,-39010302538.0,-42096808358.0,-40204857627.0,-38422703351.0,-44343877381.0,-27822265545.0,-10604870627.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,-28071343999.0,-22322507284.0,-7552133753.0,-10359501560.0,-5942114932.0,-2149611673.0,-1255982414.0,-777464591.0,-15919834381.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,2595733519.0,59200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,-5342927649.0,-6367644125.0,-5690832819.0,-4007709420.0,-2648375000.0,-1985449500.0,-1362022000.0,-3844677700.0,-1079799000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-30847147523.0,2313908815.0,-1374498346.0,6877225173.0,55526367335.0,1177528238.0,679901628.0,1371007156.0,654545455.0,-2109233197.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-40340968421.0,-52358548407.0,-3566943215.0,-14816116890.0,-2560593058.0,-184320000.0,-1261520909.0,-1318655000.0,0.0,-4977000000.0
23,Tiền thu được từ thanh lý tài sản cố định,4247750907.0,563628159.0,180227271.0,4642313636.0,28560494039.0,844572728.0,1941422537.0,2689662156.0,654545455.0,2240598621.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
