,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,4770422896786.0,6213337285050.0,7086350873976.0,9319852662482.0,10768826632603.0,10831100161880.0,11018000170767.0,10158470601572.0,10815399528954.0,11632371921053.0
1,TÀI SẢN NGẮN HẠN,1350999578959.0,1966981157973.0,1975190602956.0,2110035004915.0,1789831452027.0,2117560373052.0,2311130883461.0,1462839215580.0,2290746531503.0,3139808104404.0
2,Tiền và tương đương tiền,298805737348.0,360060918592.0,576880129477.0,428688075454.0,324184082083.0,142526664337.0,146076986910.0,219322711611.0,641553582230.0,953430125623.0
3,Tiền,298548737348.0,302860918592.0,295680129477.0,84155056489.0,120435157462.0,45772170869.0,115602160741.0,198909108118.0,404156054780.0,936427741777.0
4,Các khoản tương đương tiền,257000000.0,57200000000.0,281200000000.0,344533018965.0,203748924621.0,96754493468.0,30474826169.0,20413603493.0,237397527450.0,17002383846.0
5,Giá trị thuần đầu tư ngắn hạn,38929510005.0,76362165051.0,45249232122.0,134298370409.0,246331476176.0,60399980583.0,61403931812.0,46920000000.0,73389607184.0,550664500000.0
6,Đầu tư ngắn hạn,38929510005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360454500000.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,76362165051.0,45249232122.0,134298370409.0,246331476176.0,60399980583.0,61403931812.0,46920000000.0,73389607184.0,190210000000.0
9,Các khoản phải thu,840689368527.0,1412424242609.0,1220713013767.0,1311592792249.0,995954574876.0,1667038767749.0,1851735542157.0,975469626587.0,1411417598144.0,1467063807714.0
10,Phải thu khách hàng,512415724924.0,1243161820581.0,763979970700.0,513538720952.0,611303376283.0,1425563311150.0,1596666648884.0,731919464938.0,444970658998.0,456794507342.0
11,Trả trước người bán,278493450000.0,107593297891.0,320272170741.0,253385738480.0,103519118356.0,84901960836.0,108173410146.0,48878129457.0,49998252918.0,57785088176.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,362000000.0,10130000000.0,238920765480.0,50932232203.0,41711579797.0,33810385712.0,32625979000.0,33349285000.0,15299000000.0
15,Phải thu khác,50539336068.0,61663674455.0,126653633499.0,306368428036.0,230302895642.0,139648215623.0,145009796925.0,171460470742.0,897369763284.0,1088144521499.0
16,Dự phòng nợ khó đòi,-759142465.0,-356550318.0,-322761173.0,-620860699.0,-235250000.0,-24786299657.0,-31924699510.0,-9414417550.0,-14270362056.0,-150959309303.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,132202392.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",119392833473.0,59535634994.0,56384765377.0,41507715279.0,48421852629.0,78661264649.0,38274159075.0,124428336566.0,78003107240.0,98279326128.0
19,Hàng tồn kho,119392833473.0,59535634994.0,56384765377.0,41507715279.0,48421852629.0,78661264649.0,38274159075.0,124428336566.0,78003107240.0,98279326128.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,53182129606.0,58598196727.0,75963462213.0,193948051524.0,174939466263.0,168933695734.0,213640263507.0,96698540816.0,86382636705.0,70370344939.0
22,Trả trước ngắn hạn,205100501.0,19428789.0,2497322813.0,733130886.0,33278225798.0,64629867891.0,98840332500.0,1211092152.0,1022853597.0,4618576778.0
23,Thuế VAT phải thu,30176070338.0,47035578193.0,68900589570.0,190288614098.0,132220976929.0,96063056205.0,94991086190.0,91331226990.0,84148310904.0,64835925722.0
24,Phải thu thuế khác,2292294692.0,11543189745.0,4565549830.0,2926306540.0,9440263536.0,8240771638.0,19808844817.0,4156221674.0,1211472204.0,915842439.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,20508664075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,3419423317827.0,4246356127077.0,5111160271020.0,7209817657567.0,8978995180576.0,8713539788828.0,8706869287306.0,8695631385992.0,8524652997451.0,8492563816649.0
28,Phải thu dài hạn,0.0,0.0,250642124472.0,339787328285.0,287293124712.0,227542226459.0,142934080353.0,122984283349.0,126673368211.0,183391161752.0
29,Phải thu khách hàng dài hạn,0.0,0.0,250519019957.0,250519019957.0,187543789957.0,167543789957.0,83683500000.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,16180745000.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,3273104515.0,76237563328.0,102899334755.0,59998436502.0,62400580353.0,126134283349.0,129823368211.0,186541161752.0
35,Dự phòng phải thu dài hạn,0.0,0.0,-3150000000.0,-3150000000.0,-3150000000.0,0.0,-3150000000.0,-3150000000.0,-3150000000.0,-3150000000.0
