,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,9663742463.0,28240180736.0,-689829848.0,7675122839.0,18420804772.0,11565235037.0,10657609672.0,6813991470.0,14103169116.0,8602982869.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,10078358234.0,9809736791.0,10938260334.0,14720636641.0,13410299588.0,18218051753.0,23331319104.0,21452683436.0,21510167429.0,20560130919.0
2,Lãi trước thuế,2494941535.0,2783176734.0,3370640181.0,5254858696.0,5346499280.0,5414075689.0,5818259311.0,4650186988.0,5902100355.0,6355777086.0
3,Khấu hao TSCĐ,5916706426.0,6479681613.0,6283699126.0,6882443537.0,7447395985.0,10602705782.0,13369109429.0,13856074992.0,13707944795.0,12901933569.0
5,Chi phí dự phòng,274829895.0,0.0,202316821.0,867410468.0,-1069727289.0,0.0,0.0,150802000.0,-150802000.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,136208.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-306182516.0,-1329235663.0,-445158901.0,-150090686.0,-354827208.0,-161456261.0,25051223.0,-142038843.0,-93048772.0,-490641012.0
9,Chi phí lãi vay,1698062894.0,1876114107.0,1526763107.0,1866014626.0,2040958820.0,2362726543.0,4118762933.0,2937658299.0,2143973051.0,1793061276.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-4772264421.0,7661494511.0,816552278.0,-2318822784.0,1846417269.0,4405872753.0,1313958659.0,2161295111.0,3829014942.0,-1778899539.0
13,(Tăng)/giảm hàng tồn kho,-640579243.0,3003563387.0,667868896.0,-1821893081.0,954991221.0,-3915211008.0,-2243624868.0,2335448249.0,-421129017.0,-911126717.0
14,Tăng/(giảm) các khoản phải trả,6868169029.0,12705953548.0,-11392378104.0,2317718672.0,6504244284.0,2354303225.0,-5623803899.0,-14296921633.0,-7384857041.0,-4806751210.0
15,( Tăng)/giảm chi phí trả trước,55311375.0,-2524936072.0,935731850.0,-401203023.0,261925630.0,-5945018838.0,20013158.0,296764110.0,357877775.0,158833139.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-1698062894.0,-1565168050.0,-1526763107.0,-1866014626.0,-2040958820.0,-1023041720.0,-4118762933.0,-2937658299.0,-2143973051.0,-1793061276.0
18,Thuế thu nhập doanh nghiệp đã trả,-1670149519.0,-450865384.0,-1271164865.0,-872521753.0,-1297103591.0,-1164279409.0,-858819549.0,-1220729504.0,-1015334921.0,-1460768947.0
19,Tiền thu khác từ các hoạt động kinh doanh,3713686147.0,5323967201.0,1633200000.0,200000000.0,1977950683.0,2368679571.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-2270726245.0,-5723565196.0,-1491137130.0,-2282777207.0,-3196961492.0,-3734121290.0,-1162670000.0,-976890000.0,-628597000.0,-1365373500.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-21005762028.0,-15842851158.0,-9973032007.0,-9787372404.0,-7750581884.0,-25442154249.0,-15407622350.0,-4623101744.0,-3442604060.0,-8916730757.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-21311944544.0,-17172086821.0,-10418190908.0,-9937463090.0,-8105409092.0,-25603610510.0,-16354987456.0,-4956409488.0,-4135587273.0,-10010692631.0
23,Tiền thu được từ thanh lý tài sản cố định,116363636.0,1294545453.0,375295999.0,139090909.0,342999999.0,150909090.0,938629142.0,329272727.0,690665454.0,1089539866.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
