,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,330456521997.0,342998069195.0,230035645550.0,255702529152.0,1017457127787.0,1419083825114.0,1675140232542.0,1684643590461.0,1858068073258.0,1602056897468.0
1,TÀI SẢN NGẮN HẠN,255725663634.0,154773441932.0,81624507714.0,101809750124.0,1008454486117.0,919724352586.0,1206002624964.0,1215882225457.0,1389433254809.0,1114325150312.0
2,Tiền và tương đương tiền,396477933.0,1033400259.0,1931840285.0,55379930802.0,71638155403.0,31260021818.0,14410973751.0,12481038044.0,10314682088.0,12096943420.0
3,Tiền,396477933.0,1033400259.0,1931840285.0,55379930802.0,51638155403.0,31260021818.0,14410973751.0,10081038044.0,10084682088.0,12096943420.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,20000000000.0,0.0,0.0,2400000000.0,230000000.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,3000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,3000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,9395537402.0,38668786371.0,41458802227.0,36820670614.0,322803252512.0,111522346708.0,30279816113.0,27043216307.0,139031282634.0,25358102988.0
10,Phải thu khách hàng,6425673644.0,34518786530.0,36996914392.0,8614856150.0,114069702092.0,35886497994.0,33249511354.0,30125258893.0,31147489159.0,28617787259.0
11,Trả trước người bán,3928927113.0,1074595888.0,607305258.0,640305258.0,1471941428.0,48425241637.0,1465813467.0,1455309467.0,111400970787.0,1674149467.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,6364184182.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,579716565.0,4731601887.0,5764516582.0,29585786861.0,205621857786.0,35436242520.0,4381626615.0,4266249070.0,5240150077.0,4148991860.0
16,Dự phòng nợ khó đòi,-1538779920.0,-1656197934.0,-1909934005.0,-2020277655.0,-4724432976.0,-8225635443.0,-8817135323.0,-8803601123.0,-8757327389.0,-9082825598.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",244520469905.0,114870232318.0,37726823604.0,6113077414.0,612961471415.0,758665351507.0,1132452774052.0,1159438360415.0,1223338564528.0,1060353546822.0
19,Hàng tồn kho,244520469905.0,115035837542.0,37892428828.0,6278682638.0,612961471415.0,758665351507.0,1132452774052.0,1159438360415.0,1223338564528.0,1060353546822.0
20,Dự phòng giảm giá HTK,0.0,-165605224.0,-165605224.0,-165605224.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,1413178394.0,201022984.0,507041598.0,496071294.0,1051606787.0,18276632553.0,28859061048.0,16919610691.0,16748725559.0,16516557082.0
22,Trả trước ngắn hạn,40857002.0,0.0,105549903.0,15670910.0,37989768.0,6000000000.0,0.0,13800000.0,11500000.0,11500000.0
23,Thuế VAT phải thu,104717748.0,201022984.0,401491695.0,479167085.0,1012251880.0,657566667.0,16927797670.0,16905810691.0,16737225559.0,16505057082.0
24,Phải thu thuế khác,7844802.0,0.0,0.0,1233299.0,1365139.0,11619065886.0,11931263378.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,1259758842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,74730858363.0,188224627263.0,148411137836.0,153892779028.0,9002641670.0,499359472528.0,469137607578.0,468761365004.0,468634818449.0,487731747156.0
28,Phải thu dài hạn,0.0,0.0,0.0,10000000000.0,5000000.0,359558600.0,399558600.0,5000000.0,5000000.0,5000000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,10000000000.0,5000000.0,359558600.0,399558600.0,5000000.0,5000000.0,5000000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,44253999534.0,10440233778.0,5007707626.0,4762268580.0,1039006497.0,3451741164.0,2955849841.0,2465413063.0,1974976291.0,863545901.0
37,GTCL TSCĐ hữu hình,1643204767.0,416080443.0,224435496.0,84001760.0,16363637.0,2000751741.0,1624398994.0,1253500792.0,882602596.0,511704401.0
38,Nguyên giá TSCĐ hữu hình,4761677872.0,2663046060.0,2470394460.0,2470394460.0,393942267.0,2549000549.0,2549000549.0,2186858282.0,2186858282.0,2186858282.0
39,Khấu hao lũy kế TSCĐ hữu hình,-3118473105.0,-2246965617.0,-2245958964.0,-2386392700.0,-377578630.0,-548248808.0,-924601555.0,-933357490.0,-1304255686.0,-1675153881.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,10145002395.0,10024153335.0,4783272130.0,4678266820.0,1022642860.0,1450989423.0,1331450847.0,1211912271.0,1092373695.0,351841500.0
44,Nguyên giá TSCĐ vô hình,10727503005.0,10727503005.0,5607470860.0,5607470860.0,1149392860.0,1627547163.0,1627547163.0,1627547163.0,1627547163.0,1074026303.0
45,Khấu hao lũy kế TSCĐ vô hình,-582500610.0,-703349670.0,-824198730.0,-929204040.0,-126750000.0,-176557740.0,-296096316.0,-415634892.0,-535173468.0,-722184803.0
46,Bất động sản đầu tư,28063407798.0,17859518758.0,17043910678.0,13072500696.0,7285809993.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,31122316712.0,20390201916.0,20390201916.0,16007143718.0,9225460278.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,-3058908914.0,-2530683158.0,-3346291238.0,-2934643022.0,-1939650285.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,158467590764.0,126054540752.0,126058009752.0,0.0,0.0,469122000.0,469122000.0,469122000.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,126001798392.0,126054540752.0,126058009752.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,900110000.0,0.0,0.0,0.0,0.0,494012000000.0,463011435000.0,462783769336.0,462722033244.0,482975900158.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,478512000000.0,463011435000.0,462783769336.0,462722033244.0,482975900158.0
55,Đầu tư dài hạn khác,900110000.0,0.0,0.0,0.0,0.0,15500000000.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,1513341031.0,1457283963.0,304978780.0,0.0,672825180.0,1536172764.0,2301642137.0,3038060605.0,3463686914.0,3887301097.0
59,Trả trước dài hạn,923847782.0,867790714.0,8090431.0,0.0,672825180.0,394414764.0,116004348.0,0.0,0.0,0.0
60,Thuế thu nhập hoãn lại phải thu,589493249.0,589493249.0,296888349.0,0.0,0.0,1141758000.0,2185637789.0,3038060605.0,3463686914.0,3887301097.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,152683812914.0,162787001194.0,57644143433.0,78309487757.0,281773315672.0,404676480877.0,414026129935.0,423090292157.0,596023493267.0,342626037072.0
65,Nợ ngắn hạn,108854506981.0,128999286170.0,51072291273.0,71447001158.0,175307679721.0,304652080877.0,314001729935.0,323065892157.0,67611593267.0,242601637072.0
66,Phải trả người bán,283422026.0,12501521819.0,3825696750.0,1215093350.0,1309353929.0,2418727803.0,1509101202.0,699086984.0,743692624.0,687617019.0
67,Người mua trả tiền trước,9620195693.0,4280322951.0,3228790951.0,1862028157.0,3019891000.0,167771869800.0,4176117436.0,1447697600.0,1629197600.0,1883877600.0
68,Thuế và các khoản phải trả Nhà nước,8911307198.0,8758783652.0,17402813245.0,7641486086.0,32220999439.0,80825358282.0,6876806687.0,1327022563.0,841520146.0,2419988091.0
69,Phải trả người lao động,358008511.0,498066328.0,24000000.0,0.0,261611467.0,0.0,42000000.0,0.0,167740000.0,972600000.0
70,Chi phí phải trả,9095309546.0,19171491424.0,10838387501.0,3254786465.0,2379185555.0,46402575180.0,3499802422.0,11726230659.0,12659044633.0,26736418639.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,32727273.0,32727272.0,32727273.0,7986555455.0,0.0,0.0,1525273750.0,3653405292.0,5771476205.0
74,Phải trả khác,14875570845.0,14270815472.0,5719274580.0,49973899370.0,126073058397.0,3917391944.0,285590899811.0,2980299523.0,614464222.0,2662278380.0
