,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,325714228644.0,282719746221.0,277339207812.0,276850620329.0,321327855413.0,437218653783.0,1389695428854.0,2455334944743.0,3455629114530.0,4905392944269.0
1,TÀI SẢN NGẮN HẠN,16274518275.0,20347785971.0,18234694869.0,30273230034.0,98356876839.0,220980242906.0,1049051517941.0,2016069428031.0,2248030493693.0,3500799398078.0
2,Tiền và tương đương tiền,1381963444.0,4045839850.0,5833765198.0,3420910558.0,12612174307.0,12779811309.0,35866001576.0,81707899868.0,33035117868.0,218007377337.0
3,Tiền,1381963444.0,4045839850.0,1833765198.0,920910558.0,612174307.0,2279811309.0,35866001576.0,21707899868.0,33035117868.0,117507377337.0
4,Các khoản tương đương tiền,0.0,0.0,4000000000.0,2500000000.0,12000000000.0,10500000000.0,0.0,60000000000.0,0.0,100500000000.0
5,Giá trị thuần đầu tư ngắn hạn,300000000.0,14300000000.0,5800000000.0,8088000000.0,19500500000.0,11512500000.0,20300091000.0,38300091000.0,13724294608.0,11224294608.0
6,Đầu tư ngắn hạn,300000000.0,14300000000.0,4000000000.0,4000000000.0,3912500000.0,11212500000.0,11212500000.0,11212500000.0,11212500000.0,11212500000.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4275796392.0,-4275796392.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,1800000000.0,4088000000.0,15588000000.0,300000000.0,9087591000.0,27087591000.0,6787591000.0,4287591000.0
9,Các khoản phải thu,14059083200.0,1723555975.0,6147319177.0,18262527494.0,63749034858.0,180393618954.0,323195230195.0,543061924679.0,615635267273.0,1241041416763.0
10,Phải thu khách hàng,8205956309.0,5303944763.0,9007689979.0,9363465940.0,55076105086.0,161631496242.0,175572714486.0,172724529893.0,289414239754.0,287325903281.0
11,Trả trước người bán,335711603.0,291721603.0,411387718.0,1794455717.0,11761140520.0,14754562028.0,57470465348.0,113619488968.0,137012742004.0,114198275132.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,10192666667.0,0.0,0.0,51458000000.0,184156323712.0,36000000000.0,574744999998.0
15,Phải thu khác,12743573001.0,10335468461.0,10586699977.0,10770397667.0,10770247749.0,17804852031.0,52524386939.0,86181239477.0,167127942886.0,278691895723.0
16,Dự phòng nợ khó đòi,-7226157713.0,-14207578852.0,-13858458497.0,-13858458497.0,-13858458497.0,-13797291347.0,-13830336578.0,-13619657371.0,-13919657371.0,-13919657371.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",0.0,0.0,0.0,9768945.0,132496217.0,14507649680.0,653170597257.0,1332181619793.0,1584443714992.0,2027305111021.0
19,Hàng tồn kho,0.0,0.0,0.0,9768945.0,132496217.0,14507649680.0,653170597257.0,1332181619793.0,1584443714992.0,2027305111021.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,533471631.0,278390146.0,453610494.0,492023037.0,2362671457.0,1786662963.0,16519597913.0,20817892691.0,1192098952.0,3221198349.0
22,Trả trước ngắn hạn,304352531.0,20635046.0,10449989.0,45734700.0,1901215092.0,1325023876.0,299654132.0,438298188.0,628175862.0,2275209026.0
23,Thuế VAT phải thu,0.0,0.0,443137766.0,445711053.0,460879081.0,461639087.0,16219943781.0,13037691466.0,563923090.0,945989323.0
