,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,201891440133.0,242559800835.0,166816709430.0,160143599084.0,210010821473.0,81897454485.0,378114031343.0,162752725227.0,125499975935.0,61220235368.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,201891440133.0,242559800835.0,166816709430.0,160143599084.0,210010821473.0,81897454485.0,378114031343.0,162752725227.0,125499975935.0,61220235368.0
3,Giá vốn hàng bán,-182144391647.0,-223076043781.0,-149513289112.0,-142319697543.0,-201530531950.0,-66982812810.0,-342640671634.0,-147856332054.0,-119040451544.0,-56282479095.0
4,Lãi gộp,19747048486.0,19483757054.0,17303420318.0,17823901541.0,8480289523.0,14914641675.0,35473359709.0,14896393173.0,6459524391.0,4937756273.0
5,Thu nhập tài chính,243313797.0,180169620.0,61834588.0,60481850.0,22670428.0,17841990.0,39008303.0,46183159.0,457994432.0,2489115181.0
6,Chi phí tài chính,-10955255474.0,-8219809025.0,-6848979876.0,-5841490879.0,-5459100525.0,-4960513734.0,-7325448087.0,-4166372867.0,-3483088245.0,-2867136911.0
7,Trong đó: Chi phí lãi vay,-10955255474.0,-8219809025.0,-6848979876.0,-5841490879.0,-5459100525.0,-4960513734.0,-7325448087.0,-4166372867.0,-3483088245.0,-2867136911.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,-4068566904.0,-187311548.0,-853998641.0,0.0
10,Chi phí quản lý doanh  nghiệp,-8568573613.0,-17505011506.0,-8967534434.0,-8878358515.0,26743805145.0,-12915278606.0,-11688711209.0,-8070616551.0,1886364828.0,-3684109591.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,466533196.0,-6060893857.0,1548740596.0,3164533997.0,29787664571.0,-2943308675.0,12429641812.0,2518275366.0,4466796765.0,875624952.0
12,Thu nhập khác,288226139.0,6049126.0,24604772.0,142024346.0,223120378.0,703271594.0,137408929.0,90000001.0,653065.0,300000420.0
13,Chi phí khác,-460320689.0,-326062023.0,-80797230.0,-1107923741.0,-555432686.0,-677786522.0,-10189886975.0,-1017735578.0,-753525508.0,-246740584.0
14,"Thu nhập khác, ròng",-172094550.0,-320012897.0,-56192458.0,-965899395.0,-332312308.0,25485072.0,-10052478046.0,-927735577.0,-752872443.0,53259836.0
16,Lãi/(lỗ) ròng trước thuế,294438646.0,-6380906754.0,1492548138.0,2198634602.0,29455352263.0,-2917823603.0,2377163766.0,1590539789.0,3713924322.0,928884788.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-171748916.0,-1261571388.0,-529361596.0,-518089719.0,-528045757.0,-44701738.0,-1715899742.0,-440189133.0,0.0,-78934750.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-171748916.0,-1261571388.0,-529361596.0,-518089719.0,-528045757.0,-44701738.0,-1715899742.0,-440189133.0,0.0,-78934750.0
20,Lãi/(lỗ) thuần sau thuế,122689730.0,-7642478142.0,963186542.0,1680544883.0,28927306506.0,-2962525341.0,661264024.0,1150350656.0,3713924322.0,849950038.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,122689730.0,-7642478142.0,963186542.0,1680544883.0,28927306506.0,-2962525341.0,661264024.0,1150350656.0,3713924322.0,849950038.0
23,Lãi cơ bản trên cổ phiếu,72.0,-4496.0,191.0,252.0,2411.0,-247.0,55.0,96.0,309.0,71.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
