,CHỈ TIÊU,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,TỔNG TÀI SẢN,230419086798.0,224752604339.0,228029729503.0,237030775308.0,211785805031.0,219190735329.0,231212317354.0,228318095175.0,224677959312.0,232819642906.0
1,TÀI SẢN NGẮN HẠN,165559156850.0,170165885097.0,180791259940.0,195021449586.0,174121294217.0,185731382974.0,200796153352.0,200274714629.0,197357945839.0,206694269873.0
2,Tiền và tương đương tiền,10299247245.0,11617641059.0,14940464012.0,12906376270.0,7022188073.0,12666063862.0,15019876093.0,14074112453.0,18873331598.0,21267627405.0
3,Tiền,10299247245.0,11617641059.0,14940464012.0,12906376270.0,7022188073.0,12666063862.0,15019876093.0,14074112453.0,18873331598.0,21267627405.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
9,Các khoản phải thu,66515715679.0,61413248090.0,67561812682.0,98117848493.0,110885332498.0,91182789706.0,108039599160.0,100753152254.0,80197211918.0,85400100454.0
10,Phải thu khách hàng,52193849933.0,44689205472.0,47386074029.0,57501675053.0,79629724651.0,61097756823.0,75293534460.0,65032163882.0,46966466376.0,56741480232.0
11,Trả trước người bán,15005536434.0,17367520490.0,18028251463.0,18114662905.0,21631447249.0,19223002204.0,22613338181.0,20175047140.0,21407973989.0,20085687943.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,2474589816.0,2514782632.0,5355997694.0,26753555450.0,15345763878.0,16744382062.0,16663361122.0,22805443674.0,21808789068.0,21780715195.0
16,Dự phòng nợ khó đòi,-3158260504.0,-3158260504.0,-3208510504.0,-4252044915.0,-5721603280.0,-5882351383.0,-6530634603.0,-7259502442.0,-9986017515.0,-13207782916.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",63847708906.0,72355298887.0,75807851097.0,83775041133.0,56019905061.0,81466330052.0,77515316737.0,83671989253.0,94991150631.0,97622314075.0
19,Hàng tồn kho,63847708906.0,72355298887.0,78796563097.0,90889938133.0,64549494061.0,89836631883.0,85608001568.0,92109934775.0,102776712451.0,104838575365.0
20,Dự phòng giảm giá HTK,0.0,0.0,-2988712000.0,-7114897000.0,-8529589000.0,-8370301831.0,-8092684831.0,-8437945522.0,-7785561820.0,-7216261290.0
21,Tài sản lưu động khác,24896485020.0,24779697061.0,22481132149.0,222183690.0,193868585.0,416199354.0,221361362.0,1775460669.0,3296251692.0,2304227939.0
22,Trả trước ngắn hạn,646995062.0,394842935.0,319020104.0,222183690.0,193868585.0,416199354.0,221361362.0,336668981.0,955020363.0,662455780.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1422383178.0,2341231329.0,1639009159.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16408510.0,0.0,2763000.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,24249489958.0,24384854126.0,22162112045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,64859929948.0,54586719242.0,47238469563.0,42009325722.0,37664510814.0,33459352355.0,30416164002.0,28043380546.0,27320013473.0,26125373033.0
