,CHỈ TIÊU,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,0.0,80360904679.0,120433521343.0,66853032563.0,76057982300.0,111447959809.0,186527068452.0
1,Các khoản giảm trừ,0.0,0.0,-416128221.0,-38947610.0,0.0,-4421680.0,-43539239.0
2,Doanh số thuần,0.0,80360904679.0,120017393122.0,66814084953.0,76057982300.0,111443538129.0,186483529213.0
3,Giá vốn hàng bán,0.0,-80007777589.0,-111878456947.0,-61102987653.0,-71941765900.0,-101212139409.0,-178551415014.0
4,Lãi gộp,0.0,353127090.0,8138936175.0,5711097300.0,4116216400.0,10231398720.0,7932114199.0
5,Thu nhập tài chính,381383625.0,2231217495.0,496301.0,143057997.0,259570.0,4751722.0,29040396.0
6,Chi phí tài chính,0.0,-764786303.0,0.0,-983499420.0,-933363184.0,-2077929368.0,-2361446809.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,-268200000.0,-933265351.0,-2065468354.0,-2361446809.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-85920000.0,-594805500.0,-1137717000.0,-828130000.0,-547240000.0,-1646998089.0,-1788385000.0
10,Chi phí quản lý doanh  nghiệp,-265302750.0,-531049978.0,-2647222885.0,-2751281271.0,-2313004170.0,-3042613793.0,-3655410227.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,30160875.0,693702804.0,4354492591.0,1291244606.0,322868616.0,3468609192.0,155912559.0
12,Thu nhập khác,0.0,0.0,36630617.0,53625.0,108886.0,73243048.0,254997.0
13,Chi phí khác,0.0,0.0,-6530699.0,-129804046.0,-14946914.0,-4506419.0,-61268435.0
14,"Thu nhập khác, ròng",0.0,0.0,30099918.0,-129750421.0,-14838028.0,68736629.0,-61013438.0
16,Lãi/(lỗ) ròng trước thuế,30160875.0,693702804.0,4384592509.0,1161494185.0,308030588.0,3537345821.0,94899121.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-6032175.0,-138740560.0,-869592903.0,-232196211.0,-45182680.0,-708235478.0,-31241511.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-6032175.0,-138740560.0,-869592903.0,-232196211.0,-45182680.0,-708235478.0,-31241511.0
20,Lãi/(lỗ) thuần sau thuế,24128700.0,554962244.0,3514999606.0,929297974.0,262847908.0,2829110343.0,63657610.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,2674019.0,8573272.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,24128700.0,554962244.0,3512325587.0,920724702.0,262847908.0,2829110343.0,63657610.0
23,Lãi cơ bản trên cổ phiếu,80.0,1562.0,2682.8,703.27,139.0,478.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0
