,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,21023907914.0,19053974716.0,16680773111.0,20245148726.0,19203310524.0,23200152599.0,26322279747.0,27298069524.0,29821770824.0,35637720688.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,21023907914.0,19053974716.0,16680773111.0,20245148726.0,19203310524.0,23200152599.0,26322279747.0,27298069524.0,29821770824.0,35637720688.0
3,Giá vốn hàng bán,-17877831938.0,-15794808826.0,-13384791912.0,-16341036770.0,-14888576680.0,-17481419924.0,-19134257296.0,-19879423764.0,-22772092151.0,-29729403052.0
4,Lãi gộp,3146075976.0,3259165890.0,3295981199.0,3904111956.0,4314733844.0,5718732675.0,7188022451.0,7418645760.0,7049678673.0,5908317636.0
5,Thu nhập tài chính,1197361654.0,1043219475.0,892203356.0,690616428.0,632545859.0,743389877.0,455497606.0,163229852.0,217876088.0,203997365.0
6,Chi phí tài chính,-10377380.0,0.0,-33900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-22750000.0,-70099373.0,-31045106.0,-73391687.0,-45177420.0,-95329354.0,-59858080.0,-88389780.0,-106646591.0,-69727750.0
10,Chi phí quản lý doanh  nghiệp,-4117058422.0,-3668922793.0,-3567125815.0,-3274759821.0,-3312819870.0,-4836732554.0,-5480150887.0,-5569697116.0,-5256225150.0,-6672302983.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,193251828.0,563363199.0,589979734.0,1246576876.0,1589282413.0,1530060644.0,2103511090.0,1923788716.0,1904683020.0,-629715732.0
12,Thu nhập khác,2725907746.0,3825387175.0,3733183045.0,399153375.0,600000.0,283698025.0,8236000.0,1400000.0,105713846.0,2745201525.0
13,Chi phí khác,-1316590810.0,-2351243803.0,-2686428698.0,-170709920.0,-83578165.0,-6500600.0,-93385208.0,-279.0,-8000001.0,0.0
14,"Thu nhập khác, ròng",1409316936.0,1474143372.0,1046754347.0,228443455.0,-82978165.0,277197425.0,-85149208.0,1399721.0,97713845.0,2745201525.0
16,Lãi/(lỗ) ròng trước thuế,1602568764.0,2037506571.0,1636734081.0,1475020331.0,1506304248.0,1807258069.0,2018361882.0,1925188437.0,2002396865.0,2115485793.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-411399178.0,-475171693.0,-381312246.0,-402708478.0,-325713272.0,-378678807.0,-443349418.0,-286492798.0,-422236845.0,-515938044.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-411399178.0,-475171693.0,-381312246.0,-402708478.0,-325713272.0,-378678807.0,-443349418.0,-286492798.0,-422236845.0,-515938044.0
20,Lãi/(lỗ) thuần sau thuế,1191169586.0,1562334878.0,1255421835.0,1072311853.0,1180590976.0,1428579262.0,1575012464.0,1638695639.0,1580160020.0,1599547749.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1191169586.0,1562334878.0,1255421835.0,1072311853.0,1180590976.0,1428579262.0,1575012464.0,1638695639.0,1580160020.0,1599547749.0
23,Lãi cơ bản trên cổ phiếu,597.0,824.0,662.0,565.0,622.0,753.0,830.0,846.0,754.0,763.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
