,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-8573151557.0,-5622887433.0,-973891545.0,-538205535.0,1914688159.0,-1525315931.0,-412032062.0,-2960131568.0,-614738609.0,315250562.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-351848186.0,1656686843.0,-37185072.0,239620574.0,3117839.0,72170307.0,78739293.0,37014910.0,1155398.0,3920403.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-563064585.0,-140684070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,2540854800.0,137990202.0,0.0,0.0,0.0,65000000.0,35727273.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,-210785789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,210785789.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,-900000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,211216399.0,156516113.0,35610515.0,28834785.0,3117839.0,72170307.0,13739293.0,1287637.0,1155398.0,3920403.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,649020000.0,-615881000.0,-100000000.0,-50000000.0,-139600000.0,0.0,0.0,5000000000.0,621574800.0,29378425200.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000000.0,0.0,30000000000.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,1257300000.0,143500000.0,0.0,346200000.0,0.0,0.0,5700474431.0,2751592614.0,1730729272.0,0.0
33,Tiển trả các khoản đi vay,-606000000.0,-757500000.0,-100000000.0,-396200000.0,-139600000.0,0.0,-5700474431.0,-2751592614.0,-1109154472.0,-621574800.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-2280000.0,-1881000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-8275979743.0,-4582081590.0,-1111076617.0,-348584961.0,1778205998.0,-1453145624.0,-333292769.0,2076883342.0,7991589.0,29697596165.0
38,Tiền và tương đương tiền đầu kỳ,15019842941.0,6753592806.0,2161704329.0,1054843809.0,706444590.0,2484650588.0,1031504964.0,698212195.0,2777652514.0,2785644103.0
39,Ảnh hưởng của chênh lệch tỷ giá,9729608.0,-9806887.0,4216097.0,185742.0,0.0,0.0,0.0,2556977.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,6753592806.0,2161704329.0,1054843809.0,706444590.0,2484650588.0,1031504964.0,698212195.0,2777652514.0,2785644103.0,32483240268.0
