,CHỈ TIÊU,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,286850848139.0,205625517176.0,284253725895.0,351170642767.0,397736416261.0,510562892643.0,507262338183.0,511234048612.0,491520687536.0
1,TÀI SẢN NGẮN HẠN,77354089415.0,63927810681.0,89610958123.0,119313309184.0,123164477627.0,111936533843.0,109554567962.0,131212232077.0,154595513842.0
2,Tiền và tương đương tiền,42583987564.0,29376240702.0,26647042973.0,20458215711.0,40177762653.0,37329578979.0,32556105957.0,36771596188.0,55759934993.0
3,Tiền,7583987564.0,9376240702.0,6647042973.0,14758215711.0,14332184005.0,31629578979.0,26856105957.0,21071596188.0,45759934993.0
4,Các khoản tương đương tiền,35000000000.0,20000000000.0,20000000000.0,5700000000.0,25845578648.0,5700000000.0,5700000000.0,15700000000.0,10000000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,34662944931.0,33744334186.0,59990549087.0,98789890010.0,82230694465.0,71919652047.0,75633152149.0,94166213186.0,86558415976.0
10,Phải thu khách hàng,30428791590.0,32829671373.0,33142325485.0,40659811387.0,48194538158.0,50913333102.0,53717342488.0,70691036081.0,66527296104.0
11,Trả trước người bán,2727103700.0,154351716.0,2330510502.0,233297604.0,17730101567.0,2902959121.0,209461000.0,2064288930.0,1086240890.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,1519782957.0,760311097.0,24517713100.0,57896781019.0,16306054740.0,19389317583.0,22930015507.0,23161040812.0,21761732904.0
16,Dự phòng nợ khó đòi,-12733316.0,0.0,0.0,0.0,0.0,-1285957759.0,-1223666846.0,-1750152637.0,-2816853922.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",61080920.0,61080920.0,61080920.0,49877090.0,49877090.0,0.0,0.0,274422703.0,1541000.0
19,Hàng tồn kho,61080920.0,61080920.0,61080920.0,49877090.0,49877090.0,0.0,0.0,274422703.0,1541000.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,46076000.0,746154873.0,2912285143.0,15326373.0,706143419.0,2687302817.0,1365309856.0,0.0,12275621873.0
22,Trả trước ngắn hạn,46076000.0,0.0,2911114496.0,0.0,0.0,0.0,0.0,0.0,12256926591.0
23,Thuế VAT phải thu,0.0,746154873.0,0.0,0.0,0.0,2687302817.0,693578638.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,1170647.0,15326373.0,706143419.0,0.0,671731218.0,0.0,18695282.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,209496758724.0,141697706495.0,194642767772.0,231857333583.0,274571938634.0,398626358800.0,397707770221.0,380021816535.0,336925173694.0
28,Phải thu dài hạn,0.0,602966518.0,35498628867.0,39220737929.0,60619268480.0,50870532903.0,45290475915.0,36722837267.0,31786198619.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,602966518.0,35498628867.0,39220737929.0,60619268480.0,50870532903.0,45290475915.0,36722837267.0,31786198619.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,193363491941.0,123362326160.0,122122194139.0,136941534681.0,121769389962.0,282866561830.0,238849227785.0,201152792831.0,167326904191.0
37,GTCL TSCĐ hữu hình,192735129693.0,123042551921.0,122038860809.0,136558590240.0,121124778852.0,282514617388.0,238708672233.0,201011126162.0,167285237524.0
38,Nguyên giá TSCĐ hữu hình,407445515444.0,175928156702.0,199317606252.0,234738306922.0,241471887879.0,435322702900.0,429557646316.0,428685233845.0,431979715316.0
39,Khấu hao lũy kế TSCĐ hữu hình,-214710385751.0,-52885604781.0,-77278745443.0,-98179716682.0,-120347109027.0,-152808085512.0,-190848974083.0,-227674107683.0,-264694477792.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,628362248.0,319774239.0,83333330.0,382944441.0,644611110.0,351944442.0,140555552.0,141666669.0,41666667.0
44,Nguyên giá TSCĐ vô hình,7356307603.0,2171249091.0,4369521818.0,4803521818.0,5251521818.0,5251521818.0,5251521818.0,5451521818.0,5451521818.0
45,Khấu hao lũy kế TSCĐ vô hình,-6727945355.0,-1851474852.0,-4286188488.0,-4420577377.0,-4606910708.0,-4899577376.0,-5110966266.0,-5309855149.0,-5409855151.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,590140058.0,1793272727.0,4674491035.0,3321006364.0,20152920976.0,0.0,66000000.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,15543126725.0,15939141090.0,19580029991.0,18847773081.0,18847773081.0,18847773081.0,18847773081.0,18847773081.0,18847773081.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,10050938625.0,10050938625.0,13710498007.0,12391312981.0,12391312981.0,12391312981.0,12391312981.0,12391312981.0,12391312981.0
55,Đầu tư dài hạn khác,6407960000.0,6533730000.0,6456460100.0,6456460100.0,6456460100.0,6456460100.0,6456460100.0,6456460100.0,6456460100.0
56,Dự phòng giảm giá đầu tư dài hạn,-915771900.0,-645527535.0,-586928116.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,0.0,0.0,12767423740.0,33526281528.0,53182586135.0,46041490986.0,94654293440.0,123298413356.0,118964297803.0
59,Trả trước dài hạn,0.0,0.0,12767423740.0,33526281528.0,53182586135.0,46041490986.0,94654293440.0,123298413356.0,118964297803.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,110391807464.0,107358211689.0,146721871008.0,197724807403.0,236845313760.0,338670761992.0,325362867139.0,327719769665.0,291680666592.0
65,Nợ ngắn hạn,74829430654.0,71812468079.0,85321363172.0,122300328560.0,108127108737.0,128696373810.0,136678472610.0,162645820902.0,148798635055.0
66,Phải trả người bán,15484428370.0,25817164806.0,27466812909.0,45908972723.0,51111388445.0,36643534640.0,71789589390.0,78602321393.0,63428876877.0
67,Người mua trả tiền trước,0.0,0.0,0.0,0.0,0.0,0.0,2200000.0,11324347.0,299999.0
68,Thuế và các khoản phải trả Nhà nước,11039128230.0,9627290901.0,5692966656.0,2502066120.0,2858028405.0,1676373611.0,110371120.0,4695637129.0,3161612511.0
69,Phải trả người lao động,11893140847.0,9441153796.0,6905180401.0,10917640338.0,9945869137.0,9888394685.0,13338444287.0,18549065606.0,11264599662.0
70,Chi phí phải trả,3121817550.0,65019425.0,2873398625.0,5150591064.0,14959402882.0,36937467592.0,17590060791.0,33224501072.0,43764035820.0
