,CHỈ TIÊU,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,TỔNG TÀI SẢN,106665873779.0,155588063380.0,245437220255.0,293588078677.0,331288180316.0,417578044870.0,492253158067.0,556749519803.0,496452391043.0,480594760692.0
1,TÀI SẢN NGẮN HẠN,88091236427.0,123431653075.0,195174906529.0,248863406289.0,292791416010.0,362857962484.0,433265239401.0,495502475837.0,435182062262.0,432431226989.0
2,Tiền và tương đương tiền,13107731028.0,4960810780.0,2960098620.0,182037303.0,4565868382.0,14826738476.0,18427737066.0,15390378662.0,5108624995.0,1639321575.0
3,Tiền,13107731028.0,4960810780.0,2960098620.0,182037303.0,4565868382.0,1762266341.0,13394737066.0,8780378662.0,2908624995.0,1639321575.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,13064472135.0,5033000000.0,6610000000.0,2200000000.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,1417500000.0,8000000000.0,2000000000.0,3000000000.0,2050000000.0,2000009000.0,2000000000.0,2000000000.0,0.0,0.0
6,Đầu tư ngắn hạn,1417500000.0,8000000000.0,2000000000.0,3000000000.0,2050000000.0,2000009000.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,2000000000.0,2000000000.0,0.0,0.0
9,Các khoản phải thu,17625368783.0,45294445650.0,120259754119.0,101304011914.0,98131515578.0,95209841317.0,120941898763.0,166080709633.0,175056284105.0,153679299297.0
10,Phải thu khách hàng,16285510291.0,42767434174.0,115529372325.0,92403253986.0,92422851400.0,74571692033.0,72457568803.0,96347304081.0,119883340168.0,99648166487.0
11,Trả trước người bán,1207504951.0,3220569152.0,4708396996.0,8533566488.0,5205677479.0,15259902134.0,11253186733.0,24535809817.0,14273359114.0,13793040778.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,7008000000.0,7008000000.0,7008000000.0,7008000000.0
15,Phải thu khác,1019085736.0,384622098.0,1100164572.0,1445371214.0,2068107216.0,6672509375.0,31570565172.0,39537017680.0,37069206058.0,37935477286.0
16,Dự phòng nợ khó đòi,-886732195.0,-1078179774.0,-1078179774.0,-1078179774.0,-1565120517.0,-1294262225.0,-1347421945.0,-1347421945.0,-3177621235.0,-4705385254.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",54514883563.0,62933591870.0,65845050876.0,136449747560.0,182160424017.0,234903481657.0,291895603572.0,312031387542.0,255002362279.0,277098536897.0
19,Hàng tồn kho,54514883563.0,62933591870.0,65845050876.0,136449747560.0,182160424017.0,234903481657.0,291895603572.0,312031387542.0,255002362279.0,277098536897.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,1425753053.0,2242804775.0,4110002914.0,7927609512.0,5883608033.0,15917892034.0,0.0,0.0,14790883.0,14069220.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14790883.0,14069220.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,1425753053.0,2242804775.0,4110002914.0,7927609512.0,5883608033.0,15917892034.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,18574637352.0,32156410305.0,50262313726.0,44724672388.0,38496764306.0,54720082386.0,58987918666.0,61247043966.0,61270328781.0,48163533703.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,1935898000.0,1935898000.0,13735898000.0,13735898000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,1935898000.0,1935898000.0,13735898000.0,13735898000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,18359338464.0,29790852555.0,47186104275.0,41922414999.0,36349258371.0,51270476581.0,55571121321.0,58561652468.0,47275933270.0,34399855646.0
37,GTCL TSCĐ hữu hình,18359338464.0,29790852555.0,47186104275.0,41922414999.0,36161550707.0,50223736682.0,55519176877.0,58525645524.0,47261176326.0,34399855646.0
38,Nguyên giá TSCĐ hữu hình,62724955291.0,78916814191.0,103304518132.0,106459380251.0,108276586411.0,124018654689.0,140229806196.0,149681947934.0,147707479510.0,126031966650.0
39,Khấu hao lũy kế TSCĐ hữu hình,-44365616827.0,-49125961636.0,-56118413857.0,-64536965252.0,-72115035704.0,-73794918007.0,-84710629319.0,-91156302410.0,-100446303184.0,-91632111004.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0,73194444.0,51944444.0,36006944.0,14756944.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,85000000.0,85000000.0,85000000.0,85000000.0,85000000.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,-11805556.0,-33055556.0,-48993056.0,-70243056.0,-85000000.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
