,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,38375702696.0,36931231774.0,36023994880.0,37149520233.0,37914517679.0,41514873958.0,42498297458.0,45098378572.0,47983073000.0,58192155024.0
1,TÀI SẢN NGẮN HẠN,36834872675.0,35452895700.0,34849090340.0,35598326024.0,36588130274.0,40493193999.0,41701374517.0,44005165853.0,46791484553.0,52449286079.0
2,Tiền và tương đương tiền,15242641461.0,15080779340.0,16380866810.0,17757539551.0,21931201440.0,20056472059.0,17449515218.0,12316763935.0,17928669675.0,17797376255.0
3,Tiền,4242641461.0,7080779340.0,6380866810.0,3757539551.0,7931201440.0,10556472059.0,6949515218.0,9316763935.0,14928669675.0,17797376255.0
4,Các khoản tương đương tiền,11000000000.0,8000000000.0,10000000000.0,14000000000.0,14000000000.0,9500000000.0,10500000000.0,3000000000.0,3000000000.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,4000000000.0,4000000000.0,8000000000.0,9060000000.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,4000000000.0,4000000000.0,8000000000.0,9060000000.0,0.0
9,Các khoản phải thu,13557399458.0,12166907974.0,12831255065.0,12519147859.0,10441982431.0,11057195466.0,14935627645.0,20435059535.0,15018854582.0,29736918233.0
10,Phải thu khách hàng,13748500954.0,12656298053.0,13332561180.0,12933360374.0,10866623453.0,11254250451.0,15216132334.0,17332923560.0,15132155807.0,8024713180.0
11,Trả trước người bán,241514757.0,17819753.0,98353079.0,6308182.0,15000000.0,15000000.0,45000000.0,10792000.0,129925600.0,215542001.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000000.0,0.0,16500000000.0
15,Phải thu khác,213013179.0,22194455.0,51213358.0,55722760.0,97913328.0,201379557.0,222358379.0,361413324.0,286019120.0,5367652043.0
16,Dự phòng nợ khó đòi,-645629432.0,-529404287.0,-650872552.0,-476243457.0,-537554350.0,-413434542.0,-547863068.0,-270069349.0,-529245945.0,-370988991.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",7789114005.0,8015026894.0,5627417603.0,5301254965.0,4214946403.0,5300832036.0,5265157812.0,3161993284.0,4771125483.0,4873637370.0
19,Hàng tồn kho,9646216232.0,9731945021.0,7450287034.0,7123523266.0,6076828178.0,8192030066.0,8209361780.0,6258062893.0,7480391037.0,6682949365.0
20,Dự phòng giảm giá HTK,-1857102227.0,-1716918127.0,-1822869431.0,-1822268301.0,-1861881775.0,-2891198030.0,-2944203968.0,-3096069609.0,-2709265554.0,-1809311995.0
21,Tài sản lưu động khác,245717751.0,190181492.0,9550862.0,20383649.0,0.0,78694438.0,51073842.0,91349099.0,12834813.0,41354221.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3674243.0,0.0,38892039.0
23,Thuế VAT phải thu,60966351.0,59664492.0,9550862.0,20383649.0,0.0,78694438.0,51073842.0,87674856.0,12834813.0,2462182.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,184751400.0,130517000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,1540830021.0,1478336074.0,1174904540.0,1551194209.0,1326387405.0,1021679959.0,796922941.0,1093212719.0,1191588447.0,5742868945.0
28,Phải thu dài hạn,0.0,0.0,400000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,400000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,1472391332.0,1061731172.0,741510986.0,534487610.0,327464234.0,131107072.0,0.0,37063432.0,77059948.0,5318879584.0
37,GTCL TSCĐ hữu hình,1472391332.0,1061731172.0,741510986.0,534487610.0,327464234.0,131107072.0,0.0,37063432.0,77059948.0,5236240695.0
38,Nguyên giá TSCĐ hữu hình,3488870569.0,3488870569.0,3488870569.0,3488870569.0,3061867516.0,3061867516.0,2743829516.0,2811334062.0,2910743153.0,8603762079.0
39,Khấu hao lũy kế TSCĐ hữu hình,-2016479237.0,-2427139397.0,-2747359583.0,-2954382959.0,-2734403282.0,-2930760444.0,-2743829516.0,-2774270630.0,-2833683205.0,-3367521384.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
