,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,177702923873.0,192073632442.0,192441136326.0,266512098687.0,192220000120.0,141694634103.0,174963542795.0,150572072566.0,121449838095.0,112473935930.0
1,TÀI SẢN NGẮN HẠN,111052040102.0,132202741281.0,132035180518.0,212385139263.0,145737450865.0,102123500920.0,142365628097.0,103995915485.0,79241771972.0,91867242713.0
2,Tiền và tương đương tiền,6494260409.0,10827597402.0,659533584.0,1413982435.0,3090199870.0,263544816.0,234498294.0,676934387.0,864117389.0,205528347.0
3,Tiền,5494260409.0,10827597402.0,659533584.0,1413982435.0,3090199870.0,263544816.0,234498294.0,676934387.0,864117389.0,205528347.0
4,Các khoản tương đương tiền,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,3293277629.0,358093307.0,358093307.0,358093307.0,148093307.0,110000000.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,3293277629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,358093307.0,358093307.0,358093307.0,148093307.0,110000000.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,47972934334.0,85800405110.0,74583767284.0,128299974170.0,72917604888.0,41361877351.0,74566494298.0,72100337598.0,47584000992.0,61173233615.0
10,Phải thu khách hàng,46181035715.0,78970090830.0,58014558235.0,105175983241.0,49158556481.0,24265452007.0,46072517207.0,67605092222.0,39743238226.0,51728781667.0
11,Trả trước người bán,8398994976.0,6414045098.0,4109129129.0,10472347939.0,4760535106.0,8190656448.0,23300439302.0,4197511638.0,4684601305.0,8915054486.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,78837930.0,9122197908.0,17975840332.0,20603436376.0,26699655812.0,16659046705.0,13350796099.0,9374246930.0,12209108653.0,9605744654.0
16,Dự phòng nợ khó đòi,-6685934287.0,-8705928726.0,-5515760412.0,-7951793386.0,-7701142511.0,-7753277809.0,-8157258310.0,-9076513192.0,-9052947192.0,-9076347192.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",46499522655.0,34996906803.0,56265148936.0,80930428499.0,69214721803.0,60057242805.0,67412857264.0,31074328270.0,30243566470.0,30469080845.0
19,Hàng tồn kho,48105007983.0,37909438450.0,59655480978.0,85315238824.0,74248203725.0,65739396339.0,73442008200.0,31074328270.0,30243566470.0,30469080845.0
20,Dự phòng giảm giá HTK,-1605485328.0,-2912531647.0,-3390332042.0,-4384810325.0,-5033481922.0,-5682153534.0,-6029150936.0,0.0,0.0,0.0
21,Tài sản lưu động khác,6792045075.0,219738659.0,168637407.0,1382660852.0,366830997.0,330835948.0,151778241.0,144315230.0,550087121.0,19399906.0
22,Trả trước ngắn hạn,248434963.0,206167356.0,109411118.0,144953203.0,282220132.0,151438562.0,65000000.0,27272725.0,62500000.0,0.0
23,Thuế VAT phải thu,3128061.0,0.0,41218328.0,1232218054.0,5432213.0,158170441.0,0.0,30264264.0,482588453.0,2038044.0
24,Phải thu thuế khác,759991996.0,13571303.0,18007961.0,5489595.0,79178652.0,21226945.0,86778241.0,86778241.0,4998668.0,17361862.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,5780490055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,66650883771.0,59870891161.0,60405955808.0,54126959424.0,46482549255.0,39571133183.0,32597914698.0,46576157081.0,42208066123.0,20606693217.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19032809951.0,19032809951.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19032809951.0,19032809951.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,58435354014.0,52760130860.0,53646791176.0,48524547056.0,43866801810.0,38158346488.0,31981032422.0,27543347130.0,23175256172.0,20606693217.0
37,GTCL TSCĐ hữu hình,53729587461.0,48120765522.0,48878985965.0,43781582283.0,39204166045.0,33479801999.0,28144330957.0,23718569630.0,19379460532.0,16681721286.0
38,Nguyên giá TSCĐ hữu hình,71799461729.0,71949325040.0,79982838349.0,81472184135.0,81498413672.0,82774292930.0,80035633353.0,79550148126.0,79094476962.0,80032219752.0
39,Khấu hao lũy kế TSCĐ hữu hình,-18069874268.0,-23828559518.0,-31103852384.0,-37690601852.0,-42294247627.0,-49294490931.0,-51891302396.0,-55831578496.0,-59715016430.0,-63350498466.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,4705766553.0,4639365338.0,4767805211.0,4742964773.0,4662635765.0,4678544489.0,3836701465.0,3824777500.0,3795795640.0,3924971931.0
44,Nguyên giá TSCĐ vô hình,5218561440.0,5253339672.0,5452734871.0,5501590006.0,5494965581.0,5576114790.0,4180439465.0,4168515500.0,4139533640.0,4268709931.0
45,Khấu hao lũy kế TSCĐ vô hình,-512794887.0,-613974334.0,-684929660.0,-758625233.0,-832329816.0,-897570301.0,-343738000.0,-343738000.0,-343738000.0,-343738000.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,8215529757.0,7110760301.0,6759164632.0,5602412368.0,2615747445.0,1412786695.0,616882276.0,0.0,0.0,0.0
59,Trả trước dài hạn,8215529757.0,7110760301.0,6759164632.0,5602412368.0,2615747445.0,1412786695.0,616882276.0,0.0,0.0,0.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,91058960095.0,103735564289.0,103723404699.0,161282391314.0,124172896513.0,87986656520.0,120135085169.0,94679866196.0,75192338200.0,75663861155.0
65,Nợ ngắn hạn,72654527698.0,94281094289.0,91980155214.0,159404391829.0,123294897028.0,87608657035.0,120135085169.0,94679866196.0,75192338200.0,75663861155.0
66,Phải trả người bán,4668308677.0,13081512986.0,14307416712.0,17553394927.0,24555445929.0,9966604178.0,25790826033.0,33591092190.0,24712656624.0,12898327502.0
67,Người mua trả tiền trước,12068389726.0,8721773689.0,11668598700.0,6173543629.0,5551106955.0,8995768680.0,34428985440.0,5186188658.0,5346909758.0,9783331158.0
68,Thuế và các khoản phải trả Nhà nước,7701766365.0,9527673819.0,3380585327.0,4628143523.0,4198601944.0,1445788356.0,7613443765.0,9783960643.0,9770142141.0,9169257761.0
69,Phải trả người lao động,1627583758.0,1614073693.0,1506136348.0,2268116261.0,1630658313.0,1150410127.0,1010301643.0,746555560.0,1092892227.0,988646708.0
70,Chi phí phải trả,152000000.0,0.0,0.0,1996150778.0,526043253.0,0.0,1813231410.0,718173187.0,2705576452.0,208709055.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,3415201000.0,2331000000.0,7087075240.0,5149071917.0,0.0,679080000.0,0.0,324342000.0,3859966130.0
74,Phải trả khác,6286844808.0,5578239909.0,7003275262.0,8403063461.0,5796717382.0,6074105394.0,17687073421.0,11049902496.0,2961992817.0,5683992460.0
75,Vay ngắn hạn,39993825346.0,50401436840.0,50494304065.0,108580485938.0,73308506891.0,58558282399.0,29642768579.0,31546896714.0,26414400000.0,31208204200.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,1928830135.0,1280441582.0,2706020854.0,2108408373.0,940027989.0,991704966.0,1579426836.0,1385756269.0,1385756269.0
77,"Quỹ khen thưởng, phúc lợi",155809018.0,12352218.0,8397218.0,8397218.0,470336071.0,477669912.0,477669912.0,477669912.0,477669912.0,477669912.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,18404432397.0,9454470000.0,11743249485.0,1877999485.0,877999485.0,377999485.0,0.0,0.0,0.0,0.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,4832631973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Vay dài hạn,12001739118.0,9454470000.0,11743249485.0,1877999485.0,877999485.0,377999485.0,0.0,0.0,0.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,1570061306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,86643963778.0,88338068153.0,88717731627.0,105229707373.0,68047103607.0,53707977583.0,54828457626.0,55892206370.0,46257499895.0,36810074775.0
96,Vốn và các quỹ,86643963778.0,88338068153.0,88717731627.0,105229707373.0,68047103607.0,53707977583.0,54828457626.0,55892206370.0,46257499895.0,36810074775.0
