,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-10467750031.0,-6720515761.0,-7508742481.0,-45577611409.0,45876848546.0,12503004510.0,29699014279.0,-1731106694.0,5041962301.0,-7103779983.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,11484131494.0,17682267519.0,5797952381.0,36056400766.0,-12666613776.0,-4788031605.0,-2960155378.0,3481860447.0,-4413900069.0,-3371266720.0
2,Lãi trước thuế,-2453199593.0,4105816755.0,-1646273294.0,16531987916.0,-24840231637.0,-14892170967.0,4091735550.0,1118953797.0,-9532691327.0,-8285902972.0
3,Khấu hao TSCĐ,6513717267.0,6166165833.0,6381535921.0,7075926520.0,4725266316.0,6434318636.0,5190553323.0,4631696253.0,3883437934.0,4374839839.0
5,Chi phí dự phòng,211427867.0,3685809587.0,-3360756473.0,4856090529.0,-199591759.0,-467573474.0,802654880.0,-4522174184.0,-217236567.0,26850000.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,-84358755.0,143765855.0,447420279.0,10959046.0,-5949108.0,-19949436.0,-1603493.0,-10735898.0,0.0,-93639381.0
8,Lãi/(lỗ) từ hoạt động đầu tư,1002491244.0,-313529988.0,-11524791.0,161622720.0,-5976235.0,-43385067.0,-16425316501.0,-517366403.0,-657168.0,2172295038.0
9,Chi phí lãi vay,6294053464.0,3894239477.0,3987550739.0,7419814035.0,7731751593.0,4200728703.0,3381820863.0,2781486882.0,1453247059.0,3219070872.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,-71882946.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-11090778142.0,-33146434163.0,14361151154.0,-57330721220.0,56786116941.0,31408805718.0,-17145619562.0,-17516172397.0,24957762408.0,-4123446723.0
13,(Tăng)/giảm hàng tồn kho,22374958194.0,10195569533.0,-21746042528.0,-25659757846.0,11067035099.0,8508807386.0,-7702611861.0,42367679930.0,830761800.0,-2819943130.0
14,Tăng/(giảm) các khoản phải trả,-27742224049.0,3039656161.0,-769947526.0,8031828697.0,98719580.0,-19728193205.0,60018382413.0,-24988084541.0,-14156246277.0,7047653096.0
15,( Tăng)/giảm chi phí trả trước,-1161195376.0,1147037063.0,448351907.0,1121210179.0,2849397994.0,1333742320.0,882342981.0,654609551.0,-35227275.0,62500000.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-6294053464.0,-3894239477.0,-3987550739.0,-7419814035.0,-7731751593.0,-4200728703.0,-3381820863.0,-2781486882.0,-1453247059.0,-3904090672.0
18,Thuế thu nhập doanh nghiệp đã trả,-3783034890.0,-670408189.0,-1608702130.0,-376757950.0,-2463568588.0,-31397401.0,-11503451.0,-2949512802.0,-5114437.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,13459447792.0,5501651545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-7715001590.0,-6575615753.0,-3955000.0,0.0,-2062487111.0,0.0,0.0,0.0,-682826790.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,2003732028.0,3222789732.0,-5040437271.0,-1877912568.0,165325436.0,138313454.0,-446852083.0,237374652.0,-637679829.0,1297586.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-1577364892.0,0.0,-4885496116.0,-2062275885.0,-58500000.0,0.0,-610042204.0,-278181818.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,518433800.0,77272727.0,0.0,206090909.0,0.0,0.0,45454545.0,45454545.0,0.0,4887000.0
24,Tiền cho vay hoặc mua công cụ nợ,-7934419719.0,-7876070335.0,0.0,0.0,0.0,38093307.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,10655284178.0,10811254657.0,0.0,0.0,210000000.0,0.0,110000000.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,-25924578.0,-166465946.0,-44238651.0,0.0,0.0,-1767639.0,-1809933.0,-638336997.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,7849201.0,43385067.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,341798661.0,236257261.0,11524791.0,22511059.0,5976235.0,56835080.0,9503215.0,471911858.0,657168.0,1299481.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-11057613392.0,7860342376.0,2381646710.0,48220931873.0,-44365956547.0,-15468274492.0,-29281053305.0,1936168135.0,-4217099470.0,6425937197.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,79452794635.0,99807347666.0,87488435979.0,256947366789.0,155142323402.0,104230369026.0,53939111841.0,32642193503.0,5054621714.0,15351773993.0
33,Tiển trả các khoản đi vay,-87812415527.0,-91947005290.0,-85106789269.0,-208726434916.0,-191414302449.0,-119698643518.0,-83220165146.0,-30706025368.0,-9271721184.0,-13737237796.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-2697992500.0,0.0,0.0,0.0,-8093977500.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-19521631395.0,4362616347.0,-10167533042.0,765407896.0,1676217435.0,-2826956528.0,-28891109.0,442436093.0,187183002.0,-676545200.0
38,Tiền và tương đương tiền đầu kỳ,26023524025.0,6494260409.0,10827597402.0,659533584.0,1413982435.0,3090199870.0,263544816.0,234498294.0,676934387.0,866699435.0
39,Ảnh hưởng của chênh lệch tỷ giá,-7632221.0,-29279354.0,-530776.0,-10959046.0,0.0,301474.0,-155413.0,0.0,0.0,0.0
