,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,3664952232180.0,3639548022897.0,5049384991572.0,6110121968803.0,6752783169656.0,7960421262202.0,9048823272534.0,9676165108103.0,10016611517052.0,9710316479989.0
1,TÀI SẢN NGẮN HẠN,1256830021465.0,987069741251.0,2018221246556.0,2155744127715.0,1111844264567.0,812517207536.0,439775805248.0,362605617624.0,691054794100.0,1073888571905.0
2,Tiền và tương đương tiền,573932274705.0,229958976756.0,1153237223520.0,320473727997.0,150842843316.0,157422876270.0,71083544430.0,15112617117.0,52398107558.0,131476931919.0
3,Tiền,31292274705.0,21458976756.0,5995449909.0,3653727997.0,8302843316.0,27822876270.0,71083544430.0,15112617117.0,12398107558.0,19476931919.0
4,Các khoản tương đương tiền,542640000000.0,208500000000.0,1147241773611.0,316820000000.0,142540000000.0,129600000000.0,0.0,0.0,40000000000.0,112000000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,32000000000.0,33500000000.0,663530000000.0,336700000000.0,78000000000.0,35000000000.0,35000000000.0,39273701370.0,36500000000.0
6,Đầu tư ngắn hạn,0.0,32000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,33500000000.0,663530000000.0,336700000000.0,78000000000.0,35000000000.0,35000000000.0,39273701370.0,36500000000.0
9,Các khoản phải thu,628100688027.0,687752645714.0,441330473973.0,753675386465.0,455834095676.0,330379994343.0,218409328173.0,210729586148.0,497456242777.0,805529924078.0
10,Phải thu khách hàng,157474230447.0,481870055348.0,114067710559.0,131362893899.0,116080889839.0,55093904644.0,105903634121.0,94439374569.0,483529845013.0,795915181525.0
11,Trả trước người bán,435585660989.0,196934521286.0,313111745835.0,603081857298.0,329100283036.0,259088988241.0,106520816156.0,109737150920.0,17380314661.0,14469582057.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,35040796591.0,8948069080.0,14151017579.0,19230635268.0,10652922801.0,16197101458.0,5984877896.0,6553060659.0,4731855020.0,4253404762.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8185771917.0,-9108244266.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",36165656578.0,36358354620.0,368861496192.0,374227401172.0,150060013775.0,240244250270.0,105397953687.0,100662618952.0,101916517104.0,100371284990.0
19,Hàng tồn kho,44131346088.0,43055989058.0,368861496192.0,374227401172.0,150060013775.0,240244250270.0,105397953687.0,100662618952.0,101916517104.0,100371284990.0
20,Dự phòng giảm giá HTK,-7965689510.0,-6697634438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,18631402155.0,999764161.0,21292052871.0,43837612081.0,18407311800.0,6470086653.0,9884978958.0,1100795407.0,10225291.0,10430918.0
22,Trả trước ngắn hạn,0.0,38800910.0,49888142.0,17202197.0,4547197.0,0.0,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,15236912326.0,3904662328.0,7294909220.0,0.0,0.0,0.0
24,Phải thu thuế khác,18174531373.0,0.0,21242164729.0,43820409884.0,3165852277.0,2565424325.0,2590069738.0,1100795407.0,10225291.0,10430918.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,456870782.0,960963251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,2408122210715.0,2652478281646.0,3031163745016.0,3954377841088.0,5640938905089.0,7147904054666.0,8609047467286.0,9313559490479.0,9325556722952.0,8636427908084.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,2392391519091.0,2637199701620.0,813682843001.0,762607725131.0,712570028157.0,645550326712.0,564930467828.0,509854415395.0,9135766296110.0,8565416947570.0
37,GTCL TSCĐ hữu hình,920535541476.0,861745079453.0,813682843001.0,762607725131.0,712570028157.0,645550326712.0,564930467828.0,509854415395.0,9135766296110.0,8565416947570.0
38,Nguyên giá TSCĐ hữu hình,2968224024493.0,2986330074701.0,3017226339004.0,3046864257397.0,3077037279928.0,3090018732747.0,3091177697213.0,3119534175481.0,12215507307794.0,12236895716741.0
39,Khấu hao lũy kế TSCĐ hữu hình,-2047688483017.0,-2124584995248.0,-2203543496003.0,-2284256532266.0,-2364467251771.0,-2444468406035.0,-2526247229385.0,-2609679760086.0,-3079741011684.0,-3671478769171.0
