,Unnamed: 0,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-60063204966.0,85547110906.0,-32625176014.0,-25779318476.0,-36240494206.0,50192090035.0,-20096998934.0,-83903219402.0,46402036754.0,-62079303057.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,0.0,0.0,0.0,0.0,41780052922.0,27227007790.0,48725323500.0,48228720428.0
2,Lãi trước thuế,0.0,0.0,0.0,0.0,0.0,0.0,33225391274.0,15443961317.0,35740168614.0,37941461406.0
3,Khấu hao TSCĐ,0.0,0.0,0.0,0.0,0.0,0.0,1042589839.0,1158265202.0,1420975055.0,1772782005.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,2213381568.0,2936590037.0,-368965888.0,129861228.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,107893099.0,53412219.0,113827204.0,-700931170.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,-215764482.0,-98185245.0,-47913235.0,-73569458.0
9,Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,5406561624.0,7732964260.0,11867231750.0,9159116417.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,0.0,0.0,0.0,0.0,-29023540652.0,-102761075635.0,59718289465.0,-128202897132.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,0.0,0.0,0.0,-32151561898.0,-17335357474.0,-73214771646.0,-58698175141.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,0.0,0.0,0.0,0.0,8737553437.0,24696365937.0,23243696884.0,94000626255.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,0.0,0.0,0.0,0.0,-35202802.0,-359293398.0,9197699.0,-291456927.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,0.0,0.0,0.0,-4903381924.0,-7106263606.0,-8260738416.0,-9189021815.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,0.0,0.0,-4366196215.0,-8264603016.0,-3818960732.0,-7927098725.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,-134721802.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,23146900255.0,-12734263286.0,20608207012.0,-26005019613.0,12426404863.0,3213329202.0,-1219863127.0,53194335.0,-9554686765.0,-1257412633.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-3143185599.0,-949552727.0,-353272728.0,-27573000000.0,0.0,-342960485.0,-1435627609.0,-44990910.0,-9602600000.0,-1330982091.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,1853080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-12000000000.0,-14000000000.0,0.0,-10000000000.0,-2000000000.0,-10000000000.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,36530911865.0,0.0,20735000000.0,10000000000.0,14000000000.0,12000000000.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,1063361603.0,0.0,1294529651.0,0.0,0.0,0.0,0.0
