,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,332402472425.0,341016310765.0,346467132209.0,419526327540.0,591526011538.0,553456881909.0,605725874953.0,393561061696.0,413248701424.0,396257478460.0
1,TÀI SẢN NGẮN HẠN,276757481836.0,289388862216.0,291004653193.0,358615109863.0,530953147132.0,496984744446.0,552841289168.0,350239496527.0,373431243723.0,380496483118.0
2,Tiền và tương đương tiền,2423215912.0,19922849741.0,7200181619.0,2409841911.0,15474211363.0,13858875172.0,9192725957.0,7596623304.0,11336225116.0,10794341695.0
3,Tiền,2423215912.0,19922849741.0,7200181619.0,2409841911.0,15474211363.0,13012845172.0,8346695957.0,7596623304.0,11336225116.0,10794341695.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,846030000.0,846030000.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,128540243499.0,139633971904.0,126696830865.0,180715201627.0,276910259140.0,190387070984.0,269876987259.0,184321802501.0,200683547108.0,208580515260.0
10,Phải thu khách hàng,130425270838.0,144805863081.0,134208203246.0,181713601973.0,253488227084.0,171555171775.0,261238852923.0,165371708015.0,185211094698.0,193864787585.0
11,Trả trước người bán,3038146368.0,424779800.0,1672087700.0,6751779533.0,30676305476.0,21890976917.0,12321647196.0,16739258591.0,12508835943.0,12429753901.0
12,Phải thu nội bộ,282927435.0,0.0,296940979.0,1442114453.0,550870873.0,1263056812.0,1197943386.0,4715795094.0,5428939703.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,404861246.0,980638142.0,1151717097.0,1439823825.0,1026973864.0,1288827868.0,729506142.0,595989682.0,635625645.0,5386922655.0
16,Dự phòng nợ khó đòi,-5610962388.0,-6577309119.0,-10632118157.0,-10632118157.0,-8832118157.0,-5610962388.0,-5610962388.0,-3100948881.0,-3100948881.0,-3100948881.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",145276362070.0,129832040571.0,157107640709.0,175490066325.0,238568676629.0,292486895273.0,273771575952.0,158321070722.0,161411471499.0,161121626163.0
19,Hàng tồn kho,145276362070.0,129832040571.0,157107640709.0,175490066325.0,238568676629.0,292486895273.0,273771575952.0,158321070722.0,161411471499.0,161121626163.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,517660355.0,0.0,0.0,0.0,0.0,251903017.0,0.0,0.0,0.0,0.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0,251903017.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,517660355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,55644990589.0,51627448549.0,55462479016.0,60911217677.0,60572864406.0,56472137463.0,52884585785.0,43321565169.0,39817457701.0,15760995342.0
28,Phải thu dài hạn,0.0,430500000.0,989450000.0,1662050000.0,1891034000.0,1880965000.0,1322015000.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,430500000.0,989450000.0,1662050000.0,1891034000.0,1880965000.0,1322015000.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,28907916382.0,24477258909.0,25617538332.0,27993327709.0,30763305978.0,26939546127.0,23938339984.0,20738803168.0,17291809700.0,13990461341.0
37,GTCL TSCĐ hữu hình,17184329929.0,21173040307.0,18118962338.0,15773051419.0,19162091029.0,17701166874.0,18507177753.0,20738803168.0,17291809700.0,13990461341.0
38,Nguyên giá TSCĐ hữu hình,59184926760.0,67075598983.0,67710043810.0,64919441545.0,69961399171.0,67166041232.0,72644147380.0,77263645885.0,77263645885.0,77263645885.0
39,Khấu hao lũy kế TSCĐ hữu hình,-42000596831.0,-45902558676.0,-49591081472.0,-49146390126.0,-50799308142.0,-49464874358.0,-54136969627.0,-56524842717.0,-59971836185.0,-63273184544.0
40,GTCL Tài sản thuê tài chính,3634985091.0,3266635275.0,7471992671.0,12204692971.0,11596631634.0,9238379253.0,5431162231.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,3683498181.0,3683498181.0,8672996963.0,14672996963.0,14867651128.0,13124676583.0,8135177801.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,-48513090.0,-416862906.0,-1201004292.0,-2468303992.0,-3271019494.0,-3886297330.0,-2704015570.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,37583327.0,26583323.0,15583319.0,4583315.0,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,-17416673.0,-28416677.0,-39416681.0,-50416685.0,-55000000.0,-55000000.0,-55000000.0,-55000000.0,-55000000.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
