,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,0.0,0.0,374485952024.0,400615303165.0,434599942542.0,384765048720.0,349070477474.0,391159043519.0,400115525353.0,462139887532.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,0.0,0.0,374485952024.0,400615303165.0,434599942542.0,384765048720.0,349070477474.0,391159043519.0,400115525353.0,462139887532.0
3,Giá vốn hàng bán,0.0,0.0,-116647759738.0,-136471938592.0,-150401860854.0,-108125758475.0,-111579901648.0,-125864039398.0,-136121954113.0,-131943047038.0
4,Lãi gộp,0.0,0.0,257838192286.0,264143364573.0,284198081688.0,276639290245.0,237490575826.0,265295004121.0,263993571240.0,330196840494.0
5,Thu nhập tài chính,434553759.0,172587387.0,11035998663.0,3869430878.0,1308431019.0,2677138906.0,1688814582.0,916984243.0,974790090.0,1942719078.0
6,Chi phí tài chính,-94671633.0,-11419217.0,-162381604250.0,-152376363878.0,-134831398894.0,-116114358056.0,-111269886428.0,-105266804758.0,-89778379885.0,-77639392637.0
7,Trong đó: Chi phí lãi vay,-17500000.0,0.0,-143603067699.0,-144085379535.0,-134154591571.0,-116038439935.0,-111175882387.0,-105149595113.0,-89682088857.0,-77558340556.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,0.0,0.0,-39497680865.0,-35049096956.0,-29169238221.0,-32057161250.0,-24136021224.0,-21078394272.0,-16480705266.0,-19921217310.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,339882126.0,161168170.0,66994905834.0,80587334617.0,121505875592.0,131144909845.0,103773482756.0,139866789334.0,158709276179.0,234578949625.0
12,Thu nhập khác,8000000.0,73337083.0,826673260.0,270505232.0,409928956.0,464211071.0,136030700.0,155759998.0,66327517.0,10900000.0
13,Chi phí khác,0.0,-44055481.0,-32322701.0,-1569640831.0,-9323978745.0,-1512960359.0,-110858248.0,-937904141.0,-718802613.0,-28232983.0
14,"Thu nhập khác, ròng",8000000.0,29281602.0,794350559.0,-1299135599.0,-8914049789.0,-1048749288.0,25172452.0,-782144143.0,-652475096.0,-17332983.0
16,Lãi/(lỗ) ròng trước thuế,347882126.0,190449772.0,67789256393.0,79288199018.0,112591825803.0,130096160557.0,103798655208.0,139084645191.0,158056801083.0,234561616642.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-86788714.0,-41898949.0,0.0,0.0,0.0,-6580456046.0,-5195475673.0,-6056035447.0,-6801287088.0,-9971434685.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-86788714.0,-41898949.0,0.0,0.0,0.0,-6580456046.0,-5195475673.0,-6056035447.0,-6801287088.0,-9971434685.0
20,Lãi/(lỗ) thuần sau thuế,261093412.0,148550823.0,67789256393.0,79288199018.0,112591825803.0,123515704511.0,98603179535.0,133028609744.0,151255513995.0,224590181957.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,261093412.0,148550823.0,67789256393.0,79288199018.0,112591825803.0,123515704511.0,98603179535.0,133028609744.0,151255513995.0,224590181957.0
23,Lãi cơ bản trên cổ phiếu,10.0,4.0,1632.0,1909.0,2689.0,2471.0,1972.0,2661.0,2864.0,4431.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2864.0,4431.0
