,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,21557718123.0,30660875092.0,-63212940025.0,130043116575.0,53557176408.0,84438159560.0,6488394037.0,24530423762.0,-34109024140.0,63349218023.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,38502598047.0,129819862518.0,52229929407.0,44901471177.0,10986323938.0,113390077574.0,54505189545.0,30607098575.0,14812145257.0,80748775044.0
2,Lãi trước thuế,-7622589452.0,32034637343.0,20609720098.0,25098353811.0,-19981072697.0,73500629663.0,22242107400.0,9948660631.0,10433475444.0,70387016312.0
3,Khấu hao TSCĐ,24372515724.0,48821103851.0,23705525949.0,23703789598.0,23692844256.0,32251704512.0,26627697297.0,26662481973.0,-302987349.0,-261700253.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,12898550298.0,32983860240.0,0.0,-3938660751.0,0.0,10565431074.0,0.0,-6575262378.0,-1851829106.0,-411972069.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,7842638456.0,0.0,-3753757117.0,0.0,-4804057918.0,0.0,-2114470616.0,0.0,4161350041.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-81638941.0,670782246.0,-145530131.0,-4156647936.0,-28053.0,-4973985462.0,-970113716.0,-4081853049.0,-367652082.0,0.0
9,Chi phí lãi vay,8935760418.0,7466840382.0,8060213491.0,7948393572.0,7274580432.0,6850355705.0,6605498564.0,6767542014.0,6901138350.0,6874081013.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-47727500657.0,-65092871090.0,-24173585194.0,64173528156.0,62920924422.0,226811290556.0,-90595275386.0,27601465640.0,89168027197.0,-103430870255.0
13,(Tăng)/giảm hàng tồn kho,27581062770.0,20838686541.0,-9890948562.0,-77733955258.0,6119917393.0,-96196138875.0,46503497551.0,15977383542.0,-225414116292.0,142379586850.0
14,Tăng/(giảm) các khoản phải trả,2156449081.0,-57004686869.0,-78228597029.0,144717342453.0,-21523205258.0,-193558180572.0,6999689024.0,-45056695090.0,95401150745.0,-50805069498.0
15,( Tăng)/giảm chi phí trả trước,10583537752.0,7598066772.0,3968708184.0,-32723299674.0,3071562662.0,41309930445.0,-4374172117.0,5160461478.0,1310557612.0,374702711.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-9535928870.0,-5495082780.0,-7100256325.0,-13291970279.0,-5776817680.0,-7318819568.0,-6523199337.0,-5759290383.0,-6395817616.0,-5917906829.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,-18190506.0,0.0,-2241529069.0,0.0,-17335243.0,-4000000000.0,-2990971043.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-2500000.0,-3100000.0,0.0,0.0,0.0,0.0,-10000000.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-2380066656.0,-34463939274.0,1369822353.0,-112166974712.0,-43271589484.0,-74816248243.0,1865165578.0,-28262853183.0,-42314109675.0,-112157820240.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-2461705597.0,-16220622416.0,-768864578.0,-7537892953.0,-33161217537.0,-76282261604.0,-3078366405.0,-34156951988.0,-36890775047.0,-117757775677.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,209090909.0,0.0,0.0,620624127.0,4879375873.0,-4879375873.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,-20000000000.0,0.0,-102729600000.0,-10110400000.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,-1635133500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,3390000000.0,2000000000.0,-2000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,81638941.0,1816642.0,138686931.0,-108572668.0,28053.0,1466013361.0,4322907856.0,1014722932.0,-543958755.0,5599955437.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-19050886511.0,11366727818.0,49086541864.0,-6499841495.0,-7854388634.0,-19524954311.0,-10799326254.0,7097057288.0,74383854804.0,49102841008.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,112780910000.0,-148500000.0,0.0,-187000000.0,0.0,0.0,100000000000.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,223326808509.0,258183222926.0,151804493135.0,213067221784.0,179889938448.0,214880335064.0,96510124698.0,250201369121.0,144138930957.0,288304702082.0
33,Tiển trả các khoản đi vay,-242377695020.0,-246816495108.0,-215403861271.0,-219429635279.0,-187744327082.0,-234218289375.0,-107309450952.0,-243061271833.0,-169755076153.0,-239201861074.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,-95000000.0,11072000.0,0.0,0.0,0.0,-43040000.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,126764956.0,7563663636.0,-12756575808.0,11376300368.0,2431198290.0,-9903042994.0,-2445766639.0,3364627867.0,-2039279011.0,294238791.0
38,Tiền và tương đương tiền đầu kỳ,5611090051.0,5737855007.0,13301518643.0,544942835.0,11921243203.0,14352441493.0,4449398499.0,2003631860.0,5368259727.0,3328980716.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,5737855007.0,13301518643.0,544942835.0,11921243203.0,14352441493.0,4449398499.0,2003631860.0,5368259727.0,3328980716.0,3623219507.0
