,CHỈ TIÊU,Q1 2015
0,Doanh số,148162727.0
1,Các khoản giảm trừ,0.0
2,Doanh số thuần,148162727.0
3,Giá vốn hàng bán,-77609124.0
4,Lãi gộp,70553603.0
5,Thu nhập tài chính,-6986218.0
6,Chi phí tài chính,-109285563.0
7,Trong đó: Chi phí lãi vay,-109285563.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0
9,Chi phí bán hàng,0.0
10,Chi phí quản lý doanh  nghiệp,-935766528.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-981484706.0
12,Thu nhập khác,0.0
13,Chi phí khác,0.0
14,"Thu nhập khác, ròng",0.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0
16,Lãi/(lỗ) ròng trước thuế,-981484706.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0
20,Lãi/(lỗ) thuần sau thuế,-981484706.0
21,Lợi ích của cổ đông thiểu số,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-981484706.0
23,Lãi cơ bản trên cổ phiếu,0.0
24,Lãi trên cổ phiếu pha loãng,0.0
