,Unnamed: 0,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,138695333496.0,-852894001271.0,-221155610252.0,2005410723960.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,74866113569.0,421657013354.0,466409513418.0,182997655526.0
2,Lãi trước thuế,60103984864.0,1276576017781.0,611471878567.0,414715285866.0
3,Khấu hao TSCĐ,458520000.0,9685432670.0,281640238704.0,165398680927.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,11558472547.0,236148220400.0,-2299129770.0,4499243588.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,-31743.0,-28126970.0,-178252970.0,-692928.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-2184979.0,-1112158949748.0,-789099812622.0,-507427205776.0
9,Chi phí lãi vay,2747352880.0,11434419221.0,364874591509.0,105812343849.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-80095534962.0,56229024127.0,-797601583161.0,-415608228522.0
13,(Tăng)/giảm hàng tồn kho,0.0,-55450043024.0,47600770764.0,-29394149360.0
14,Tăng/(giảm) các khoản phải trả,155185410140.0,-1284966781876.0,597694270105.0,2617246119028.0
15,( Tăng)/giảm chi phí trả trước,-5404682732.0,71853831823.0,110871823904.0,-145892360131.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,-2618534.0,292480.0
17,Chi phí lãi vay đã trả,-2747352880.0,-44054353671.0,-373679575246.0,-140022215701.0
18,Thuế thu nhập doanh nghiệp đã trả,-3108619639.0,-18162692004.0,-272448211502.0,-63916389360.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-570640475021.0,635377834443.0,-1608239784275.0,-787013831466.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,-8811980253.0,-33469361679.0,-24727016601.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,758432729713.0,1360490852383.0,14225555555.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,-6650000000.0,-234420094794.0,-3166255442850.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,349993000000.0,220802537644.0
26,Đầu tư vào các doanh nghiệp khác,-649082660000.0,-108459792792.0,-4106183524136.0,-306363000000.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,78440000000.0,0.0,1002499304448.0,2468030870950.0
28,Cổ tức và tiền lãi nhận được,2184979.0,866877775.0,52850039503.0,7272663836.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,431566000000.0,236903241489.0,2071214093790.0,-1410883852829.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,402066000000.0,0.0,2960938540000.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,128400000000.0,476784821961.0,4435580426369.0,2280110847463.0
33,Tiển trả các khoản đi vay,-98900000000.0,-239881580472.0,-5298841236216.0,-3690994700292.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,-26463636363.0,0.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-379141525.0,19387074661.0,241818699263.0,-192486960335.0
38,Tiền và tương đương tiền đầu kỳ,10686199710.0,10307089928.0,29692934662.0,271689886895.0
39,Ảnh hưởng của chênh lệch tỷ giá,31743.0,-1229927.0,178252970.0,692928.0
40,Tiền và tương đương tiền cuối kỳ,10307089928.0,29692934662.0,271689886895.0,79203619488.0
