,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-6076373259.0,-26085746177.0,53850008092.0,42311372060.0,7747793734.0,29556670299.0,3006944423.0,3111804856.0,3243967612.0,6389305622.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,0.0,-7402807289.0,-2987888262.0,358945677.0,408967843.0,1522033330.0,2871332379.0,5398122465.0
2,Lãi trước thuế,0.0,0.0,0.0,-17422249935.0,-14423530923.0,-9674775576.0,-8830173192.0,-7156083552.0,-5313459576.0,-364028382.0
3,Khấu hao TSCĐ,4670642338.0,4741164317.0,4018519161.0,3390987960.0,3454689735.0,3431510626.0,3462847375.0,3171346745.0,3066435877.0,2800787945.0
5,Chi phí dự phòng,0.0,0.0,0.0,3854479854.0,3348931995.0,2765107689.0,603828986.0,581792963.0,1721415131.0,127119703.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,-107407594.0,-40150434.0,-400057674.0,-38828128.0,-147884542.0,-82119426.0,-48814636.0
9,Chi phí lãi vay,0.0,0.0,0.0,2881382426.0,4672171365.0,4237160612.0,5211292802.0,5072861716.0,3479060373.0,2883057835.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,0.0,12506250946.0,24784776026.0,30217564395.0,3519916397.0,3010070697.0,1593433389.0,-1543008769.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,43780788767.0,-439780435.0,555823797.0,-1482255458.0,589041057.0,-324033378.0,952055262.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,0.0,-2349611876.0,-13395469102.0,-1207108069.0,2034632204.0,-477079789.0,-1183971010.0,1233699277.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,0.0,663492750.0,283648742.0,41982814.0,-220195761.0,1193369812.0,513997600.0,388082385.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
