,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,32088038816947.0,51477555719157.0,76220834000000.0,106311115000000.0,124118747000000.0,136179403000000.0,164438534000000.0,206314594000000.0,292827078000000.0,328634007000000.0
1,"Tiền mặt, vàng bạc, đá quý",294799238485.0,386694554302.0,621500000000.0,815148000000.0,1176978000000.0,1332025000000.0,1654531000000.0,2214265000000.0,2553309000000.0,2426932000000.0
2,Tiền gửi tại Ngân hàng nhà nước Việt Nam,226461114920.0,5048039626868.0,1227426000000.0,1362317000000.0,2364130000000.0,4692735000000.0,7760937000000.0,9108762000000.0,18039848000000.0,11988501000000.0
3,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,5855657092577.0,10888929609412.0,20290118000000.0,23784661000000.0,22589779000000.0,16340793000000.0,21023865000000.0,12698296000000.0,48752914000000.0,53364944000000.0
4,Chứng khoán kinh doanh,174361159453.0,145167340310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,    Chứng khoán kinh doanh,212816649813.0,145167340310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Dự phòng giảm giá chứng khoán kinh doanh,-38455490360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Các công cụ tài chính phái sinh và các tài sản tài chính khác,7965500225.0,0.0,11150000000.0,29149000000.0,0.0,0.0,12987000000.0,77344000000.0,0.0,203247000000.0
8,Cho vay khách hàng,11809048776524.0,19639833560472.0,27977664000000.0,46233626000000.0,62747997000000.0,76295237000000.0,94435382000000.0,118084610000000.0,139462565000000.0,159160375000000.0
9,  Cho vay khách hàng,11925991430338.0,19838991454134.0,28240322000000.0,46642977000000.0,63422643000000.0,77185148000000.0,95643700000000.0,119990991000000.0,141227857000000.0,160992963000000.0
10,Dự phòng rủi ro cho vay khách hàng,-116942653814.0,-199157893662.0,-262658000000.0,-409351000000.0,-674646000000.0,-889911000000.0,-1208318000000.0,-1906381000000.0,-1765292000000.0,-1832588000000.0
11,Chứng khoán đầu tư,12183871217431.0,13988825030958.0,21578948000000.0,29882518000000.0,25465002000000.0,24899523000000.0,26075064000000.0,48095142000000.0,62404684000000.0,74376644000000.0
12,Chứng khoán đầu tư sẵn sàng để bán,11776267873922.0,13710686687947.0,21165710000000.0,29175883000000.0,24938137000000.0,24641343000000.0,26139104000000.0,48197336000000.0,62735195000000.0,74520673000000.0
13,Chứng khoán đầu tư giữ đến ngày đáo hạn,437603343509.0,509486415901.0,604132000000.0,1019638000000.0,994187000000.0,801215000000.0,44700000000.0,44700000000.0,44700000000.0,44700000000.0
14,Dự phòng giảm giá chứng khoán đầu tư,-30000000000.0,-231348072890.0,-190894000000.0,-313003000000.0,-467322000000.0,-543035000000.0,-108740000000.0,-146894000000.0,-375211000000.0,-188729000000.0
15,"Góp vốn, đầu tư dài hạn",10000000000.0,9435959317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Đầu tư vào công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Đầu tư dài hạn khác,10000000000.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Dự phòng giảm giá đầu tư dài hạn,0.0,-564040683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tài sản cố định,68365474042.0,79023491682.0,134016000000.0,144374000000.0,250772000000.0,300052000000.0,570994000000.0,708842000000.0,788613000000.0,1205386000000.0
21,Tài sản cố định hữu hình,55109714333.0,59387678297.0,99684000000.0,100386000000.0,174892000000.0,202863000000.0,368965000000.0,475619000000.0,512870000000.0,903413000000.0
22,Tài sản cố định thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Tài sản cố định vô hình,13255759709.0,19635813385.0,34332000000.0,43988000000.0,75880000000.0,97189000000.0,202029000000.0,233223000000.0,275743000000.0,301973000000.0
24,Investment properties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Other assets,1457509243290.0,1291606545836.0,4380012000000.0,3381792000000.0,8944035000000.0,11053586000000.0,11863440000000.0,14284297000000.0,19864752000000.0,25727368000000.0
26,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,32088038816947.0,51477555719157.0,76220834000000.0,106311115000000.0,124118747000000.0,136179403000000.0,164438534000000.0,206314594000000.0,292827078000000.0,328634007000000.0
27,Tổng nợ phải trả,28387368424676.0,47241008648928.0,71422169000000.0,100629629000000.0,117442030000000.0,125557718000000.0,151363855000000.0,189570196000000.0,266840008000000.0,296394955000000.0
28,Các khoản nợ chính phủ và NHNN Việt Nam,0.0,0.0,2017980000000.0,1500282000000.0,1082224000000.0,4752198000000.0,828005000000.0,697937000000.0,564074000000.0,433439000000.0
29,Tiền gửi và vay các Tổ chức tín dụng khác,11393516645604.0,25101617553726.0,29395609000000.0,41245247000000.0,40757187000000.0,33491419000000.0,40213903000000.0,40879958000000.0,87015960000000.0,73496158000000.0
30,Tiền gửi của khách hàng,14331681384239.0,21623430396773.0,39505447000000.0,55082028000000.0,70298586000000.0,76138062000000.0,92439495000000.0,115903526000000.0,139562262000000.0,194959921000000.0
31,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0.0,17939807656.0,0.0,0.0,84351000000.0,108589000000.0,0.0,0.0,77705000000.0,0.0
32,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",0.0,89233972505.0,0.0,1211925000000.0,132484000000.0,247228000000.0,706047000000.0,688576000000.0,401664000000.0,164923000000.0
33,Phát hành giấy tờ có giá,2341440000000.0,0.0,0.0,0.0,3481154000000.0,8715178000000.0,14426020000000.0,27438818000000.0,35405147000000.0,20429954000000.0
34,Các khoản nợ khác,320730394833.0,408786918268.0,503133000000.0,1590147000000.0,1606044000000.0,2105044000000.0,2750385000000.0,3961381000000.0,3813196000000.0,6910560000000.0
