,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,1642955966637.0,1636051790989.0,1550667167601.0,1286290387579.0,1316715198872.0,1302692898334.0,1014585560257.0,918492595476.0,977329911244.0,943636589565.0
1,TÀI SẢN NGẮN HẠN,903540996900.0,951663426586.0,959749525712.0,794309558118.0,868496175546.0,934524392565.0,694841790341.0,638641676460.0,717646053037.0,680777351222.0
2,Tiền và tương đương tiền,179225382912.0,179005711017.0,202750847850.0,127788041201.0,192840815205.0,146583527680.0,97621401222.0,93195000841.0,46846025591.0,53334430721.0
3,Tiền,179225382912.0,179005711017.0,202750847850.0,127788041201.0,192840815205.0,145373299735.0,97621401222.0,93195000841.0,46846025591.0,53334430721.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,1210227945.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,11000000000.0,0.0,11573151090.0,20952000000.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,11000000000.0,0.0,11573151090.0,20952000000.0,0.0,0.0,0.0
9,Các khoản phải thu,207570528402.0,224824762804.0,193586820750.0,162598822238.0,174349295640.0,197355937774.0,123652299053.0,146787287628.0,180069436557.0,168283389925.0
10,Phải thu khách hàng,178438952682.0,193735403598.0,150658262556.0,133431135218.0,147444405909.0,164492855185.0,97333017647.0,108888691112.0,139849704116.0,129872205569.0
11,Trả trước người bán,10264065696.0,11507361775.0,20829240902.0,6435463733.0,7181949367.0,9267016855.0,3993761578.0,13606407070.0,12290633211.0,7785484799.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,21527154971.0,21208433526.0,25841388405.0,26481124228.0,26538416573.0,29792277216.0,29539354073.0,28131527039.0,28376360947.0,31072961274.0
16,Dự phòng nợ khó đòi,-2659644947.0,-1626436095.0,-3742071113.0,-3771900941.0,-6815476209.0,-6196211482.0,-7213834245.0,-3839337593.0,-447261717.0,-447261717.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,23000000.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",459718147683.0,455492031841.0,511670594293.0,463793713660.0,472151278412.0,546952930329.0,432417242461.0,377000308008.0,447809055054.0,424780888753.0
19,Hàng tồn kho,461152347140.0,457208096007.0,513395032300.0,465447778591.0,474041174195.0,548770541326.0,433913993146.0,379493472781.0,449284306008.0,427148193251.0
20,Dự phòng giảm giá HTK,-1434199457.0,-1716064166.0,-1724438007.0,-1654064931.0,-1889895783.0,-1817610997.0,-1496750685.0,-2493164773.0,-1475250954.0,-2367304498.0
