,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,476532424532.0,543711690461.0,716537967772.0,791359471061.0,234708981189.0,450152705738.0,519887682646.0,437773157077.0,422649478602.0,178149035829.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,666386116785.0,784513164376.0,743523513397.0,696850097434.0,352251919184.0,468687365234.0,532312738173.0,548618448771.0,491562036969.0,424060675903.0
2,Lãi trước thuế,-26355779464.0,205390784772.0,332678512915.0,314124066808.0,370333213.0,112362312539.0,163032553698.0,165267613231.0,111093674750.0,87050910471.0
3,Khấu hao TSCĐ,329668214804.0,330577604551.0,286371598189.0,274879400644.0,268637619219.0,265821681320.0,262625944545.0,305503901090.0,304935989725.0,304085255941.0
5,Chi phí dự phòng,0.0,4298039581.0,21084570727.0,121087173.0,656967933.0,800071415.0,-1798177808.0,3227598593.0,31003246033.0,-667986660.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,101972637662.0,29282521777.0,-40491528846.0,-5393983846.0,3516498625.0,-712125966.0,-185514870.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-14231318838.0,-6150052646.0,-2740722037.0,-885828040.0,-5145655023.0,529847942.0,-2434861567.0,-1743488622.0,0.0,-2757031866.0
9,Chi phí lãi vay,275332362621.0,221114266341.0,146621082449.0,114005354695.0,84216155217.0,89885577984.0,111072794175.0,76362824479.0,44529126461.0,36349528017.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,110564141788.0,16773530632.0,78377312885.0,209181053890.0,45339623075.0,35686149876.0,-13499160717.0,36240580939.0,-9355119143.0,-17643720282.0
13,(Tăng)/giảm hàng tồn kho,-21205781809.0,12303273982.0,-140395665969.0,-20252861647.0,11836905843.0,111832850684.0,129863362427.0,13178407937.0,-808971967.0,-284632788928.0
14,Tăng/(giảm) các khoản phải trả,34079074262.0,-63403896256.0,213200974499.0,106631041082.0,-16146231116.0,-14695181388.0,37883102506.0,-60623718729.0,70611805793.0,124468675109.0
15,( Tăng)/giảm chi phí trả trước,-11614677905.0,23512923861.0,22240378712.0,5590193723.0,-96445892.0,-41620264102.0,-42982872948.0,36349358247.0,-14008624743.0,8006860752.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-273685141796.0,-225295220045.0,-149754568872.0,-110810867864.0,-74305949388.0,-81065787396.0,-96673474369.0,-66844892475.0,-31563354339.0,-27636549383.0
18,Thuế thu nhập doanh nghiệp đã trả,-19371810806.0,-787751152.0,-37972144020.0,-78219650490.0,-63916230896.0,-11313399429.0,-12278703202.0,-36242449278.0,-48513916735.0,-11431043357.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-8619495987.0,-3904334937.0,-12681832860.0,-17609535067.0,-20254609621.0,-17359027741.0,-14737309224.0,-32902578335.0,-35274377233.0,-37043073985.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-42019428083.0,36931756737.0,-6886633899.0,-59821851631.0,-423003479661.0,-142069059512.0,-244643849703.0,-38293685137.0,-89631928736.0,-193328328950.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-39831300514.0,-24531461688.0,-16862269597.0,-61681311875.0,-429817358596.0,-137191219071.0,-247078711270.0,-48545333322.0,-89631928736.0,-196085360816.0
23,Tiền thu được từ thanh lý tài sản cố định,10441740000.0,1929452728.0,2283960035.0,1335909091.0,6557607000.0,0.0,2043094800.0,5213926401.0,0.0,2757031866.0
24,Tiền cho vay hoặc mua công cụ nợ,-185032418778.0,-554032418778.0,0.0,0.0,0.0,-5000000000.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,227000000000.0,635232418778.0,6832418778.0,0.0,0.0,0.0,0.0,5000000000.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,-61409583593.0,-26679352697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,6812134802.0,5013118394.0,859256885.0,523551153.0,256271935.0,122159559.0,391766767.0,37721784.0,0.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-394062352588.0,-358397045780.0,-903877758964.0,-727308630208.0,138477533952.0,-304631829200.0,-269023946894.0,-433471232804.0,-326320747478.0,-37036238019.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,2031066508009.0,2400022598776.0,2398037405981.0,2534578783978.0,2952777562712.0,2851116676134.0,2938473341009.0,3263467969004.0,3168885403504.0,1619124740433.0
33,Tiển trả các khoản đi vay,-2425128860597.0,-2758419644556.0,-3294534499775.0,-3261884682186.0,-2704422778110.0,-3155725195834.0,-3207488369153.0,-3696937824308.0,-3458301673332.0,-1594584852292.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,-7380665170.0,-2732000.0,-109877250650.0,-23309500.0,-8918750.0,-1377500.0,-36904477650.0,-61576126160.0
37,Lưu chuyển tiền thuần trong kỳ,40450643861.0,222246401418.0,-194226425091.0,4228989222.0,-49816964520.0,3451817026.0,6219886049.0,-33991760864.0,6696802388.0,-52215531140.0
38,Tiền và tương đương tiền đầu kỳ,91442918370.0,131893562231.0,352259961902.0,158033536811.0,162262526033.0,112445561513.0,115897378539.0,122117264588.0,88125503724.0,94822306112.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,-1880001747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,131893562231.0,352259961902.0,158033536811.0,162262526033.0,112445561513.0,115897378539.0,122117264588.0,88125503724.0,94822306112.0,42606774972.0
