,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,88358021633.0,153349724910.0,200891004492.0,212447252587.0,245262355424.0,298928417828.0,353026182115.0,374543554377.0,390010007419.0,487287273186.0
1,TÀI SẢN NGẮN HẠN,75857746334.0,84276669191.0,120104307779.0,139099585000.0,180876125124.0,211429776194.0,211666606742.0,189182853469.0,207478344942.0,276384137128.0
2,Tiền và tương đương tiền,20151491784.0,15959177486.0,46602422801.0,65142315919.0,76059073951.0,95853999012.0,57658622515.0,39539403671.0,72564678207.0,80431098094.0
3,Tiền,20151491784.0,15959177486.0,46602422801.0,65142315919.0,76059073951.0,95853999012.0,57658622515.0,39539403671.0,72564678207.0,80431098094.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,395801887.0,0.0,0.0,0.0,0.0,0.0,0.0,400000000.0,0.0,1700000000.0
6,Đầu tư ngắn hạn,395801887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000000.0,0.0,1700000000.0
9,Các khoản phải thu,24807155809.0,36954011831.0,40174568293.0,42891501238.0,65153724096.0,72231707236.0,107842828450.0,95988313595.0,72321671180.0,103160274636.0
10,Phải thu khách hàng,21595306870.0,23615643915.0,24200700368.0,23853874049.0,34226185098.0,41625455483.0,58495752784.0,65017524089.0,59817866614.0,48824612765.0
11,Trả trước người bán,1481955748.0,2439638024.0,3741116983.0,4503993222.0,4009802339.0,5541316455.0,15480039092.0,4877528109.0,4558607706.0,3880182253.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,6682285991.0,4141305991.0,2608157887.0,2583720887.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,1729893191.0,4216443901.0,8091444951.0,12517323224.0,25162601773.0,26248629585.0,35702802204.0,30873731021.0,13134636798.0,55644919556.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,-591847144.0,-828586001.0,-1183694287.0,-1835765630.0,-4780469624.0,-5189439938.0,-5189439938.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",22364187335.0,24251358247.0,24037628232.0,27491442149.0,37535164394.0,40425875589.0,40176786784.0,48711244188.0,58441398575.0,88329821900.0
19,Hàng tồn kho,22364187335.0,24251358247.0,24037628232.0,27491442149.0,37535164394.0,40425875589.0,40176786784.0,48711244188.0,58441398575.0,88329821900.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,8139109519.0,7112121627.0,9289688453.0,3574325694.0,2128162683.0,2918194357.0,5988368993.0,4543892015.0,4150596980.0,2762942498.0
22,Trả trước ngắn hạn,5994124858.0,7109588579.0,9089616987.0,2490027134.0,2121837942.0,2915639856.0,5915496056.0,4411924530.0,4094164874.0,1602476882.0
23,Thuế VAT phải thu,0.0,0.0,192071466.0,1075274623.0,0.0,1580476.0,72872937.0,75436487.0,48432106.0,1146198454.0
24,Phải thu thuế khác,2533048.0,2533048.0,8000000.0,9023937.0,6324741.0,974025.0,0.0,56530998.0,8000000.0,14267162.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,2142451613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,12500275299.0,69073055719.0,80786696713.0,73347667587.0,64386230300.0,87498641634.0,141359575373.0,185360700908.0,182531662477.0,210903136058.0
28,Phải thu dài hạn,0.0,20183200000.0,20223200000.0,10068200000.0,190200000.0,316435464.0,128200000.0,620000000.0,0.0,620000000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
