,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,22163303259.0,18136468114.0,33033106115.0,44409977334.0,58510250074.0,34980162564.0,29042795172.0,39275236853.0,48775002888.0,36629131320.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,39471046726.0,45231242617.0,53531317255.0,58626398170.0,53078714061.0,53509188628.0,48578764405.0,59834811795.0,57608596323.0
2,Lãi trước thuế,0.0,23613810015.0,26470201743.0,34240524552.0,39427373839.0,36059296672.0,37173226100.0,32357759435.0,46737983479.0,45476753839.0
3,Khấu hao TSCĐ,0.0,11133126041.0,12567002392.0,14040613396.0,15337632450.0,14415417997.0,15152711705.0,14386062493.0,13225031431.0,12663591618.0
5,Chi phí dự phòng,0.0,-718852480.0,-140600323.0,442999074.0,437571841.0,163473792.0,134996861.0,692647920.0,580219930.0,624744664.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,29304654.0,149708607.0,-200270683.0,-181295247.0,-411701995.0,677462.0,18927981.0,184658944.0,166227148.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,-381771558.0,658778434.0,-403952227.0,-627341654.0,-485411386.0,-1643984705.0,-646408833.0,-1170487611.0,-1322720946.0
9,Chi phí lãi vay,0.0,5795430054.0,5526151764.0,5411403143.0,4232456941.0,3337638981.0,2691561205.0,1775622534.0,277405622.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5847125.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,-9284017417.0,-2654255821.0,-731416335.0,6230439059.0,-297238051.0,-3709176379.0,-3677547922.0,62135362.0,-4422000452.0
13,(Tăng)/giảm hàng tồn kho,0.0,-602901020.0,4006346442.0,-842797511.0,3477999946.0,-7490866606.0,795535237.0,5205673833.0,-9094014055.0,370551038.0
14,Tăng/(giảm) các khoản phải trả,0.0,5576388634.0,1034899287.0,9617399500.0,7724530252.0,4302827561.0,-7764709175.0,846768347.0,9773504152.0,-5602471093.0
15,( Tăng)/giảm chi phí trả trước,0.0,3359913.0,1046108127.0,441601129.0,837352409.0,886716227.0,-58903368.0,88084787.0,-79412069.0,85345597.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,-6073096230.0,-5430536976.0,-5544809593.0,-4324342589.0,-3399795000.0,-2764864446.0,-1824359938.0,-370334885.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,-6455178313.0,-5787204351.0,-7044216797.0,-6349044728.0,-8171608116.0,-7663066016.0,-8196863988.0,-9011689250.0,-8579890093.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,38840000.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,-4499134179.0,-4413493210.0,-5017100314.0,-7751922445.0,-3928587512.0,-3301209309.0,-1745282671.0,-2339998162.0,-2831000000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-6950305137.0,-3498194448.0,-20261906079.0,-22785524864.0,-15943081767.0,-26109355586.0,-5861927251.0,-9264218457.0,-18743776980.0,-9810265432.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-7657616161.0,-4075809965.0,-21460803334.0,-23331647373.0,-16306277456.0,-24812766972.0,-8717636787.0,-10303818521.0,-6146064591.0,-11224363045.0
23,Tiền thu được từ thanh lý tài sản cố định,333727273.0,497900000.0,1149089375.0,503395271.0,574262017.0,79000220.0,1218146001.0,268890000.0,766416544.0,629611988.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,-124500000.0,-68000000.0,-96000000.0,-1158000000.0,-2000000000.0,0.0,-4650430000.0,-19520000000.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,91000000.0,57393162.0,0.0,444606838.0,218000000.0,1039670000.0,4944970000.0,5751800000.0,74490000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
