,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-107925895431.0,444096290077.0,-41697352907.0,47210824393.0,27333560853.0,7553107682.0,-46979234302.0,94176421361.0,-71843184220.0,-203011238930.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,110665531230.0,123922200838.0,94666601700.0,77486445946.0,30019725896.0,-47429804457.0,55989947414.0,172542028006.0,25783102738.0,31477206488.0
2,Lãi trước thuế,61722137479.0,50727987496.0,58930286403.0,41168393676.0,-14330724812.0,-110120436361.0,-5939033063.0,84113461168.0,69364560120.0,25569508691.0
3,Khấu hao TSCĐ,36933521044.0,39953879062.0,38500849495.0,38860202108.0,38447487086.0,30308060179.0,27603149298.0,23745817617.0,19721764996.0,14507952212.0
5,Chi phí dự phòng,1962904462.0,7453121738.0,-25152634952.0,-25252554604.0,-14074569481.0,14075439796.0,8729468507.0,23655423272.0,9370751907.0,7856342895.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,52327466.0,4920539.0,172367.0,-26827.0,-192.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-13793207551.0,-4675906841.0,-2212764198.0,-1309388568.0,-4740393006.0,-11689689974.0,2205933935.0,-14024855407.0,-99166530243.0,-35026965023.0
9,Chi phí lãi vay,23787848330.0,30458198844.0,24600692585.0,24019820161.0,24717926301.0,29996821903.0,23390428737.0,55052181356.0,26492555958.0,18570367713.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-298472007083.0,56860308900.0,180043007642.0,139726589156.0,83152982093.0,91669209162.0,-40901018875.0,-66746893113.0,-211732761502.0,-162461288157.0
13,(Tăng)/giảm hàng tồn kho,109944387666.0,195612640839.0,74623015884.0,60572107695.0,-56325312796.0,70779631617.0,-14712627837.0,-107534062299.0,6307667218.0,-27614570392.0
14,Tăng/(giảm) các khoản phải trả,10800503835.0,142814436064.0,-345604941042.0,-194199966924.0,6416416163.0,-72658670265.0,-24450647670.0,154070296467.0,149048598188.0,-19781086308.0
15,( Tăng)/giảm chi phí trả trước,-1193313389.0,1487878507.0,3663986442.0,8479382745.0,-667548349.0,2674550584.0,2626588811.0,-1081385207.0,-57640581.0,139152571.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-23770027273.0,-30458198844.0,-25059430051.0,-25006533223.0,-24653767536.0,-30008463810.0,-23518789826.0,-53577537563.0,-31295769886.0,-18277944171.0
18,Thuế thu nhập doanh nghiệp đã trả,-12463268408.0,-26710459076.0,-11108870606.0,-13319431776.0,-4719795744.0,-3507834652.0,-1884145204.0,-2936270774.0,-8634524308.0,-6097582662.0
19,Tiền thu khác từ các hoạt động kinh doanh,857299914.0,8005900519.0,43171577167.0,5629736438.0,703131941.0,977290503.0,379721565.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-4295001923.0,-27438417670.0,-56092300043.0,-12157505664.0,-6592270815.0,-4942801000.0,-508262680.0,-559754156.0,-1261856087.0,-395126299.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-60485699591.0,16216191085.0,28331567260.0,-125144633433.0,-46430941550.0,24131584538.0,88906036999.0,-167043720633.0,259712638574.0,21791421713.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-61515149839.0,-17750665909.0,-24847590386.0,-45145334803.0,-51159152974.0,-2483105436.0,-558059623.0,-8470650062.0,-7705816829.0,-12257193449.0
23,Tiền thu được từ thanh lý tài sản cố định,404002874.0,3342358182.0,3071209090.0,2207499890.0,875540909.0,569028181.0,90256908591.0,741398328.0,0.0,1080507386.0
24,Tiền cho vay hoặc mua công cụ nợ,-26580000000.0,-5000000000.0,-1350000000.0,-5011219142.0,-3012181582.0,-1700000000.0,-1000000000.0,-160000000000.0,0.0,-13000000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,28559550186.0,10900000000.0,0.0,10360000000.0,3000000000.0,0.0,0.0,500000000.0,160000000000.0,13000000000.0
26,Đầu tư vào các doanh nghiệp khác,-3281000000.0,0.0,0.0,-96840220000.0,0.0,0.0,0.0,0.0,0.0,0.0
