,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,869840404717.0,1029538633252.0,1092714748432.0,1155845035757.0,1773630879890.0,1774246689473.0,1847174315262.0,2096455266870.0,2294700255306.0,2276943567575.0
1,TÀI SẢN NGẮN HẠN,560035978919.0,719282481026.0,744701467114.0,721079359147.0,977543036885.0,834742066160.0,779754902383.0,981975300723.0,1176339787490.0,1103552901572.0
2,Tiền và tương đương tiền,192255383511.0,178550050326.0,87841659460.0,100127453686.0,106457131642.0,190436654283.0,75035614726.0,85268705365.0,271272865376.0,178845070328.0
3,Tiền,75255383511.0,50050050326.0,42841659460.0,100127453686.0,86457131642.0,60436654283.0,75035614726.0,84092597420.0,46272865376.0,88845070328.0
4,Các khoản tương đương tiền,117000000000.0,128500000000.0,45000000000.0,0.0,20000000000.0,130000000000.0,0.0,1176107945.0,225000000000.0,90000000000.0
5,Giá trị thuần đầu tư ngắn hạn,2825975260.0,3283181020.0,103568325260.0,15392915260.0,183046215260.0,4280825260.0,5187529260.0,63607855260.0,112452800000.0,211300000000.0
6,Đầu tư ngắn hạn,6600735680.0,6600735680.0,6619485680.0,6235578160.0,6235578160.0,6235578160.0,6476068160.0,6476068160.0,1532736844.0,0.0
7,Dự phòng đầu tư ngắn hạn,-3774760420.0,-3317554660.0,-3051160420.0,-2842662900.0,-2644062900.0,-2172002900.0,-2788538900.0,-3208212900.0,-379936844.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,100000000000.0,12000000000.0,179454700000.0,217250000.0,1500000000.0,60340000000.0,111300000000.0,211300000000.0
9,Các khoản phải thu,155159684279.0,227003498046.0,302541396650.0,367177121542.0,395682653561.0,289884339434.0,329717064645.0,398091289641.0,295062515167.0,270938803795.0
10,Phải thu khách hàng,165773936997.0,207324365361.0,228893207143.0,226338284023.0,231063094550.0,185494599108.0,254243682480.0,334633890776.0,247015200965.0,231177991195.0
11,Trả trước người bán,3357942351.0,20426902833.0,54729704653.0,121056182137.0,140671284012.0,80227308348.0,56239591813.0,41593541046.0,17786828766.0,26995557085.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,7000000000.0,4950000000.0,0.0,0.0,2000000000.0,0.0
15,Phải thu khác,1447264084.0,7444225565.0,33626931181.0,35082573351.0,29949420880.0,31712651019.0,33666029278.0,38510075750.0,40711862178.0,26560007100.0
16,Dự phòng nợ khó đòi,-15419459153.0,-8191995713.0,-14708446327.0,-15299917969.0,-13001145881.0,-12500219041.0,-14432238926.0,-16646217931.0,-12451376742.0,-13794751585.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",199704966193.0,294566944991.0,245718867225.0,234563410070.0,282178900566.0,323809107094.0,350457017273.0,424237469275.0,492074917415.0,435841476949.0
19,Hàng tồn kho,200020643727.0,295598899143.0,246410602948.0,235661420036.0,283184621489.0,326982599909.0,352429048651.0,427676097124.0,493805074580.0,441406686700.0
20,Dự phòng giảm giá HTK,-315677534.0,-1031954152.0,-691735723.0,-1098009966.0,-1005720923.0,-3173492815.0,-1972031378.0,-3438627849.0,-1730157165.0,-5565209751.0
