,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,253642477715.0,389687702036.0,258466733136.0,276561829875.0,179826487698.0,308097703651.0,293220788496.0,141446540065.0,260402788785.0,341370901189.0
1,TÀI SẢN NGẮN HẠN,216623294318.0,361421542961.0,229236076006.0,246278806564.0,162752379046.0,295119244456.0,277348746055.0,126184333732.0,247883772013.0,328794830575.0
2,Tiền và tương đương tiền,7841206220.0,44333813202.0,5016382263.0,787018243.0,1535972215.0,5346325430.0,14639606296.0,23014031689.0,1818032970.0,1871813421.0
3,Tiền,7841206220.0,4333813202.0,5016382263.0,787018243.0,1535972215.0,5346325430.0,14639606296.0,23014031689.0,1818032970.0,1871813421.0
4,Các khoản tương đương tiền,0.0,40000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,142513801853.0,175243144823.0,147411477141.0,174389827136.0,86130980555.0,161168483953.0,120754965594.0,68773504619.0,214971525928.0,312711695005.0
10,Phải thu khách hàng,184175801231.0,189543006961.0,179785552839.0,206670317653.0,118037892663.0,177756927784.0,148095160301.0,103218859889.0,253525834969.0,354294877892.0
11,Trả trước người bán,8169492228.0,30354099228.0,9336776696.0,7941400419.0,3281783990.0,19025863497.0,9455355600.0,2134181081.0,1709686794.0,98753363.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,47577197.0,2297934777.0,2039889838.0,2190389616.0,2647695666.0,2241717461.0,2638520342.0,3516679899.0,1932372334.0,1903647625.0
16,Dự phòng nợ khó đòi,-49879068803.0,-46951896143.0,-43750742232.0,-42412280552.0,-37836391764.0,-37856024789.0,-39434070649.0,-40096216250.0,-42196368169.0,-43585583875.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",63182255333.0,134190132828.0,74077717948.0,69128187013.0,72143771752.0,123692173611.0,136853503479.0,34294355412.0,26702041320.0,13799398520.0
19,Hàng tồn kho,67963779004.0,139563132828.0,81531717948.0,73440560013.0,74836903752.0,127743384054.0,142788710138.0,34528813500.0,27269869557.0,15610935750.0
20,Dự phòng giảm giá HTK,-4781523671.0,-5373000000.0,-7454000000.0,-4312373000.0,-2693132000.0,-4051210443.0,-5935206659.0,-234458088.0,-567828237.0,-1811537230.0
21,Tài sản lưu động khác,3086030912.0,7654452108.0,2730498654.0,1973774172.0,2941654524.0,4912261462.0,5100670686.0,102442012.0,4392171795.0,411923629.0
22,Trả trước ngắn hạn,0.0,0.0,26122491.0,19628802.0,660000.0,157888038.0,21489430.0,16972062.0,43908667.0,37151498.0
23,Thuế VAT phải thu,1157027499.0,6643507441.0,2704376163.0,1954145370.0,2872018518.0,4634584174.0,4988830156.0,0.0,396583154.0,374772131.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,68976006.0,119789250.0,90351100.0,85469950.0,3951679974.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,1929003413.0,1010944667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,37019183397.0,28266159075.0,29230657130.0,30283023311.0,17074108652.0,12978459195.0,15872042441.0,15262206333.0,12519016772.0,12576070614.0
28,Phải thu dài hạn,0.0,0.0,40000000.0,40000000.0,40000000.0,10000000.0,70000000.0,83000000.0,76930000.0,76930000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,40000000.0,40000000.0,40000000.0,10000000.0,70000000.0,83000000.0,76930000.0,76930000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,25892626405.0,21549753921.0,21811762330.0,22811405539.0,15204399556.0,12005664582.0,15238359095.0,13746804702.0,11318529492.0,9787542092.0
37,GTCL TSCĐ hữu hình,24545289858.0,20702442835.0,21280491330.0,22307134539.0,14727128556.0,11544143582.0,14748366162.0,13267708441.0,10850329903.0,9326021092.0
38,Nguyên giá TSCĐ hữu hình,57968863542.0,56438319715.0,61218823733.0,66645654909.0,61000189869.0,60969832176.0,66110842586.0,67876822586.0,67569913062.0,62299561917.0
39,Khấu hao lũy kế TSCĐ hữu hình,-33423573684.0,-35735876880.0,-39938332403.0,-44338520370.0,-46273061313.0,-49425688594.0,-51362476424.0,-54609114145.0,-56719583159.0,-52973540825.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,1226567521.0,726542060.0,531271000.0,504271000.0,477271000.0,461521000.0,489992933.0,479096261.0,468199589.0,461521000.0
44,Nguyên giá TSCĐ vô hình,3360379090.0,2454012340.0,2454012340.0,2454012340.0,2454012340.0,2454012340.0,729211000.0,729211000.0,729211000.0,729211000.0
45,Khấu hao lũy kế TSCĐ vô hình,-2133811569.0,-1727470280.0,-1922741340.0,-1949741340.0,-1976741340.0,-1992491340.0,-239218067.0,-250114739.0,-261011411.0,-267690000.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,120769026.0,120769026.0,120769026.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,120769026.0,120769026.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,10288091587.0,6106940941.0,6106940941.0,6106940941.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,11920600000.0,11920600000.0,11920600000.0,11920600000.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,-1632508413.0,-5813659059.0,-5813659059.0,-5813659059.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,838465405.0,609464213.0,1151184833.0,1203907805.0,1708940070.0,962794613.0,563683346.0,1432401631.0,1123557280.0,2711598522.0
59,Trả trước dài hạn,794465405.0,569464213.0,1151184833.0,1203907805.0,1708940070.0,962794613.0,563683346.0,1432401631.0,1123557280.0,2711598522.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,44000000.0,40000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,205906608357.0,322878629254.0,185950499742.0,196344115368.0,83083611314.0,208479666057.0,205781659094.0,52892617947.0,165067583699.0,239291963419.0
65,Nợ ngắn hạn,205772317396.0,322687720162.0,185950499742.0,196344115368.0,83083611314.0,208479666057.0,205781659094.0,52892617947.0,165067583699.0,239291963419.0
66,Phải trả người bán,46285849401.0,8374487884.0,20826355612.0,59997885230.0,7184731310.0,28011389902.0,9406088833.0,6474203214.0,8823297786.0,3692094084.0
67,Người mua trả tiền trước,11141931380.0,5933958523.0,7583760978.0,2198581248.0,2280805307.0,795018503.0,1010483904.0,1118172537.0,475033149.0,507294087.0
68,Thuế và các khoản phải trả Nhà nước,9735245772.0,17354963014.0,36831224.0,696522130.0,1368266043.0,2009492871.0,2245639863.0,3590358108.0,1235640691.0,3673049152.0
69,Phải trả người lao động,3492043696.0,4750391416.0,5507127976.0,5361282271.0,6668096799.0,4055191646.0,3783247409.0,3867564990.0,8486160579.0,10129428342.0
70,Chi phí phải trả,247811818.0,5670112000.0,451759050.0,964835489.0,677330711.0,385000000.0,2026686500.0,273229453.0,248065999.0,407132557.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,10909089.0,0.0,0.0,16368181.0,12272727.0
74,Phải trả khác,3563530900.0,3112830609.0,3142417990.0,1957572305.0,2416404408.0,4118792160.0,4783274050.0,4754736710.0,4373577093.0,22706430038.0
75,Vay ngắn hạn,131084551712.0,277351228199.0,148329298395.0,125146388178.0,62518828219.0,169172723369.0,182436310018.0,32814352935.0,141409440221.0,198164262432.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",221352717.0,139748517.0,72948517.0,21048517.0,-30851483.0,-78851483.0,89928517.0,0.0,0.0,0.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,134290961.0,190909092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
