,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,13738531471.0,8847574394.0,13387293219.0,19550857819.0,12122983968.0,14533233302.0,5934342395.0,17991229561.0,4745101306.0,20789990847.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-7665323554.0,-8330400390.0,-12558335942.0,-2646909087.0,-9685152010.0,-533056006.0,-1265579655.0,-5261556388.0,-583771671.0,-438675716.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-1165323554.0,-15139729402.0,-12558335942.0,-2815585143.0,-9691014094.0,-538040000.0,-1268279503.0,-5835663509.0,-587895127.0,-492459983.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,159532544.0,0.0,0.0,0.0,571068182.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-6500000000.0,-4093333333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,10593333333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,0.0,309329012.0,0.0,9143512.0,5862084.0,4983994.0,2699848.0,3038939.0,4123456.0,53784267.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-1149889478.0,-1214579930.0,-2650445845.0,-19123175939.0,-5285196258.0,-12571276505.0,-1974080970.0,-7124021306.0,-8974423250.0,-15906452000.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,9364183433.0,24243407350.0,33100817993.0,29440349893.0,43656071052.0,37083879226.0,32603648713.0,30876980480.0,22950877422.0,15986733703.0
33,Tiển trả các khoản đi vay,-6239072911.0,-17477987280.0,-27771263838.0,-38588525832.0,-38966267310.0,-39974488231.0,-29159799683.0,-32301001786.0,-26225300672.0,-26193185703.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-4275000000.0,-7980000000.0,-7980000000.0,-9975000000.0,-9975000000.0,-9680667500.0,-5417930000.0,-5700000000.0,-5700000000.0,-5700000000.0
37,Lưu chuyển tiền thuần trong kỳ,4923318439.0,-697405926.0,-1821488568.0,-2219227207.0,-2847364300.0,1428900791.0,2694681770.0,5605651867.0,-4813093615.0,4444863131.0
38,Tiền và tương đương tiền đầu kỳ,2921306363.0,7843834559.0,7146535931.0,5325857012.0,3106708811.0,259287553.0,1688016471.0,4377608037.0,9982661776.0,5170133747.0
39,Ảnh hưởng của chênh lệch tỷ giá,-790243.0,107298.0,809649.0,79006.0,-56958.0,-171873.0,-5090204.0,-598128.0,565586.0,-4414588.0
40,Tiền và tương đương tiền cuối kỳ,7843834559.0,7146535931.0,5325857012.0,3106708811.0,259287553.0,1688016471.0,4377608037.0,9982661776.0,5170133747.0,9610582290.0
