,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-8505318738.0,-2763666753.0,6770900074.0,205188711937.0,-295900210699.0,125948678350.0,-34274596970.0,71570348777.0,25049402183.0,-107817497592.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,29278957971.0,32676784778.0,39629072445.0,61928868340.0,62378305950.0,48047178465.0,31576759706.0,84320999385.0
2,Lãi trước thuế,0.0,0.0,14050357137.0,17575582642.0,21559164378.0,36198942881.0,36813519763.0,42740799507.0,33105969848.0,61410745836.0
3,Khấu hao TSCĐ,0.0,0.0,8196271006.0,9089923484.0,8588097725.0,8336769098.0,8820302187.0,9476918135.0,10259373030.0,10555203186.0
5,Chi phí dự phòng,0.0,0.0,3132774730.0,1435457026.0,8675384206.0,13611489029.0,19891730748.0,-3996235247.0,-19569204075.0,2122660189.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,-28541008.0,-17558252.0,25700109.0,-617308500.0,-77828725.0,716836565.0,-46793900.0,-325175411.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,-406333398.0,-383514993.0,-3153647781.0,-2946230112.0,-7000893323.0,-4000935605.0,-5290233802.0,-2587528192.0
9,Chi phí lãi vay,0.0,0.0,4334429504.0,4976894871.0,3838483313.0,7345205944.0,3931475300.0,3109795110.0,13117648605.0,13145093777.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,95890495.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,8677608720.0,-47255670314.0,-323751650738.0,242741611188.0,-50836880561.0,6596233300.0,21360843475.0,-311467767212.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,-17407818367.0,41981981032.0,-21831710644.0,33435206636.0,553450942.0,29120067348.0,-264248529772.0,109498483270.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,-10263321590.0,189714380055.0,18844189225.0,-163905503531.0,-37245958659.0,-17898317597.0,252811371274.0,32193514042.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,-230389117.0,-926664383.0,-1419061597.0,-5681586789.0,5355745365.0,-11312968856.0,3422310029.0,4124538890.0
