,CHỈ TIÊU,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,TỔNG TÀI SẢN,307717994784.0,331542067257.0,323744609265.0,335770874748.0,343778151884.0,331145780299.0,236141414706.0,231044160606.0,226620320565.0,226131113427.0
1,TÀI SẢN NGẮN HẠN,277110961095.0,304520239747.0,299169903261.0,313438539338.0,317193476720.0,318661896482.0,206431202279.0,201708090253.0,197726179222.0,197871497851.0
2,Tiền và tương đương tiền,1526027438.0,17899425036.0,3439066277.0,8527735568.0,2488439726.0,7366723549.0,3581343103.0,3479333042.0,3517386715.0,3564525768.0
3,Tiền,1316027438.0,13606145413.0,3439066277.0,2527735568.0,2488439726.0,6221559973.0,3581343103.0,3479333042.0,3517386715.0,3564525768.0
4,Các khoản tương đương tiền,210000000.0,4293279623.0,0.0,6000000000.0,0.0,1145163576.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,7057054362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,7057054362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,154567075213.0,168893411538.0,250090587881.0,252459078231.0,263783276603.0,263735420498.0,181014137581.0,176653230952.0,172655806837.0,172569108184.0
10,Phải thu khách hàng,151349445181.0,162977165079.0,150149463991.0,141404998859.0,160700168575.0,147106209476.0,95041076816.0,88474246254.0,83381191139.0,83295967639.0
11,Trả trước người bán,1075309145.0,2007629033.0,1439310725.0,6462302578.0,6304895073.0,20052543916.0,19813188944.0,20190534752.0,20381534752.0,20425055533.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,300000000.0,300000000.0,300000000.0,0.0,0.0,0.0,0.0
15,Phải thu khác,2251057528.0,4775710691.0,98226433404.0,104760456087.0,96946892248.0,109913912775.0,80610218979.0,82438690957.0,83343321957.0,83298326023.0
16,Dự phòng nợ khó đòi,-108736641.0,-867093265.0,-1468172723.0,-2217041740.0,-2217041740.0,-15385608116.0,-14636739099.0,-14636739099.0,-14636739099.0,-14636739099.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,1743552484.0,1748362447.0,1748362447.0,1748362447.0,186391941.0,186498088.0,186498088.0,186498088.0
18,"Hàng tồn kho, ròng",53393917666.0,36149221911.0,37127882167.0,50747217529.0,48743248936.0,46065894409.0,21732675672.0,21460447038.0,21420131582.0,21628458582.0
19,Hàng tồn kho,53393917666.0,36149221911.0,37127882167.0,50747217529.0,48743248936.0,46065894409.0,21732675672.0,21460447038.0,21420131582.0,21628458582.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,67623940778.0,81578181262.0,1455312574.0,1704508010.0,2178511455.0,1493858026.0,103045923.0,115079221.0,132854088.0,109405317.0
22,Trả trước ngắn hạn,110716257.0,188470074.0,106578830.0,201850728.0,379675888.0,375104758.0,10529193.0,10529193.0,27138284.0,3495000.0
23,Thuế VAT phải thu,1729575869.0,1365523927.0,1348733744.0,1502657282.0,1798835567.0,1118753268.0,92516730.0,100898645.0,100898645.0,101093158.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3651383.0,4817159.0,4817159.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,65783648652.0,80024187261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,30607033689.0,27021827510.0,24574706004.0,22332335410.0,26584675164.0,12483883817.0,29710212427.0,29336070353.0,28894141343.0,28259615576.0
28,Phải thu dài hạn,0.0,0.0,209500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,209500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,17961393292.0,23354832280.0,17812386508.0,16897683271.0,22605572889.0,10938851974.0,9068566550.0,8694424476.0,8252495650.0,7844460196.0
37,GTCL TSCĐ hữu hình,17961393292.0,18012647094.0,17812386508.0,16897683271.0,15893366889.0,4226645974.0,2356360550.0,1982218476.0,1540289650.0,1132254196.0
38,Nguyên giá TSCĐ hữu hình,29380227966.0,30701051934.0,32382317188.0,31825943398.0,32825943398.0,8856767002.0,6777501605.0,6868947060.0,6862501605.0,6862501605.0
39,Khấu hao lũy kế TSCĐ hữu hình,-11418834674.0,-12688404840.0,-14569930680.0,-14928260127.0,-16932576509.0,-4630121028.0,-4421141055.0,-4886728584.0,-5322211955.0,-5730247409.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,5342185186.0,0.0,0.0,6712206000.0,6712206000.0,6712206000.0,6712206000.0,6712206000.0,6712206000.0
44,Nguyên giá TSCĐ vô hình,0.0,12094473923.0,0.0,0.0,6712206000.0,6712206000.0,6712206000.0,6712206000.0,6712206000.0,6712206000.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,-6752288737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,6551632594.0,0.0,4132737778.0,2923290370.0,1713842962.0,226708638.0,184.0,184.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,12094473923.0,0.0,12094473923.0,12522714986.0,12522714986.0,6510252959.0,563856890.0,563856890.0,563856890.0,563856890.0
48,Khấu hao lũy kế tài sản đầu tư,-5542841329.0,0.0,-7961736145.0,-9599424616.0,-10808872024.0,-6283544321.0,-563856706.0,-563856706.0,-563856890.0,-563856890.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,1675000000.0,1078000000.0,1078000000.0,1078000000.0,1078000000.0,1078000000.0,20468920013.0,20468920013.0,20468920013.0,20328792540.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,19813400000.0,19390920013.0,19813400000.0,19250792540.0
55,Đầu tư dài hạn khác,1675000000.0,1675000000.0,1675000000.0,1675000000.0,1675000000.0,1675000000.0,1675000000.0,1675000000.0,1675000000.0,1675000000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,-597000000.0,-597000000.0,-597000000.0,-597000000.0,-597000000.0,-1019479987.0,-597000000.0,-1019479987.0,-597000000.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,4419007803.0,2588995230.0,1342081718.0,1433361769.0,1187259313.0,240323205.0,172725680.0,172725680.0,172725680.0,86362840.0
59,Trả trước dài hạn,2619007803.0,2379495230.0,1342081718.0,1433361769.0,1187259313.0,240323205.0,172725680.0,172725680.0,172725680.0,86362840.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,1800000000.0,209500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,206948035837.0,229276556345.0,229673385896.0,240301860705.0,249895831633.0,251000809878.0,180687304328.0,179212906065.0,180280304607.0,184010564207.0
65,Nợ ngắn hạn,206544927686.0,228858156345.0,229673385896.0,239599860705.0,249447331633.0,250786309878.0,180687304328.0,179212906065.0,180280304607.0,184010564207.0
66,Phải trả người bán,29737606398.0,10113816358.0,19166458809.0,22601224197.0,28156843921.0,38639723411.0,23360329319.0,18731168483.0,14243847281.0,14331916681.0
67,Người mua trả tiền trước,2404286544.0,3004629789.0,4305321827.0,1987037004.0,1916573891.0,5111997774.0,3426629033.0,3441589033.0,3473789033.0,4054789033.0
68,Thuế và các khoản phải trả Nhà nước,24883444871.0,28758799729.0,27430843322.0,25427158771.0,23116536857.0,22986714289.0,18108681092.0,18208499097.0,18154683598.0,18174182249.0
69,Phải trả người lao động,508382340.0,401725010.0,613605083.0,739873953.0,1413414547.0,2050589076.0,1206058601.0,1780109792.0,1729253142.0,1758984942.0
70,Chi phí phải trả,83800210796.0,59512645081.0,65846886992.0,55938591459.0,53856729659.0,51836305464.0,43932812778.0,46263870038.0,51412821251.0,54948387252.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,25672586194.0,67432750604.0,25616075956.0,43352337882.0,39890930375.0,39023459207.0,36396416982.0,37109293099.0,36712533779.0,36753927527.0
