,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG CỘNG TÀI SẢN,966876356422.0,1145268557599.0,1293413068894.0,1545440173990.0,1791715783999.0,2140107237591.0,2569469598888.0,2987806953762.0,3315231587198.0,3575994139540.0
1,TÀI SẢN NGẮN HẠN,841946147992.0,1009764485637.0,918658283520.0,1367901815250.0,1629245044479.0,1939606115524.0,2375366521557.0,2795889933406.0,3102841682562.0,3386740786958.0
2,Tiền và tương đương tiền ,475018018342.0,215685410954.0,82764644878.0,114314382947.0,139834923154.0,58607933269.0,47694393644.0,58478480507.0,57199234743.0,89636776281.0
3,Tiền  ,39518018342.0,50185410954.0,44764644878.0,21814382947.0,41334923154.0,58607933269.0,47694393644.0,58478480507.0,57199234743.0,89636776281.0
4,Các khoản tương đương tiền,435500000000.0,165500000000.0,38000000000.0,92500000000.0,98500000000.0,0.0,0.0,0.0,0.0,0.0
5,Đầu tư tài chính ngắn hạn,143521566749.0,552500000000.0,633725291700.0,1023056541700.0,1212845291700.0,1570617291700.0,1939747291700.0,2282747291700.0,2514247291700.0,2762796291700.0
6,Đầu tư ngắn hạn ,143521566749.0,552500000000.0,633725291700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu ,217257829835.0,122421771622.0,66385217925.0,60674776343.0,87701238181.0,79649101861.0,89860456179.0,97982678971.0,145332192826.0,147801298941.0
10,Phải thu của khách hàng,198876567367.0,105127553463.0,51063378504.0,29963822276.0,49203453270.0,33528544315.0,31819015863.0,34706653861.0,91437799337.0,85478904156.0
13,Trả trước cho người bán,1407913400.0,1796662118.0,791759309.0,944024671.0,2631306646.0,1649546637.0,1015730687.0,2798116101.0,1245681687.0,1508398465.0
19,Các khoản phải thu khác,19726466430.0,19781788125.0,19219199012.0,34902590606.0,42095864176.0,50813862592.0,62750233389.0,64758692590.0,56791895740.0,63927680258.0
20,Dự phòng các khoản phải thu khó đòi,-2753117362.0,-4284232084.0,-4689118900.0,-5135661210.0,-6229385911.0,-6342851683.0,-5724523760.0,-4280783581.0,-4143183938.0,-3113683938.0
21,Hàng tồn kho ,1049965195.0,1492794996.0,1638542877.0,1750457246.0,3287901939.0,3461175901.0,2852348591.0,1783614998.0,3464795860.0,1785163801.0
22,Hàng tồn kho ,1049965195.0,1492794996.0,1638542877.0,1750457246.0,3287901939.0,3461175901.0,2852348591.0,1783614998.0,3464795860.0,1785163801.0
23,Dự phòng giảm giá hàng tồn kho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tài sản ngắn hạn khác,5098767871.0,57369820085.0,70511764836.0,88846821440.0,128141413843.0,150562095208.0,192376171120.0,213726853312.0,222090156711.0,234116189278.0
25,Chi phí trả trước ngắn hạn,3119892089.0,55012500606.0,68513084331.0,88846821440.0,128141413843.0,150562095208.0,192376171120.0,213726853312.0,222090156711.0,234116189278.0
29,Thuế GTGT được khấu trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Thuế và các khoản phải thu của nhà nước,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
